# Weather station Bramhapuri, India, WMO_ID=42946,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42946&lang=en
#
"Local time in Bramhapuri";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"24.4";"737.2";"757.3";"-1.3";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"31.12.2017 14:30";"29.8";"738.5";"758.2";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"31.12.2017 08:30";"15.2";"741.5";"762.3";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.9";"";"";"";"";"";"";"2.0";"11.3";"";"";"";"";"";"";
"30.12.2017 17:30";"24.6";"738.8";"758.9";"-0.6";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"30.12.2017 14:30";"30.4";"739.4";"759.1";"-2.3";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"30.12.2017 11:30";"25.6";"741.7";"761.8";"-0.6";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"30.12.2017 08:30";"15.4";"742.3";"763.1";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.9";"";"";"";"";"";"";"2.0";"9.6";"";"";"";"";"";"";
"29.12.2017 17:30";"25.4";"739.3";"759.4";"-0.1";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.7";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"29.12.2017 14:30";"31.2";"739.4";"759.1";"-2.6";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"29.12.2017 11:30";"26.6";"742.0";"762.1";"-0.2";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"29.12.2017 08:30";"14.0";"742.2";"763.2";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.9";"";"";"";"";"";"";"2.0";"8.9";"";"";"";"";"";"";
"28.12.2017 17:30";"27.2";"739.4";"759.3";"-0.1";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"28.12.2017 14:30";"31.0";"739.5";"759.2";"-2.5";"21";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"28.12.2017 11:30";"25.6";"742.0";"762.1";"-0.4";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"28.12.2017 08:30";"14.2";"742.4";"763.3";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"2.0";"9.1";"";"";"";"";"";"";
"27.12.2017 17:30";"22.8";"739.9";"760.2";"0.4";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"27.12.2017 14:30";"30.0";"739.5";"759.3";"-3.2";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"27.12.2017 11:30";"23.8";"742.7";"763.0";"-0.3";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"27.12.2017 08:30";"13.4";"743.0";"764.0";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.3";"";"";"";"";"";"";"2.0";"7.7";"";"";"";"";"";"";
