# Weather station Kolhapur, India, WMO_ID=43157,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43157&lang=en
#
"Local time in Kolhapur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.4";"709.0";"755.9";"-0.6";"40";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"31.12.2017 14:30";"27.8";"709.6";"756.4";"-2.6";"32";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"31.12.2017 11:30";"24.4";"712.2";"759.6";"-0.4";"46";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"31.12.2017 08:30";"16.8";"712.6";"761.4";"";"64";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.0";"";"";"";"";"";"";"2.0";"9.9";"";"";"";"";"";"";
"30.12.2017 17:30";"26.4";"710.2";"757.1";"-0.3";"36";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"30.12.2017 14:30";"27.8";"710.5";"757.3";"-2.4";"29";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"30.12.2017 11:30";"23.6";"712.9";"760.5";"-0.3";"43";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"30.12.2017 08:30";"16.2";"713.2";"761.9";"";"65";"Wind blowing from the east-northeast";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"14.3";"";"";"";"";"";"";"2.0";"9.6";"";"";"";"";"";"";
"29.12.2017 17:30";"27.2";"710.7";"757.5";"-0.2";"34";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"29.12.2017 14:30";"28.2";"710.9";"757.6";"-2.2";"30";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"29.12.2017 11:30";"24.0";"713.1";"760.6";"0.0";"46";"Wind blowing from the east-southeast";"2";"";"";"no clouds";"Clouds generally dissolving or becoming less developed. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"29.12.2017 08:30";"16.0";"713.1";"762.0";"";"65";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"9.4";"";"";"";"";"";"";
"28.12.2017 17:30";"26.8";"710.3";"757.2";"0.0";"35";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"28.12.2017 14:30";"27.8";"710.3";"757.6";"-2.9";"33";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"28.12.2017 11:30";"24.2";"713.2";"760.6";"-0.3";"43";"Wind blowing from the east";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"28.12.2017 08:30";"16.4";"713.5";"762.3";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.3";"";"";"";"";"";"";"2.0";"9.0";"";"";"";"";"";"";
"27.12.2017 17:30";"27.0";"710.8";"757.8";"0.0";"36";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"28.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"10.7";"";"";"";"";"";"";
"27.12.2017 14:30";"27.8";"710.8";"757.6";"-2.7";"33";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"27.12.2017 11:30";"24.4";"713.5";"760.9";"-0.1";"42";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"27.12.2017 08:30";"17.8";"713.6";"762.3";"";"63";"Wind blowing from the east-northeast";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.1";"";"";"";"";"";"";"2.0";"10.7";"";"";"";"";"";"";
"26.12.2017 17:30";"27.8";"711.1";"757.9";"-0.1";"38";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"29.3";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"26.12.2017 14:30";"28.6";"711.2";"757.9";"-2.5";"36";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.1";"";"";"";"";"";"";
"26.12.2017 11:30";"25.6";"713.7";"761.0";"-0.1";"45";"Wind blowing from the east";"2";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"26.12.2017 08:30";"17.8";"713.8";"762.4";"";"60";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.1";"";"";"";"";"";"";"2.0";"9.9";"";"";"";"";"";"";
"25.12.2017 17:30";"28.4";"710.6";"757.2";"";"37";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.9";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"25.12.2017 11:30";"25.2";"713.1";"760.3";"-0.1";"49";"Wind blowing from the east";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"25.12.2017 08:30";"18.0";"713.2";"761.8";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.1";"";"";"";"";"";"";"2.0";"10.9";"";"";"";"";"";"";
"24.12.2017 17:30";"28.0";"710.1";"756.8";"-0.4";"35";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"24.12.2017 14:30";"28.8";"710.5";"757.3";"-2.7";"41";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"24.12.2017 11:30";"25.0";"713.2";"760.6";"0.0";"44";"Wind blowing from the south-east";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"24.12.2017 08:30";"18.0";"713.2";"761.8";"";"59";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.9";"";"";"";"";"";"";"2.0";"9.7";"";"";"";"";"";"";
"23.12.2017 17:30";"28.0";"710.3";"757.0";"-0.3";"33";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"30.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.3";"";"";"";"";"";"";
"23.12.2017 14:30";"29.2";"710.6";"757.1";"-2.4";"27";"Wind blowing from the east-northeast";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"8.2";"";"";"";"";"";"";
"23.12.2017 11:30";"25.2";"713.0";"760.3";"-0.3";"46";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"Clouds generally dissolving or becoming less developed. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"23.12.2017 08:30";"17.4";"713.3";"761.9";"";"63";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"10.2";"";"";"";"";"";"";
"22.12.2017 17:30";"28.0";"711.9";"758.8";"0.2";"32";"Wind blowing from the east-northeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"30.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.8";"";"";"";"";"";"";
"22.12.2017 14:30";"30.0";"711.7";"758.2";"-2.5";"28";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"9.5";"";"";"";"";"";"";
"22.12.2017 11:30";"25.6";"714.2";"761.5";"-0.2";"38";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.1";"";"";"";"";"";"";
"22.12.2017 08:30";"17.0";"714.4";"763.2";"";"61";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.3";"";"";"";"";"";"";
"21.12.2017 17:30";"27.6";"712.8";"759.7";"-0.2";"28";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"29.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"7.7";"";"";"";"";"";"";
"21.12.2017 14:30";"28.8";"713.0";"759.7";"-2.6";"29";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.1";"";"";"";"";"";"";
"21.12.2017 11:30";"25.2";"715.6";"763.0";"0.0";"44";"Wind blowing from the south-east";"1";"";"";"50%.";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.2";"";"";"";"";"";"";
"21.12.2017 08:30";"17.4";"715.6";"764.4";"";"55";"Wind blowing from the north-east";"1";"";"";"50%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"15.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"8.3";"";"";"";"";"";"";
"20.12.2017 17:30";"27.8";"712.3";"759.2";"0.0";"31";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"29.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"9.0";"";"";"";"";"";"";
"20.12.2017 14:30";"29.0";"712.3";"759.1";"-3.0";"30";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"9.9";"";"";"";"";"";"";
"20.12.2017 11:30";"24.2";"715.3";"762.9";"-0.2";"46";"Wind blowing from the south-east";"1";"";"";"no clouds";"Clouds generally dissolving or becoming less developed. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"20.12.2017 08:30";"17.2";"715.5";"764.2";"";"39";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"3.2";"";"";"";"";"";"";
"19.12.2017 17:30";"27.0";"712.3";"759.4";"0.1";"26";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";" ";"";"";"";"28.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"6.1";"";"";"";"";"";"";
"19.12.2017 14:30";"28.0";"712.2";"759.1";"-2.6";"30";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"8.8";"";"";"";"";"";"";
"19.12.2017 11:30";"25.2";"714.8";"762.1";"-0.1";"42";"Wind blowing from the east";"2";"";"";"20–30%.";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"11.3";"";"";"";"";"";"";
"19.12.2017 08:30";"18.0";"714.9";"763.6";"";"67";"Wind blowing from the south-east";"1";"";"";"20–30%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"11.7";"";"";"";"";"";"";
"18.12.2017 17:30";"26.2";"713.2";"760.2";"-0.5";"46";"Wind blowing from the south-east";"2";"";"";"60%.";" ";"";"";"";"27.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"13.5";"";"";"";"";"";"";
"18.12.2017 14:30";"27.4";"713.7";"760.7";"-2.3";"40";"Wind blowing from the east-southeast";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"12.6";"";"";"";"";"";"";
"18.12.2017 11:30";"24.0";"716.0";"763.8";"0.1";"56";"Wind blowing from the east-southeast";"2";"";"";"50%.";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"14.6";"";"";"";"";"";"";
"18.12.2017 08:30";"18.6";"715.9";"764.5";"";"67";"Wind blowing from the south-east";"1";"";"";"50%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"16.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"12.4";"";"";"";"";"";"";
"17.12.2017 17:30";"27.0";"712.5";"759.5";"-0.4";"42";"Wind blowing from the east-southeast";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"28.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"12.9";"";"";"";"";"";"";
"17.12.2017 14:30";"28.4";"712.9";"759.6";"-2.4";"39";"Wind blowing from the east-southeast";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"13.1";"";"";"";"";"";"";
"17.12.2017 11:30";"24.6";"715.3";"763.0";"-0.3";"54";"Wind blowing from the east-southeast";"2";"";"";"20–30%.";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"14.6";"";"";"";"";"";"";
"17.12.2017 08:30";"18.8";"715.6";"764.2";"";"73";"Wind blowing from the east-southeast";"1";"";"";"50%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"17.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"13.8";"";"";"";"";"";"";
"16.12.2017 17:30";"28.2";"711.9";"758.6";"-0.2";"40";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"29.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.3";"";"";"";"";"";"";
"16.12.2017 14:30";"29.0";"712.1";"758.8";"";"39";"Wind blowing from the east-southeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.5";"";"";"";"";"";"";
"16.12.2017 08:30";"19.8";"714.7";"763.0";"";"72";"Wind blowing from the east-southeast";"1";"";"";"10%  or less, but not 0";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"17.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"14.5";"";"";"";"";"";"";
"15.12.2017 17:30";"28.2";"712.0";"758.7";"0.3";"51";"Wind blowing from the east-southeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"30.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.2";"";"";"";"";"";"";
"15.12.2017 14:30";"30.0";"711.7";"758.2";"-2.4";"41";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.3";"";"";"";"";"";"";
"15.12.2017 11:30";"26.6";"714.1";"761.2";"0.1";"52";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"Clouds generally dissolving or becoming less developed. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"15.12.2017 08:30";"20.6";"714.0";"762.1";"";"79";"Wind blowing from the east-southeast";"1";"";"";"40%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"19.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.8";"";"";"";"";"";"";
"14.12.2017 17:30";"28.0";"711.3";"758.1";"-0.5";"52";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"29.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.3";"";"";"";"";"";"";
"14.12.2017 14:30";"29.2";"711.8";"758.3";"-2.0";"44";"Wind blowing from the west-southwest";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.8";"";"";"";"";"";"";
"14.12.2017 11:30";"25.2";"713.8";"761.2";"0.1";"57";"Wind blowing from the east-southeast";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"14.12.2017 08:30";"17.2";"713.7";"762.4";"";"94";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.8";"";"";"";"";"";"";"0.05";"16.2";"";"";"";"";"";"";
"13.12.2017 17:30";"27.2";"711.0";"757.8";"0.2";"48";"Wind blowing from the west-southwest";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"30.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.2";"";"";"";"";"";"";
