# Weather station Satara, India, WMO_ID=43113,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43113&lang=en
#
"Local time in Satara";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.8";"698.7";"756.0";"";"30";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"31.12.2017 08:30";"13.0";"702.0";"762.5";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"30.12.2017 17:30";"26.6";"699.8";"757.1";"";"33";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.7";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"30.12.2017 08:30";"12.8";"702.5";"763.0";"";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"10.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.0";"";"";"";"";"";"";
"29.12.2017 17:30";"27.4";"700.2";"757.4";"";"26";"Wind blowing from the west-northwest";"1";"";"";"40%.";" ";"";"";"";"30.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.2";"";"";"";"";"";"";
"29.12.2017 08:30";"11.0";"702.7";"763.6";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"9.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.3";"";"";"";"";"";"";
"28.12.2017 17:30";"26.8";"700.0";"757.5";"";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.7";"";"";"";"";"";"10.0";"5.2";"";"";"";"";"";"";
"28.12.2017 08:30";"12.8";"703.0";"763.6";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"10.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.2";"";"";"";"";"";"";
"27.12.2017 17:30";"26.8";"700.5";"757.9";"";"32";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.3";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"8.5";"";"";"";"";"";"";
"27.12.2017 08:30";"14.4";"703.4";"763.6";"";"81";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.3";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.2";"";"";"";"";"";"";
"26.12.2017 17:30";"27.2";"700.9";"758.2";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"26.12.2017 08:30";"15.2";"703.4";"763.4";"";"76";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"12.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.9";"";"";"";"";"";"";
"25.12.2017 17:30";"27.4";"700.5";"757.7";"";"25";"Wind blowing from the west-northwest";"1";"";"";"20–30%.";" ";"";"";"";"30.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"5.7";"";"";"";"";"";"";
"25.12.2017 08:30";"13.2";"702.7";"763.0";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"24.12.2017 17:30";"28.0";"699.7";"756.8";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.1";"";"";"";"";"";"10.0";"10.8";"";"";"";"";"";"";
"24.12.2017 08:30";"13.4";"702.7";"763.0";"";"81";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"11.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.1";"";"";"";"";"";"";
