# Weather station Satara, India, WMO_ID=43113,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43113&lang=en
#
"Local time in Satara";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.12.2017 17:30";"27.2";"700.1";"757.3";"";"35";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.5";"";"";"";"";"";"";
"23.12.2017 08:30";"13.6";"702.7";"763.0";"";"76";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"11.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.5";"";"";"";"";"";"";
"22.12.2017 17:30";"27.6";"701.6";"759.0";"";"19";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"2.2";"";"";"";"";"";"";
"22.12.2017 08:30";"13.4";"704.4";"764.9";"";"76";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"11.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.3";"";"";"";"";"";"";
"21.12.2017 17:30";"26.4";"702.7";"760.3";"";"29";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"29.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.8";"";"";"";"";"";"";
"21.12.2017 08:30";"14.2";"705.2";"765.5";"";"73";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"11.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.4";"";"";"";"";"";"";
"20.12.2017 17:30";"27.0";"702.2";"759.8";"";"23";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"4.3";"";"";"";"";"";"";
"20.12.2017 08:30";"15.4";"704.9";"765.0";"";"65";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"12.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.7";"";"";"";"";"";"";
"19.12.2017 17:30";"25.6";"702.1";"759.9";"";"30";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"28.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.6";"";"";"";"";"";"";
"19.12.2017 08:30";"17.2";"704.8";"764.5";"";"72";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"13.9";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.0";"";"";"";"";"";"";
"18.12.2017 17:30";"26.0";"703.0";"760.9";"";"36";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"28.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.7";"";"";"";"";"";"";
"18.12.2017 08:30";"18.0";"705.5";"765.1";"";"72";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"16.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.9";"";"";"";"";"";"";
"17.12.2017 17:30";"26.0";"702.5";"760.3";"";"38";"Wind blowing from the west-northwest";"1";"";"";"70 – 80%.";" ";"";"";"";"28.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.6";"";"";"";"";"";"";
"17.12.2017 08:30";"18.0";"705.1";"764.8";"";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"16.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.5";"";"";"";"";"";"";
"16.12.2017 17:30";"27.4";"701.8";"759.2";"";"38";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"30.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.7";"";"";"";"";"";"";
"16.12.2017 08:30";"17.4";"704.3";"763.7";"";"84";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"14.9";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.7";"";"";"";"";"";"";
"15.12.2017 08:30";"16.6";"703.7";"763.5";"";"88";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"14.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.6";"";"";"";"";"";"";
"14.12.2017 17:30";"27.0";"701.1";"758.5";"";"45";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"30.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.1";"";"";"";"";"";"";
"14.12.2017 08:30";"15.0";"703.1";"763.3";"";"86";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"12.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.6";"";"";"";"";"";"";
"13.12.2017 17:30";"26.0";"700.6";"758.3";"";"48";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"30.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.0";"";"";"";"";"";"";
"13.12.2017 08:30";"15.6";"703.2";"763.2";"";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.6";"";"";"";"";"";"";
"12.12.2017 17:30";"26.4";"700.5";"757.9";"";"53";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"30.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.1";"";"";"";"";"";"";
"12.12.2017 08:30";"16.8";"702.9";"762.7";"";"92";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.5";"";"";"";"";"";"";
"11.12.2017 17:30";"27.2";"700.3";"757.5";"";"48";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"30.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.2";"";"";"";"";"";"";
"11.12.2017 08:30";"17.4";"703.0";"762.5";"";"86";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"15.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.1";"";"";"";"";"";"";
"10.12.2017 17:30";"28.0";"700.0";"757.3";"";"49";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.2";"";"";"";"";"";"";
"10.12.2017 08:30";"17.6";"702.4";"761.8";"";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"15.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.6";"";"";"";"";"";"";
"09.12.2017 17:30";"28.2";"699.1";"756.1";"";"44";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"31.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.9";"";"";"";"";"";"";
"09.12.2017 08:30";"18.4";"701.8";"761.0";"";"87";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"16.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.1";"";"";"";"";"";"";
"08.12.2017 17:30";"28.2";"698.5";"755.5";"";"54";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.9";"";"";"";"";"";"";
"08.12.2017 08:30";"19.6";"701.1";"760.0";"";"87";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.3";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.4";"";"";"";"";"";"";
"07.12.2017 17:30";"";"699.0";"756.3";"";"";"";"";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"0.2";"16.6";"";"";"";"";"";"";
"06.12.2017 20:30";"25.6";"698.1";"755.5";"";"68";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"27.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.3";"";"";"";"";"";"";
"06.12.2017 17:30";"25.6";"698.1";"755.5";"";"68";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"27.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.3";"";"";"";"";"";"";
"06.12.2017 08:30";"21.6";"699.7";"758.0";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"19.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.1";"";"";"";"";"";"";
"05.12.2017 17:30";"23.8";"696.7";"754.3";"";"79";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"24.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.9";"";"";"";"";"";"";
"05.12.2017 08:30";"21.8";"698.7";"757.0";"";"81";"Wind blowing from the north-northwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"19.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.4";"";"";"";"";"";"";
"04.12.2017 17:30";"27.2";"697.3";"754.3";"";"56";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"29.6";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.7";"";"";"";"";"";"";
"04.12.2017 08:30";"20.6";"700.6";"759.3";"";"80";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"19.1";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.1";"";"";"";"";"";"";
"03.12.2017 17:30";"27.6";"699.1";"756.2";"";"56";"Wind blowing from the north-northwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.6";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.9";"";"";"";"";"";"";
"03.12.2017 08:30";"20.8";"701.4";"760.2";"";"73";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"17.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.7";"";"";"";"";"";"";
"02.12.2017 17:30";"27.0";"699.0";"756.3";"";"52";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"29.3";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.4";"";"";"";"";"";"";
"02.12.2017 08:30";"19.8";"701.5";"760.6";"";"78";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"16.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.9";"";"";"";"";"";"";
"01.12.2017 17:30";"26.6";"698.2";"755.4";"";"46";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"30.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.0";"";"";"";"";"";"";
"01.12.2017 08:30";"18.2";"701.3";"760.4";"";"80";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"16.1";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.6";"";"";"";"";"";"";
"30.11.2017 17:30";"27.8";"699.0";"756.1";"";"42";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.6";"";"";"";"";"";"";
"30.11.2017 08:30";"17.2";"702.1";"761.5";"";"75";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.7";"";"";"";"";"";"";
"29.11.2017 17:30";"28.2";"700.0";"757.0";"";"35";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.1";"";"";"";"";"";"";
"29.11.2017 08:30";"16.4";"702.4";"761.9";"";"76";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"12.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.2";"";"";"";"";"";"";
"28.11.2017 17:30";"28.2";"699.5";"756.4";"";"33";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"31.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.6";"";"";"";"";"";"";
"28.11.2017 08:30";"17.0";"702.4";"762.0";"";"73";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.1";"";"";"";"";"";"";
"27.11.2017 17:30";"27.6";"699.7";"756.9";"";"37";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"31.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.6";"";"";"";"";"";"";
"27.11.2017 08:30";"18.6";"703.2";"762.4";"";"76";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"14.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.3";"";"";"";"";"";"";
"26.11.2017 17:30";"28.4";"699.6";"758.2";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"26.11.2017 08:30";"20.4";"703.6";"762.5";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"25.11.2017 17:30";"28.4";"700.0";"757.1";"";"44";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"31.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.1";"";"";"";"";"";"";
"25.11.2017 08:30";"20.0";"703.0";"762.1";"";"79";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"15.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.2";"";"";"";"";"";"";
"24.11.2017 17:30";"29.2";"700.0";"757.0";"";"37";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"20.0";"12.9";"";"";"";"";"";"";
