# Weather station Yavatmal, India, WMO_ID=42943,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42943&lang=en
#
"Local time in Yavatmal";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.06.2017 08:30";"27.4";"715.6";"753.2";"";"67";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"22.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"08.06.2017 17:30";"35.2";"712.3";"748.8";"";"55";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"38.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"08.06.2017 08:30";"29.4";"716.1";"753.5";"";"56";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"24.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.6";"";"";"";"";"";"";
"07.06.2017 17:30";"33.0";"714.4";"751.3";"";"55";"Wind blowing from the east-northeast";"1";"";"";"70 – 80%.";" ";"";"";"";"34.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"07.06.2017 08:30";"27.4";"717.7";"755.4";"";"73";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"24.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"06.06.2017 17:30";"39.0";"714.9";"751.1";"";"34";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"39.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
"06.06.2017 08:30";"31.0";"717.3";"754.6";"";"50";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"25.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"05.06.2017 17:30";"34.6";"713.8";"750.4";"";"57";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"35.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"05.06.2017 08:30";"30.0";"716.0";"753.3";"";"57";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"28.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.7";"";"";"";"";"";"";
"04.06.2017 17:30";"40.4";"714.1";"750.1";"";"35";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"41.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"04.06.2017 08:30";"31.0";"717.3";"754.6";"";"54";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"26.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
"03.06.2017 17:30";"41.0";"712.5";"748.3";"";"34";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"41.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"03.06.2017 08:30";"35.4";"716.4";"753.1";"";"35";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"29.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.9";"";"";"";"";"";"";
"02.06.2017 17:30";"35.0";"713.5";"750.1";"";"56";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"40.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"02.06.2017 08:30";"31.8";"715.1";"752.2";"";"53";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"28.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.1";"";"";"";"";"";"";
"01.06.2017 17:30";"34.4";"712.0";"748.6";"";"56";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.4";"";"";"";"";"";"";
"01.06.2017 08:30";"33.4";"714.2";"751.0";"";"38";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"27.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"31.05.2017 17:30";"35.0";"712.3";"748.8";"";"49";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"39.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"31.05.2017 08:30";"32.4";"713.7";"750.6";"";"44";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"27.4";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"30.05.2017 17:30";"36.0";"710.5";"746.8";"";"42";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"39.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.3";"";"";"";"";"";"";
"30.05.2017 08:30";"31.4";"714.8";"751.9";"";"50";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"27.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.7";"";"";"";"";"";"";
"29.05.2017 17:30";"40.0";"711.9";"747.8";"";"36";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"40.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"29.05.2017 08:30";"32.0";"715.7";"752.8";"";"45";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"24.4";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"28.05.2017 17:30";"40.0";"712.9";"748.8";"";"37";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"41.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"28.05.2017 08:30";"31.4";"716.0";"753.1";"";"46";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"26.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.4";"";"";"";"";"";"";
"27.05.2017 17:30";"39.0";"713.8";"749.9";"";"39";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"43.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"27.05.2017 08:30";"33.0";"716.1";"753.1";"";"44";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"31.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.0";"";"";"";"";"";"";
"26.05.2017 17:30";"40.4";"713.0";"748.9";"";"35";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"";"44.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"26.05.2017 08:30";"34.0";"716.8";"753.7";"";"41";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"32.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"18.8";"";"";"";"";"";"";
"25.05.2017 17:30";"42.0";"712.1";"747.8";"";"31";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"45.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"25.05.2017 11:30";"36.0";"716.9";"753.5";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"30.0";"";"";"";"";"";"";"";"18.3";"";"";"";"";"";"";
"25.05.2017 08:30";"36.0";"716.9";"753.5";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"30.0";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"24.05.2017 17:30";"42.4";"713.7";"749.4";"";"30";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"43.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.3";"";"";"";"";"";"";
"24.05.2017 08:30";"36.0";"717.7";"754.4";"";"31";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"23.05.2017 17:30";"41.2";"713.7";"749.5";"";"33";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"43.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"23.05.2017 08:30";"34.0";"717.7";"754.6";"";"41";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"30.0";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"22.05.2017 17:30";"40.0";"713.8";"749.8";"";"37";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"42.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"22.05.2017 08:30";"33.4";"716.9";"753.8";"";"41";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"21.05.2017 17:30";"42.4";"715.2";"751.0";"";"30";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"43.5";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"21.05.2017 08:30";"33.0";"717.3";"754.3";"";"45";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"28.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"20.05.2017 17:30";"41.0";"714.5";"750.4";"";"34";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"43.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"20.05.2017 08:30";"34.0";"717.5";"754.4";"";"41";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"19.05.2017 17:30";"41.4";"716.0";"751.9";"";"32";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"43.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"19.05.2017 08:30";"35.4";"717.7";"754.4";"";"31";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"29.4";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"18.05.2017 17:30";"41.4";"713.7";"749.5";"";"32";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"42.5";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"18.05.2017 08:30";"35.0";"717.6";"754.4";"";"36";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"30.0";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"17.05.2017 17:30";"41.4";"713.7";"749.5";"";"32";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"42.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"17.05.2017 08:30";"35.0";"716.1";"752.8";"";"37";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"30.4";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"16.05.2017 17:30";"41.4";"712.9";"748.7";"";"32";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"43.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"16.05.2017 08:30";"34.4";"715.4";"752.1";"";"39";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"29.8";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"15.05.2017 17:30";"43.4";"720.2";"756.1";"";"27";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"44.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"15.05.2017 08:30";"35.0";"716.9";"753.7";"";"37";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"30.4";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"14.05.2017 17:30";"42.0";"714.8";"750.6";"";"31";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"43.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"14.05.2017 08:30";"34.4";"717.1";"753.9";"";"36";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"29.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"13.05.2017 17:30";"41.0";"715.6";"751.6";"";"34";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"42.5";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"13.05.2017 08:30";"33.4";"718.6";"755.6";"";"43";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"28.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.1";"";"";"";"";"";"";
"12.05.2017 17:30";"40.4";"715.6";"751.6";"";"35";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"41.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"12.05.2017 08:30";"32.4";"718.8";"756.0";"";"42";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"24.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.8";"";"";"";"";"";"";
"11.05.2017 17:30";"30.4";"716.7";"754.0";"";"63";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"40.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"11.05.2017 08:30";"33.4";"718.6";"755.6";"";"44";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"10.05.2017 17:30";"39.4";"715.6";"751.8";"";"37";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"41.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"10.05.2017 08:30";"31.4";"718.7";"756.0";"";"47";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"27.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.8";"";"";"";"";"";"";
"09.05.2017 17:30";"40.4";"714.7";"750.7";"";"32";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"42.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"09.05.2017 08:30";"34.4";"717.7";"754.6";"";"38";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"27.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.1";"";"";"";"";"";"";
"08.05.2017 17:30";"40.4";"715.3";"751.3";"";"35";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"43.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"08.05.2017 08:30";"33.0";"720.3";"757.5";"";"45";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"26.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"07.05.2017 17:30";"43.0";"717.0";"752.8";"";"28";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"44.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"07.05.2017 08:30";"31.4";"719.3";"756.6";"";"54";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"06.05.2017 17:30";"42.0";"715.3";"751.1";"";"31";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"44.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"06.05.2017 08:30";"35.4";"717.8";"754.6";"";"35";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"26.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.9";"";"";"";"";"";"";
"05.05.2017 17:30";"42.0";"716.1";"752.0";"";"30";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"43.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.1";"";"";"";"";"";"";
"05.05.2017 08:30";"32.4";"718.6";"755.8";"";"43";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"04.05.2017 17:30";"40.4";"716.9";"753.0";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"42.0";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"04.05.2017 08:30";"32.4";"720.3";"757.6";"";"42";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"03.05.2017 17:30";"39.0";"716.9";"753.2";"";"40";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"41.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"03.05.2017 08:30";"34.0";"718.8";"755.8";"";"41";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"28.4";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"02.05.2017 17:30";"40.0";"716.3";"752.4";"";"36";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"41.0";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"02.05.2017 08:30";"31.4";"719.5";"756.8";"";"52";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"26.4";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"01.05.2017 17:30";"39.0";"717.1";"753.4";"";"38";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"41.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"01.05.2017 08:30";"32.0";"719.4";"756.7";"";"49";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"28.2";"";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
