# Weather station Hassan, India, WMO_ID=43263,selection from 09.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43263&lang=en
#
"Local time in Hassan";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.09.2017 17:30";"31.8";"676.3";"";"";"82";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"";"33.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"28.3";"";"";"";"";"";"";
"11.09.2017 08:30";"21.2";"680.9";"";"";"88";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"15.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.1";"";"";"";"";"";"";
"10.09.2017 17:30";"30.8";"680.7";"";"";"85";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"27.9";"";"";"";"";"";"";
"10.09.2017 08:30";"20.4";"680.9";"";"";"86";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"15.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.9";"";"";"";"";"";"";
"09.09.2017 17:30";"32.8";"676.2";"";"";"80";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"34.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"28.8";"";"";"";"";"";"";
"09.09.2017 08:30";"19.0";"681.1";"";"";"86";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"15.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.5";"";"";"";"";"";"";
"08.09.2017 17:30";"32.8";"676.2";"";"";"81";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"";"34.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"29.1";"";"";"";"";"";"";
"08.09.2017 08:30";"21.2";"680.1";"";"";"80";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"16.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.5";"";"";"";"";"";"";
"07.09.2017 17:30";"32.8";"677.3";"";"";"80";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"34.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"28.8";"";"";"";"";"";"";
"07.09.2017 08:30";"19.6";"681.1";"";"";"83";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"15.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.7";"";"";"";"";"";"";
"06.09.2017 17:30";"32.8";"677.3";"";"";"76";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"34.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"28.0";"";"";"";"";"";"";
"06.09.2017 08:30";"23.2";"680.6";"";"";"88";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"17.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.1";"";"";"";"";"";"";
"05.09.2017 17:30";"32.6";"676.8";"";"";"81";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"34.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"28.9";"";"";"";"";"";"";
"05.09.2017 08:30";"22.4";"680.0";"";"";"85";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"16.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.7";"";"";"";"";"";"";
"04.09.2017 17:30";"30.6";"676.9";"";"";"80";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.8";"";"";"";"";"";"";
"04.09.2017 08:30";"21.8";"680.5";"";"";"80";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"15.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.1";"";"";"";"";"";"";
"03.09.2017 17:30";"29.8";"677.6";"";"";"87";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"32.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"27.4";"";"";"";"";"";"";
"03.09.2017 08:30";"19.3";"681.1";"";"";"95";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"14.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.4";"";"";"";"";"";"";
"02.09.2017 17:30";"28.2";"677.9";"";"";"84";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.2";"";"";"";"";"";"";
"02.09.2017 08:30";"21.2";"680.1";"";"";"80";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"15.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.5";"";"";"";"";"";"";
"01.09.2017 17:30";"29.8";"677.7";"";"";"84";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"32.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.8";"";"";"";"";"";"";
"01.09.2017 08:30";"19.2";"680.1";"";"";"83";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"14.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.3";"";"";"";"";"";"";
"31.08.2017 08:30";"20.2";"680.9";"";"";"84";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"14.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.4";"";"";"";"";"";"";
"30.08.2017 08:30";"19.2";"680.5";"";"";"83";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"14.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.3";"";"";"";"";"";"";
"29.08.2017 17:30";"28.2";"676.9";"";"";"84";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"";"30.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.2";"";"";"";"";"";"";
"29.08.2017 08:30";"19.2";"680.9";"";"";"85";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"14.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.6";"";"";"";"";"";"";
"28.08.2017 17:30";"27.6";"677.7";"";"";"83";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"29.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.5";"";"";"";"";"";"";
"28.08.2017 08:30";"19.8";"681.1";"";"";"80";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"14.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.3";"";"";"";"";"";"";
"27.08.2017 08:30";"20.6";"681.1";"";"";"84";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"14.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.8";"";"";"";"";"";"";
"25.08.2017 08:30";"20.4";"681.1";"";"";"84";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"14.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.6";"";"";"";"";"";"";
"24.08.2017 17:30";"26.8";"677.8";"";"";"85";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"28.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.0";"";"";"";"";"";"";
"24.08.2017 08:30";"20.6";"680.1";"";"";"83";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"15.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.5";"";"";"";"";"";"";
"22.08.2017 08:30";"21.4";"679.9";"";"";"86";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"15.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.0";"";"";"";"";"";"";
"20.08.2017 08:30";"20.4";"681.1";"";"";"84";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"15.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.6";"";"";"";"";"";"";
"19.08.2017 08:30";"21.4";"681.1";"";"";"86";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"15.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.0";"";"";"";"";"";"";
"18.08.2017 08:30";"22.4";"681.1";"";"";"86";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"16.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.0";"";"";"";"";"";"";
"17.08.2017 08:30";"24.6";"681.1";"";"";"88";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"17.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.5";"";"";"";"";"";"";
"16.08.2017 08:30";"21.4";"681.1";"";"";"86";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"17.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.0";"";"";"";"";"";"";
"15.08.2017 08:30";"20.4";"680.9";"";"";"86";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"16.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.9";"";"";"";"";"";"";
"14.08.2017 08:30";"23.8";"679.3";"";"";"82";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"17.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.5";"";"";"";"";"";"";
"14.08.2017 02:30";"28.8";"";"756.4";"";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.6";"";"";"";"";"";"";
"13.08.2017 08:30";"22.6";"680.3";"";"";"85";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"17.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.9";"";"";"";"";"";"";
"12.08.2017 08:30";"21.2";"680.5";"";"";"80";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"16.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.5";"";"";"";"";"";"";
"11.08.2017 17:30";"28.8";"676.3";"";"";"82";"Wind blowing from the south-west";"5";"";"";"60%.";" ";"";"";"";"30.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.5";"";"";"";"";"";"";
"10.08.2017 08:30";"23.6";"679.3";"";"";"82";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"17.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.3";"";"";"";"";"";"";
"09.08.2017 08:30";"24.2";"678.2";"";"";"82";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"18.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.0";"";"";"";"";"";"";
"08.08.2017 08:30";"23.8";"678.2";"";"";"75";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"17.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.0";"";"";"";"";"";"";
"07.08.2017 08:30";"23.0";"680.9";"";"";"88";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"16.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.9";"";"";"";"";"";"";
"06.08.2017 08:30";"24.2";"680.9";"";"";"90";"Wind blowing from the north-east";"3";"";"";"60%.";"Snow shower(s), slight. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"17.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.5";"";"";"";"";"";"";
"05.08.2017 08:30";"23.6";"680.0";"";"";"79";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"16.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.7";"";"";"";"";"";"";
"04.08.2017 08:30";"23.0";"680.0";"";"";"90";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"15.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.2";"";"";"";"";"";"";
"03.08.2017 08:30";"32.3";"680.0";"";"";"48";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.9";"";"";"";"";"";"";
"31.07.2017 08:30";"22.6";"680.5";"";"";"85";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"16.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.9";"";"";"";"";"";"";
"28.07.2017 08:30";"22.8";"679.3";"";"";"82";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"21.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.5";"";"";"";"";"";"";
"26.07.2017 11:30";"21.8";"680.5";"";"";"80";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"16.0";"29.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"18.1";"";"";"";"";"";"";
"26.07.2017 08:30";"21.8";"680.5";"";"";"80";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"16.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.1";"";"";"";"";"";"";
"25.07.2017 08:30";"22.6";"680.4";"";"";"85";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"15.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.9";"";"";"";"";"";"";
"24.07.2017 08:30";"20.2";"681.1";"";"";"87";"Wind blowing from the north-east";"5";"";"";"20–30%.";" ";"";"";"15.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.0";"";"";"";"";"";"";
"23.07.2017 08:30";"20.8";"680.4";"";"";"81";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"14.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.4";"";"";"";"";"";"";
"21.07.2017 08:30";"22.0";"681.1";"";"";"88";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"15.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.9";"";"";"";"";"";"";
"20.07.2017 08:30";"18.8";"680.8";"";"";"85";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"13.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.2";"";"";"";"";"";"";
"19.07.2017 08:30";"21.2";"681.1";"";"";"80";"Wind blowing from the north-east";"5";"";"";"20–30%.";" ";"";"";"14.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.5";"";"";"";"";"";"";
"18.07.2017 17:30";"27.8";"676.5";"";"";"83";"Wind blowing from the west";"5";"";"";"60%.";" ";"";"";"";"29.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"18.07.2017 08:30";"20.6";"681.1";"";"";"79";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"13.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.8";"";"";"";"";"";"";
"17.07.2017 08:30";"20.2";"681.1";"";"";"86";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"12.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.7";"";"";"";"";"";"";
"15.07.2017 08:30";"19.2";"681.1";"";"";"80";"Wind blowing from the north-east";"5";"";"";"60%.";" ";"";"";"16.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.6";"";"";"";"";"";"";
"14.07.2017 17:30";"27.0";"677.7";"";"";"85";"Wind blowing from the west";"5";"";"";"60%.";" ";"";"";"";"29.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.3";"";"";"";"";"";"";
"14.07.2017 08:30";"20.8";"680.4";"";"";"81";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"14.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.4";"";"";"";"";"";"";
"13.07.2017 08:30";"18.8";"681.1";"";"";"76";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"13.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.5";"";"";"";"";"";"";
"12.07.2017 08:30";"21.2";"680.5";"";"";"80";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"15.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.5";"";"";"";"";"";"";
"11.07.2017 08:30";"20.4";"681.1";"";"";"84";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"14.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.6";"";"";"";"";"";"";
"10.07.2017 08:30";"21.2";"680.4";"";"";"88";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"15.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.1";"";"";"";"";"";"";
"09.07.2017 08:30";"20.8";"680.4";"";"";"88";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"14.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.7";"";"";"";"";"";"";
"08.07.2017 08:30";"18.8";"681.1";"";"";"82";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"12.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.6";"";"";"";"";"";"";
