# Weather station Chandigarh (airport), India, WMO_ID=42105,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42105&lang=en
#
"Local time in Chandigarh (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2017 17:30";"18.0";"735.2";"762.3";"-0.6";"77";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.5";"";"";"";"";"";"2.0";"13.8";"";"";"";"";"";"";
"30.12.2017 14:30";"22.2";"735.8";"762.5";"-1.7";"55";"Wind blowing from the south-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"30.12.2017 11:30";"20.0";"737.5";"764.5";"0.6";"54";"Wind blowing from the south";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.4";"";"";"";"";"";"";
"30.12.2017 08:30";"9.8";"736.9";"764.8";"1.3";"82";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.5";"";"";"";"";"";"";"2.0";"6.8";"";"";"";"";"";"";
"30.12.2017 05:30";"9.4";"735.6";"763.5";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.3";"";"";"";"";"";"";
"29.12.2017 20:30";"13.6";"736.3";"763.8";"1.1";"91";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"12.1";"";"";"";"";"";"";
"29.12.2017 17:30";"19.2";"735.2";"762.1";"-0.3";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"29.12.2017 14:30";"23.4";"735.5";"762.1";"-1.3";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"29.12.2017 11:30";"21.4";"736.8";"763.6";"0.6";"43";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"29.12.2017 08:30";"9.0";"736.2";"764.2";"0.9";"79";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.2";"";"";"";"";"";"";"4.0";"5.5";"";"";"";"";"";"";
"29.12.2017 05:30";"8.0";"735.3";"763.3";"-0.1";"86";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"5.8";"";"";"";"";"";"";
"29.12.2017 02:30";"8.8";"735.4";"763.4";"-0.2";"87";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.7";"";"";"";"";"";"";
"28.12.2017 23:30";"10.4";"735.6";"763.4";"0.2";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"28.12.2017 20:30";"13.2";"735.4";"762.9";"0.3";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"28.12.2017 17:30";"18.6";"735.1";"762.1";"-0.4";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.0";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"28.12.2017 14:30";"22.8";"735.5";"762.1";"-1.0";"32";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"28.12.2017 11:30";"20.4";"736.5";"763.4";"0.4";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"28.12.2017 08:30";"8.4";"736.1";"764.1";"0.7";"92";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.6";"";"";"";"";"";"";"2.0";"7.1";"";"";"";"";"";"";
"28.12.2017 05:30";"8.4";"735.4";"763.4";"-0.4";"89";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"6.7";"";"";"";"";"";"";
"28.12.2017 02:30";"9.6";"735.8";"763.7";"-0.5";"87";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"7.5";"";"";"";"";"";"";
"27.12.2017 23:30";"11.6";"736.3";"764.0";"0.9";"85";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.2";"";"";"";"";"";"";
"27.12.2017 20:30";"13.4";"735.4";"762.9";"0.2";"82";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"10.3";"";"";"";"";"";"";
"27.12.2017 17:30";"17.8";"735.2";"762.3";"0.0";"64";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"22.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.8";"";"";"";"";"";"";
"27.12.2017 14:30";"21.6";"735.2";"761.9";"-1.6";"49";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.3";"";"";"";"";"";"";
"27.12.2017 11:30";"19.2";"736.8";"763.8";"0.8";"57";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.3";"";"";"";"";"";"";
"27.12.2017 08:30";"9.2";"736.0";"763.9";"0.9";"84";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"8.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"6.6";"";"";"";"";"";"";
"27.12.2017 05:30";"9.8";"735.1";"763.0";"";"90";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"8.2";"";"";"";"";"";"";
"27.12.2017 02:30";"10.8";"735.8";"763.6";"-0.3";"90";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.2";"";"";"";"";"";"";
"26.12.2017 23:30";"11.8";"736.1";"763.8";"0.6";"91";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"10.3";"";"";"";"";"";"";
"26.12.2017 20:30";"13.4";"735.5";"763.0";"-0.1";"84";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"10.7";"";"";"";"";"";"";
"26.12.2017 17:30";"18.0";"735.6";"762.7";"0.0";"62";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"22.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.6";"";"";"";"";"";"";
"26.12.2017 14:30";"21.8";"735.6";"762.3";"-1.4";"46";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.6";"";"";"";"";"";"";
"26.12.2017 11:30";"19.0";"737.0";"764.0";"1.0";"55";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.6";"";"";"";"";"";"";
"26.12.2017 08:30";"9.2";"736.0";"763.9";"0.5";"92";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"8.0";"";"";"";"";"";"";
"26.12.2017 05:30";"7.4";"735.5";"763.6";"-0.2";"94";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.5";"";"";"";"";"";"";
"26.12.2017 02:30";"8.8";"735.7";"763.7";"-0.9";"92";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.5";"";"";"";"";"";"";
"25.12.2017 23:30";"10.4";"736.6";"764.4";"0.6";"88";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"25.12.2017 20:30";"13.0";"736.0";"763.6";"0.8";"82";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.9";"";"";"";"";"";"";
"25.12.2017 17:30";"17.6";"735.2";"762.3";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.4";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"25.12.2017 11:30";"18.4";"736.5";"763.6";"1.1";"51";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"25.12.2017 08:30";"9.4";"735.4";"763.3";"0.1";"87";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.2";"";"";"";"";"";"";"2.0";"7.3";"";"";"";"";"";"";
"25.12.2017 05:30";"8.0";"735.3";"763.3";"-0.2";"94";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"7.1";"";"";"";"";"";"";
"25.12.2017 02:30";"9.6";"735.5";"763.4";"-0.3";"95";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"8.8";"";"";"";"";"";"";
"24.12.2017 23:30";"11.6";"735.8";"763.5";"0.6";"95";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"10.8";"";"";"";"";"";"";
"24.12.2017 20:30";"13.8";"735.2";"762.7";"1.2";"84";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"11.2";"";"";"";"";"";"";
"24.12.2017 17:30";"18.2";"734.0";"761.0";"-0.5";"75";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"21.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"13.6";"";"";"";"";"";"";
"24.12.2017 14:30";"21.6";"734.5";"761.2";"-1.5";"53";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.6";"";"";"";"";"";"";
"24.12.2017 11:30";"18.4";"736.0";"763.0";"0.4";"61";"Wind blowing from the south-southeast";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.6";"";"";"";"";"";"";
"24.12.2017 08:30";"9.0";"735.6";"763.6";"";"89";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"7.3";"";"";"";"";"";"";
"23.12.2017 23:30";"11.2";"734.3";"762.0";"0.8";"90";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.6";"";"";"";"";"";"";
"23.12.2017 20:30";"13.6";"733.5";"760.9";"0.6";"82";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.5";"";"";"";"";"";"";
"23.12.2017 17:30";"18.4";"732.9";"759.8";"0.0";"59";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"22.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.2";"";"";"";"";"";"";
"23.12.2017 14:30";"22.2";"732.9";"759.5";"-2.0";"39";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.7";"";"";"";"";"";"";
"23.12.2017 11:30";"18.4";"734.9";"761.9";"0.5";"47";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"23.12.2017 08:30";"9.8";"734.4";"762.2";"0.7";"87";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.6";"";"";"";"";"";"";"2.0";"7.7";"";"";"";"";"";"";
"23.12.2017 05:30";"11.0";"733.7";"761.4";"-1.4";"82";"Wind blowing from the north-northwest";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.1";"";"";"";"";"";"";
"23.12.2017 02:30";"11.0";"735.1";"762.8";"-0.8";"82";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.1";"";"";"";"";"";"";
"22.12.2017 23:30";"12.0";"735.9";"763.6";"0.2";"83";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.2";"";"";"";"";"";"";
"22.12.2017 20:30";"15.2";"735.7";"763.0";"-0.1";"75";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"22.12.2017 17:30";"19.4";"735.8";"762.7";"0.6";"57";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.9";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
