# Weather station Rohtak, India, WMO_ID=42176,selection from 31.07.2017 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42176&lang=en
#
"Local time in Rohtak";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"18.0";"739.9";"759.4";"";"94";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.2";"";"";"";"";"";"1.0";"17.0";"";"";"";"";"";"";
"31.12.2017 08:30";"7.4";"743.3";"763.7";"";"94";"Wind blowing from the south-southeast";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"5.6";"";"";"";"";"";"";"less than 0.05";"6.5";"";"";"";"";"";"";
"30.12.2017 17:30";"20.0";"742.3";"761.8";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.4";"";"";"";"";"";"2.0";"15.6";"";"";"";"";"";"";
"30.12.2017 08:30";"9.2";"742.9";"763.1";"";"97";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.5";"";"";"";"";"";"";"2.0";"8.8";"";"";"";"";"";"";
"29.12.2017 17:30";"21.0";"744.1";"763.5";"";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.9";"";"";"";"";"";"2.0";"14.9";"";"";"";"";"";"";
"29.12.2017 08:30";"10.0";"743.2";"763.4";"";"96";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.7";"";"";"";"";"";"";"2.0";"9.4";"";"";"";"";"";"";
"28.12.2017 17:30";"21.4";"742.4";"761.8";"";"65";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"14.6";"";"";"";"";"";"";
"28.12.2017 08:30";"9.0";"743.3";"763.6";"";"97";"Wind blowing from the south";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.2";"";"";"";"";"";"";"1.0";"8.6";"";"";"";"";"";"";
"27.12.2017 17:30";"21.4";"742.0";"761.4";"";"65";"Wind blowing from the west";"1";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"14.6";"";"";"";"";"";"";
"27.12.2017 08:30";"9.2";"743.4";"763.6";"";"95";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"8.4";"";"";"";"";"";"";
