# Weather station New Delhi / Indira Gandhi (airport), India, WMO_ID=42181,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42181&lang=en
#
"Local time in New Delhi / Indira Gandhi (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2017 17:30";"18.4";"741.3";"762.2";"-0.8";"63";"Wind blowing from the west";"3";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.8";"";"";"";"";"";"2.0";"11.1";"";"";"";"";"";"";
"30.12.2017 14:30";"22.2";"742.1";"762.7";"-2.3";"42";"Wind blowing from the west";"3";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.7";"";"";"";"";"";"";
"30.12.2017 11:30";"18.2";"744.4";"765.4";"0.7";"66";"Wind blowing from the west-northwest";"3";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"";"";"";"";"";"0.5";"11.7";"";"";"";"";"";"";
"30.12.2017 08:30";"10.4";"743.7";"765.2";"1.6";"92";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.5";"";"";"";"";"";"";"0.2";"9.2";"";"";"";"";"";"";
"30.12.2017 05:30";"9.4";"742.1";"763.7";"-0.6";"97";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.5";"9.0";"";"";"";"";"";"";
"30.12.2017 02:30";"11.0";"742.7";"764.2";"-0.5";"88";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.5";"9.0";"";"";"";"";"";"";
"29.12.2017 23:30";"12.4";"743.2";"764.6";"0.4";"86";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"10.1";"";"";"";"";"";"";
"29.12.2017 20:30";"14.4";"742.8";"764.0";"1.0";"74";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"9.8";"";"";"";"";"";"";
"29.12.2017 17:30";"20.0";"741.8";"762.6";"-0.5";"56";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.8";"";"";"";"";"";"2.0";"10.9";"";"";"";"";"";"";
"29.12.2017 14:30";"23.6";"742.3";"762.8";"-1.4";"40";"Wind blowing from the west-northwest";"3";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"9.2";"";"";"";"";"";"";
"29.12.2017 11:30";"18.6";"743.7";"764.6";"0.6";"58";"Wind blowing from the west";"3";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"10.0";"";"";"";"";"";"";
"29.12.2017 08:30";"9.2";"743.1";"764.7";"1.1";"92";"Wind blowing from the south-southwest";"2";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.2";"";"";"";"";"";"";"0.2";"8.0";"";"";"";"";"";"";
"29.12.2017 05:30";"10.2";"742.0";"763.5";"0.1";"85";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.2";"7.7";"";"";"";"";"";"";
"29.12.2017 02:30";"11.4";"741.9";"763.3";"-0.4";"83";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.5";"8.6";"";"";"";"";"";"";
"28.12.2017 23:30";"13.4";"742.3";"763.6";"0.2";"73";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"8.6";"";"";"";"";"";"";
"28.12.2017 20:30";"15.2";"742.1";"763.2";"0.7";"69";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.4";"";"";"";"";"";"";
"28.12.2017 17:30";"20.2";"741.4";"762.1";"-0.1";"51";"Wind blowing from the west-northwest";"2";"";"";"20–30%.";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"24.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.8";"";"";"";"";"";"";
"28.12.2017 14:30";"24.2";"741.5";"762.0";"-1.9";"36";"Wind blowing from the north-west";"3";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"8.1";"";"";"";"";"";"";
"28.12.2017 11:30";"20.8";"743.4";"764.2";"0.5";"46";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"8.7";"";"";"";"";"";"";
"28.12.2017 08:30";"9.8";"742.9";"764.5";"1.2";"85";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.6";"";"";"";"";"";"";"0.5";"7.3";"";"";"";"";"";"";
"28.12.2017 05:30";"10.4";"741.7";"763.2";"";"88";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"8.4";"";"";"";"";"";"";
"27.12.2017 23:30";"13.8";"742.7";"764.0";"0.5";"69";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.2";"";"";"";"";"";"";
"27.12.2017 20:30";"15.8";"742.2";"763.3";"0.8";"63";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.8";"";"";"";"";"";"";
"27.12.2017 17:30";"19.8";"741.4";"762.2";"-0.5";"51";"Wind blowing from the north-west";"3";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.3";"";"";"";"";"";"";
"27.12.2017 14:30";"23.8";"741.9";"762.4";"-1.9";"32";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.3";"";"";"";"";"";"";
"27.12.2017 11:30";"19.6";"743.8";"764.7";"0.3";"52";"Wind blowing from the west";"2";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.5";"";"";"";"";"";"";
"27.12.2017 08:30";"10.2";"743.5";"765.0";"1.7";"92";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.6";"";"";"";"";"";"";"0.5";"9.0";"";"";"";"";"";"";
"27.12.2017 05:30";"9.2";"741.8";"763.4";"0.0";"95";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.5";"8.4";"";"";"";"";"";"";
"27.12.2017 02:30";"10.6";"741.8";"763.3";"-1.3";"90";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.5";"9.0";"";"";"";"";"";"";
"26.12.2017 23:30";"12.8";"743.1";"764.4";"1.2";"84";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.1";"";"";"";"";"";"";
"26.12.2017 20:30";"15.2";"741.9";"763.0";"-0.2";"75";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.7";"";"";"";"";"";"";
"26.12.2017 17:30";"19.0";"742.1";"763.0";"-0.3";"62";"Wind blowing from the west";"3";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.8";"";"";"";"";"";"2.0";"11.4";"";"";"";"";"";"";
"26.12.2017 14:30";"22.2";"742.4";"763.0";"-1.7";"41";"Wind blowing from the west";"4";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.2";"";"";"";"";"";"";
"26.12.2017 11:30";"17.6";"744.1";"765.1";"0.3";"55";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"8.3";"";"";"";"";"";"";
"26.12.2017 08:30";"9.6";"743.8";"765.4";"1.4";"92";"Wind blowing from the west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"2500 or more, or no clouds.";"";"";"0.2";"8.4";"";"";"";"";"";"";
"26.12.2017 05:30";"9.4";"742.4";"764.0";"-0.4";"84";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.5";"6.8";"";"";"";"";"";"";
"26.12.2017 02:30";"11.6";"742.8";"764.2";"0.0";"88";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.5";"9.6";"";"";"";"";"";"";
"25.12.2017 23:30";"12.4";"742.8";"764.2";"-0.5";"84";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"9.7";"";"";"";"";"";"";
"25.12.2017 20:30";"14.4";"743.3";"764.5";"1.1";"76";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.2";"";"";"";"";"";"";
"25.12.2017 17:30";"19.4";"742.2";"763.0";"0.1";"55";"Wind blowing from the north-west";"3";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.8";"";"";"";"";"";"2.0";"10.1";"";"";"";"";"";"";
"25.12.2017 14:30";"22.8";"742.1";"762.7";"-1.7";"43";"Wind blowing from the west-northwest";"5";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"2.0";"9.5";"";"";"";"";"";"";
"25.12.2017 11:30";"18.4";"743.8";"764.7";"0.5";"61";"Wind blowing from the west";"3";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"10.6";"";"";"";"";"";"";
"25.12.2017 08:30";"9.8";"743.3";"764.9";"1.4";"87";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.9";"";"";"";"";"";"";"0.2";"7.7";"";"";"";"";"";"";
"25.12.2017 05:30";"10.0";"741.9";"763.4";"0.4";"87";"Wind blowing from the south-west";"2";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"7.9";"";"";"";"";"";"";
"25.12.2017 02:30";"10.6";"741.5";"763.0";"-0.6";"82";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.5";"7.7";"";"";"";"";"";"";
"24.12.2017 23:30";"12.2";"742.1";"763.5";"0.3";"74";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"7.7";"";"";"";"";"";"";
"24.12.2017 20:30";"13.0";"741.8";"763.1";"1.3";"73";"Calm, no wind";"0";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.2";"";"";"";"";"";"";
"24.12.2017 17:30";"19.2";"740.5";"761.3";"0.3";"49";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.2";"";"";"";"";"";"2.0";"8.2";"";"";"";"";"";"";
"24.12.2017 14:30";"23.4";"740.2";"760.7";"-2.5";"27";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"3.2";"";"";"";"";"";"";
"24.12.2017 11:30";"21.6";"742.7";"763.4";"0.3";"40";"Wind blowing from the south";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.3";"";"";"";"";"";"";
"24.12.2017 08:30";"9.8";"742.4";"763.9";"1.8";"90";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.8";"";"";"";"";"";"";"1.0";"8.2";"";"";"";"";"";"";
"24.12.2017 05:30";"9.2";"740.6";"762.1";"-0.3";"87";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"7.1";"";"";"";"";"";"";
"24.12.2017 02:30";"10.4";"740.9";"762.4";"-0.5";"82";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.5";"";"";"";"";"";"";
"23.12.2017 23:30";"12.4";"741.4";"762.7";"0.7";"77";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"23.12.2017 20:30";"15.2";"740.7";"761.8";"0.9";"75";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.7";"";"";"";"";"";"";
"23.12.2017 17:30";"20.4";"739.8";"760.5";"";"42";"Wind blowing from the west-northwest";"5";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.4";"";"";"";"";"";"2.0";"7.1";"";"";"";"";"";"";
"23.12.2017 11:30";"19.8";"741.9";"762.7";"0.2";"52";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"9.7";"";"";"";"";"";"";
"23.12.2017 08:30";"10.2";"741.7";"763.2";"0.5";"78";"Wind blowing from the west-southwest";"2";"";"";"20–30%.";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"0.5";"6.4";"";"";"";"";"";"";
"23.12.2017 05:30";"10.2";"741.2";"762.7";"-0.9";"82";"Wind blowing from the west";"3";"";"";"50%.";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"0.5";"7.3";"";"";"";"";"";"";
"23.12.2017 02:30";"11.0";"742.1";"763.5";"-0.8";"76";"Wind blowing from the west";"3";"";"";"20–30%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"6.8";"";"";"";"";"";"";
