# Weather station Narnaul, India, WMO_ID=42177,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42177&lang=en
#
"Local time in Narnaul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"19.4";"733.1";"759.9";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"30.12.2017 08:30";"7.2";"736.4";"764.6";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"29.12.2017 08:30";"7.4";"736.1";"764.2";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.5";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"28.12.2017 17:30";"19.4";"734.5";"761.4";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"28.12.2017 08:30";"7.4";"735.2";"763.3";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.7";"";"";"";"";"";"";"4.0";"3.9";"";"";"";"";"";"";
"27.12.2017 17:30";"19.4";"734.9";"761.8";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"27.12.2017 08:30";"7.4";"735.3";"763.4";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"4.0";"4.1";"";"";"";"";"";"";
"26.12.2017 08:30";"7.0";"";"764.0";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"4.7";"";"";"";"";"";"";
"25.12.2017 17:30";"19.4";"";"763.4";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"24.12.2017 17:30";"15.0";"";"759.6";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"24.12.2017 08:30";"10.4";"";"762.7";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.5";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"23.12.2017 17:30";"20.4";"";"761.1";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"3.7";"";"";"";"";"";"";
"23.12.2017 08:30";"11.4";"";"763.8";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"22.12.2017 17:30";"20.0";"";"763.6";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.7";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"22.12.2017 08:30";"13.4";"";"766.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"20.12.2017 17:30";"22.0";"";"762.9";"";"50";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"25.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.2";"";"";"";"";"";"";
"20.12.2017 08:30";"12.6";"";"767.6";"";"64";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"9.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.8";"";"";"";"";"";"";
"19.12.2017 17:30";"21.0";"";"764.2";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"19.12.2017 08:30";"12.4";"739.2";"766.9";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.6";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"18.12.2017 08:30";"15.5";"739.9";"767.4";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"15.12.2017 17:30";"13.4";"733.2";"760.6";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"18.0";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"15.12.2017 08:30";"8.0";"739.1";"767.3";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"4.0";"";"";"";"";"";"";"0.05";"8.0";"";"";"";"";"";"";
"14.12.2017 17:30";"17.0";"737.0";"764.2";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"20.0";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"14.12.2017 08:30";"7.7";"738.4";"766.6";"";"93";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"6.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.7";"";"";"";"";"";"";
"13.12.2017 17:30";"16.4";"736.0";"763.2";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"20.7";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"12.12.2017 17:30";"14.0";"734.6";"762.0";"";"89";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"17.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.2";"";"";"";"";"";"";
"11.12.2017 08:30";"13.4";"733.2";"760.6";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"10.12.2017 17:30";"23.4";"733.9";"760.4";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"10.12.2017 08:30";"8.0";"735.1";"763.1";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.5";"";"";"";"";"";"";"4.0";"3.3";"";"";"";"";"";"";
"09.12.2017 17:30";"20.4";"733.3";"760.1";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"09.12.2017 08:30";"8.4";"735.1";"763.1";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"4.0";"2.7";"";"";"";"";"";"";
"08.12.2017 17:30";"22.0";"734.6";"761.3";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"08.12.2017 08:30";"11.0";"736.9";"764.7";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"2.7";"";"";"";"";"";"";
"07.12.2017 17:30";"19.4";"728.6";"755.3";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"2.0";"6.3";"";"";"";"";"";"";
"06.12.2017 17:30";"21.0";"733.4";"760.1";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"06.12.2017 08:30";"13.4";"736.4";"763.9";"";"67";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"10.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.3";"";"";"";"";"";"";
