# Weather station Fursatganj, India, WMO_ID=42372,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42372&lang=en
#
"Local time in Fursatganj";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.12.2017 11:30";"12.6";"754.2";"764.7";"1.0";"97";"variable wind direction";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog, depositing rime, sky invisible. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.05";"12.2";"";"";"";"";"";"";
"29.12.2017 08:30";"10.8";"753.2";"763.8";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog, depositing rime, sky invisible. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.4";"";"";"";"";"";"";"less than 0.05";"10.8";"";"";"";"";"";"";
"28.12.2017 17:30";"20.2";"751.0";"761.2";"-0.2";"76";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.0";"";"";"";"";"";"0.5";"15.9";"";"";"";"";"";"";
"28.12.2017 14:30";"23.0";"751.2";"761.3";"-2.1";"49";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"11.7";"";"";"";"";"";"";
"28.12.2017 11:30";"18.2";"753.3";"763.6";"0.4";"70";"Wind blowing from the west";"2";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"12.5";"";"";"";"";"";"";
"28.12.2017 08:30";"8.8";"752.9";"763.6";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"5.4";"";"";"";"";"";"";"less than 0.05";"8.8";"";"";"";"";"";"";
"27.12.2017 17:30";"20.6";"751.3";"761.5";"-0.4";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.2";"";"";"";"";"";"1.0";"15.6";"";"";"";"";"";"";
"27.12.2017 14:30";"22.4";"751.7";"761.8";"-2.1";"53";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"12.2";"";"";"";"";"";"";
"27.12.2017 11:30";"20.6";"753.8";"764.0";"0.7";"56";"Wind blowing from the west";"2";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"11.6";"";"";"";"";"";"";
"27.12.2017 08:30";"11.0";"753.1";"763.7";"";"88";"variable wind direction";"1";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.6";"";"";"";"";"";"";"0.2";"9.0";"";"";"";"";"";"";
"26.12.2017 17:30";"19.4";"751.8";"762.1";"-0.2";"70";"variable wind direction";"1";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.0";"";"";"";"";"";"0.5";"13.8";"";"";"";"";"";"";
"26.12.2017 14:30";"22.4";"752.0";"762.2";"-1.8";"47";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"10.4";"";"";"";"";"";"";
"26.12.2017 11:30";"15.0";"753.8";"764.2";"-0.1";"79";"variable wind direction";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"11.3";"";"";"";"";"";"";
"26.12.2017 08:30";"10.6";"753.9";"764.5";"";"97";"Wind blowing from the west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.7";"";"";"";"";"";"";"less than 0.05";"10.2";"";"";"";"";"";"";
"25.12.2017 17:30";"18.6";"750.9";"761.2";"-0.1";"79";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.2";"";"";"";"";"";"1.0";"14.8";"";"";"";"";"";"";
"25.12.2017 14:30";"20.6";"751.0";"761.2";"-2.0";"56";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"11.6";"";"";"";"";"";"";
"25.12.2017 11:30";"14.0";"753.0";"763.5";"0.3";"89";"variable wind direction";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"12.2";"";"";"";"";"";"";
"25.12.2017 08:30";"10.0";"752.7";"763.3";"";"100";"variable wind direction";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"10.0";"";"";"";"";"";"";
"24.12.2017 17:30";"21.6";"750.1";"760.3";"-0.1";"46";"variable wind direction";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.8";"";"";"";"";"";"1.0";"9.3";"";"";"";"";"";"";
"24.12.2017 14:30";"24.4";"750.2";"760.3";"-2.0";"34";"Wind blowing from the west-southwest";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.3";"";"";"";"";"";"";
"24.12.2017 11:30";"22.2";"752.2";"762.4";"0.3";"44";"Wind blowing from the south-west";"2";"";"";"10%  or less, but not 0";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.2";"";"";"";"";"";"";
"24.12.2017 08:30";"10.6";"751.9";"762.5";"";"90";"Calm, no wind";"0";"";"";"20–30%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.5";"9.0";"";"";"";"";"";"";
"23.12.2017 17:30";"20.4";"749.6";"759.8";"";"61";"variable wind direction";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"24.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"12.6";"";"";"";"";"";"";
"23.12.2017 11:30";"19.2";"751.2";"761.5";"-0.2";"62";"Wind blowing from the west";"2";"";"";"50%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"11.6";"";"";"";"";"";"";
"23.12.2017 08:30";"13.8";"751.4";"761.8";"";"75";"Wind blowing from the west";"2";"";"";"20–30%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"0.5";"9.5";"";"";"";"";"";"";
"22.12.2017 17:30";"22.2";"751.4";"761.5";"-0.1";"65";"Wind blowing from the west";"1";"";"";"70 – 80%.";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"15.2";"";"";"";"";"";"";
"22.12.2017 14:30";"24.0";"751.5";"761.6";"-2.4";"49";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.0";"12.5";"";"";"";"";"";"";
"22.12.2017 11:30";"17.8";"753.9";"764.2";"0.3";"82";"Wind blowing from the west";"2";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"14.7";"";"";"";"";"";"";
"22.12.2017 08:30";"13.4";"753.6";"764.1";"";"96";"Calm, no wind";"0";"";"";"40%.";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.2";"12.7";"";"";"";"";"";"";
"21.12.2017 17:30";"21.8";"753.7";"763.9";"-0.2";"76";"Wind blowing from the north-west";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"17.3";"";"";"";"";"";"";
"21.12.2017 14:30";"24.0";"753.9";"764.0";"-2.4";"63";"Wind blowing from the north-west";"2";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"16.5";"";"";"";"";"";"";
"21.12.2017 11:30";"19.4";"756.3";"766.6";"0.3";"74";"Wind blowing from the west-northwest";"2";"";"";"10%  or less, but not 0";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"0.5";"14.6";"";"";"";"";"";"";
"21.12.2017 08:30";"11.4";"756.0";"766.6";"";"95";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.1";"";"";"";"";"";"";"0.05";"10.6";"";"";"";"";"";"";
"20.12.2017 17:30";"20.4";"753.8";"764.0";"-0.2";"75";"variable wind direction";"1";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"0.5";"15.7";"";"";"";"";"";"";
"20.12.2017 14:30";"23.0";"754.0";"764.2";"-1.7";"56";"Wind blowing from the north-east";"1";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"13.8";"";"";"";"";"";"";
"20.12.2017 11:30";"19.8";"755.7";"766.0";"-0.2";"67";"Wind blowing from the east";"1";"";"";"50%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.5";"13.5";"";"";"";"";"";"";
"20.12.2017 08:30";"13.2";"755.9";"766.4";"";"96";"Calm, no wind";"0";"";"";"20–30%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.2";"12.5";"";"";"";"";"";"";
"19.12.2017 17:30";"20.6";"752.8";"763.0";"0.0";"71";"Wind blowing from the north-northeast";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"0.5";"15.2";"";"";"";"";"";"";
"19.12.2017 14:30";"22.4";"752.8";"763.0";"-2.2";"50";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"11.3";"";"";"";"";"";"";
"19.12.2017 11:30";"17.6";"755.0";"765.4";"0.5";"73";"Wind blowing from the north";"1";"";"";"20–30%.";"Fog or ice fog. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.5";"12.6";"";"";"";"";"";"";
"19.12.2017 08:30";"10.4";"754.5";"765.1";"";"97";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.7";"";"";"";"";"";"";"less than 0.05";"10.0";"";"";"";"";"";"";
"18.12.2017 17:30";"19.0";"753.1";"763.4";"0.3";"67";"variable wind direction";"1";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"12.6";"";"";"";"";"";"";
"18.12.2017 14:30";"21.4";"752.8";"763.0";"-2.0";"47";"Wind blowing from the south-west";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"9.5";"";"";"";"";"";"";
"18.12.2017 11:30";"19.6";"754.8";"765.1";"-0.2";"51";"Wind blowing from the south";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"9.0";"";"";"";"";"";"";
"18.12.2017 08:30";"9.2";"755.0";"765.7";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"5.8";"";"";"";"";"";"";"0.5";"7.1";"";"";"";"";"";"";
"17.12.2017 17:30";"21.2";"753.9";"764.1";"";"51";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"10.6";"";"";"";"";"";"";
"17.12.2017 11:30";"19.2";"756.0";"766.3";"0.2";"53";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"9.4";"";"";"";"";"";"";
"17.12.2017 08:30";"11.8";"755.8";"766.4";"";"69";"Wind blowing from the south-west";"2";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.1";"";"";"";"";"";"";"0.5";"6.3";"";"";"";"";"";"";
"16.12.2017 17:30";"22.0";"752.9";"763.1";"0.0";"49";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.6";"";"";"";"";"";"2.0";"10.8";"";"";"";"";"";"";
"16.12.2017 14:30";"24.4";"752.9";"763.0";"-2.0";"31";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"16.12.2017 11:30";"20.4";"754.9";"765.2";"0.2";"42";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"7.1";"";"";"";"";"";"";
"16.12.2017 08:30";"14.0";"754.7";"765.2";"";"74";"Wind blowing from the west";"3";"";"";"50%.";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"0.5";"9.3";"";"";"";"";"";"";
"15.12.2017 17:30";"22.6";"752.5";"762.6";"0.4";"59";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.8";"";"";"";"";"";"2.0";"14.1";"";"";"";"";"";"";
"15.12.2017 14:30";"24.8";"752.1";"762.2";"-1.7";"39";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"15.12.2017 11:30";"22.0";"753.8";"764.0";"0.0";"48";"Wind blowing from the west-northwest";"3";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.3";"";"";"";"";"";"";
"15.12.2017 08:30";"15.4";"753.8";"764.2";"";"81";"Wind blowing from the south-west";"2";"";"";"40%.";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.5";"12.1";"";"";"";"";"";"";
"14.12.2017 17:30";"21.8";"751.5";"761.7";"-0.7";"55";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.4";"";"";"";"";"";"2.0";"12.3";"";"";"";"";"";"";
"14.12.2017 14:30";"25.4";"752.2";"762.2";"-1.9";"44";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"14.12.2017 11:30";"22.4";"754.1";"764.3";"0.8";"55";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"13.0";"";"";"";"";"";"";
"14.12.2017 08:30";"14.4";"753.3";"763.8";"";"87";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.8";"";"";"";"";"";"";"0.5";"12.2";"";"";"";"";"";"";
