# Weather station Fursatganj, India, WMO_ID=42372,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42372&lang=en
#
"Local time in Fursatganj";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"12.4";"750.4";"760.9";"-0.6";"86";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"13.6";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"10.1";"";"";"";"";"";"";
"31.12.2017 14:30";"12.8";"751.0";"761.5";"-2.6";"88";"Wind blowing from the west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"10.9";"";"";"";"";"";"";
"31.12.2017 11:30";"11.4";"753.6";"764.2";"0.4";"95";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.2";"10.6";"";"";"";"";"";"";
"31.12.2017 08:30";"11.0";"753.2";"763.8";"";"97";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.5";"";"";"";"";"";"";"0.05";"10.6";"";"";"";"";"";"";
"30.12.2017 17:30";"12.2";"751.6";"762.1";"-0.6";"97";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"13.8";"";"";"";"";"";"0.05";"11.8";"";"";"";"";"";"";
"30.12.2017 14:30";"13.0";"752.2";"762.7";"-2.0";"96";"Wind blowing from the west-northwest";"1";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.2";"12.3";"";"";"";"";"";"";
"30.12.2017 11:30";"12.2";"754.2";"764.7";"0.3";"95";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.05";"11.4";"";"";"";"";"";"";
"30.12.2017 08:30";"11.4";"753.9";"764.5";"";"97";"Wind blowing from the south-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"";"";"";"";"less than 0.05";"11.0";"";"";"";"";"";"";
"29.12.2017 17:30";"12.2";"752.0";"762.5";"-0.5";"95";"variable wind direction";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"15.2";"";"";"";"";"";"0.2";"11.4";"";"";"";"";"";"";
"29.12.2017 14:30";"14.4";"752.5";"762.9";"-1.7";"96";"variable wind direction";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.2";"13.7";"";"";"";"";"";"";
