# Weather station Orai, India, WMO_ID=42468,selection from 15.08.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42468&lang=en
#
"Local time in Orai";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"12.5";"747.8";"760.9";"";"77";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"8.5";"";"";"";"";"";"";
"31.12.2017 08:30";"10.5";"750.7";"763.9";"";"82";"Wind blowing from the south-west";"1";"";"";"20–30%.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.0";"";"";"";"2500 or more, or no clouds.";"";"";"1.0";"7.5";"";"";"";"";"";"";
"30.12.2017 17:30";"17.5";"748.0";"760.9";"";"16";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"18.0";"";"";"";"";"";"4.0";"-8.5";"";"";"";"";"";"";
"30.12.2017 08:30";"13.0";"751.0";"764.1";"";"72";"Wind blowing from the south";"1";"";"";"40%.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.0";"";"";"";"";"";"";"less than 0.05";"8.0";"";"";"";"";"";"";
"29.12.2017 17:30";"22.0";"748.6";"761.3";"";"37";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"22.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"6.4";"";"";"";"";"";"";
"29.12.2017 08:30";"13.5";"750.8";"763.9";"";"74";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"28.12.2017 17:30";"24.0";"750.8";"763.4";"";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"28.12.2017 08:30";"14.0";"750.8";"763.9";"";"78";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"27.12.2017 17:30";"23.5";"750.7";"763.3";"";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"27.12.2017 08:30";"9.5";"748.6";"761.8";"";"85";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"26.12.2017 17:30";"23.5";"750.6";"763.2";"";"43";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"26.12.2017 08:30";"9.5";"748.1";"761.3";"";"97";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"25.12.2017 17:30";"23.0";"750.6";"763.3";"";"44";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"25.12.2017 08:30";"10.0";"748.1";"761.3";"";"97";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"24.12.2017 17:30";"23.5";"750.6";"763.2";"";"43";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"24.12.2017 08:30";"10.0";"748.1";"761.3";"";"94";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"23.12.2017 17:30";"24.0";"750.2";"762.8";"";"42";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"24.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.2";"";"";"";"";"";"";
"23.12.2017 08:30";"10.5";"748.0";"761.2";"";"95";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"22.12.2017 17:30";"22.0";"748.8";"761.5";"";"61";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
