# Weather station Orai, India, WMO_ID=42468,selection from 15.08.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42468&lang=en
#
"Local time in Orai";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.12.2017 08:30";"10.0";"747.7";"760.9";"";"99";"Wind blowing from the west";"1";"";"";"20–30%.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.0";"";"";"";"2500 or more, or no clouds.";"";"";"0.5";"9.8";"";"";"";"";"";"";
"21.12.2017 17:30";"22.5";"749.7";"762.4";"";"53";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"23.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.5";"";"";"";"";"";"";
"21.12.2017 08:30";"10.0";"747.6";"760.8";"";"97";"Wind blowing from the south";"1";"";"";"50%.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.5";"";"";"";"2500 or more, or no clouds.";"";"";"0.05";"9.5";"";"";"";"";"";"";
"20.12.2017 17:30";"22.0";"750.1";"762.8";"";"57";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"22.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.0";"";"";"";"";"";"";
"20.12.2017 08:30";"10.5";"747.4";"760.6";"";"92";"";"1";"";"";"20–30%.";" ";"";"";"9.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.2";"";"";"";"";"";"";
"19.12.2017 17:30";"22.5";"750.1";"762.8";"";"57";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"23.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.4";"";"";"";"";"";"";
"19.12.2017 08:30";"12.0";"747.2";"760.3";"";"91";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"9.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.5";"";"";"";"";"";"";
"18.12.2017 17:30";"23.0";"746.7";"759.3";"";"42";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"23.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.2";"";"";"";"";"";"";
"18.12.2017 08:30";"11.8";"747.1";"760.2";"";"83";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"17.12.2017 17:30";"23.5";"745.4";"757.9";"";"41";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"17.12.2017 08:30";"14.0";"746.4";"759.4";"";"78";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"16.12.2017 17:30";"23.5";"745.7";"758.3";"";"40";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"16.12.2017 08:30";"13.5";"748.0";"761.0";"";"91";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"10.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.0";"";"";"";"";"";"";
"15.12.2017 17:30";"24.0";"745.3";"757.8";"";"40";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"24.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.6";"";"";"";"";"";"";
"15.12.2017 08:30";"14.0";"748.2";"761.2";"";"80";"Wind blowing from the west";"1";"";"";"50%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.5";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"10.6";"";"";"";"";"";"";
"14.12.2017 17:30";"24.5";"745.2";"757.7";"";"39";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"25.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.6";"";"";"";"";"";"";
"14.12.2017 08:30";"14.5";"748.2";"761.2";"";"77";"Wind blowing from the west";"1";"";"";"20–30%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"10.5";"";"";"";"";"";"";
"13.12.2017 17:30";"26.5";"745.2";"757.6";"";"34";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"13.12.2017 08:30";"14.3";"747.9";"760.9";"";"96";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"12.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.7";"";"";"";"";"";"";
"12.12.2017 17:30";"26.0";"745.0";"757.4";"";"34";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"26.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.0";"";"";"";"";"";"";
"12.12.2017 08:30";"14.5";"747.7";"760.7";"";"77";"Wind blowing from the south";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.5";"";"";"";"";"";"";
"11.12.2017 08:30";"15.0";"748.3";"761.3";"";"61";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"7.4";"";"";"";"";"";"";
"10.12.2017 17:30";"26.5";"744.8";"757.2";"";"31";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"10.12.2017 08:30";"15.5";"747.8";"760.7";"";"57";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"09.12.2017 17:30";"26.5";"746.7";"759.1";"";"33";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"09.12.2017 08:30";"16.0";"748.2";"761.1";"";"57";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"08.12.2017 17:30";"25.0";"747.0";"759.5";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"08.12.2017 08:30";"15.5";"748.2";"761.2";"";"58";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"07.12.2017 17:30";"24.5";"746.9";"759.4";"";"37";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"07.12.2017 08:30";"16.0";"748.0";"760.9";"";"55";"Wind blowing from the south";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"7.0";"";"";"";"";"";"";
"06.12.2017 17:30";"22.5";"747.1";"759.7";"";"42";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"23.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.0";"";"";"";"";"";"";
"06.12.2017 08:30";"17.0";"748.5";"761.4";"";"53";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"13.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"7.2";"";"";"";"";"";"";
"05.12.2017 17:30";"23.5";"";"";"";"36";"Wind blowing from the east";"1";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Storm";"Shower(s).";"";"24.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"7.4";"";"";"";"";"";"";
"05.12.2017 08:30";"17.0";"748.6";"761.5";"";"52";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"04.12.2017 17:30";"25.5";"747.2";"759.7";"";"32";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"26.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"7.8";"";"";"";"";"";"";
"04.12.2017 08:30";"17.5";"748.4";"761.3";"";"52";"Wind blowing from the west";"1";"";"";"20–30%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"14.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"7.4";"";"";"";"";"";"";
"03.12.2017 17:30";"26.0";"747.1";"759.6";"";"31";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"03.12.2017 08:30";"18.0";"748.5";"761.3";"";"48";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"02.12.2017 17:30";"26.5";"747.3";"759.8";"";"31";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"02.12.2017 08:30";"18.0";"748.6";"761.4";"";"49";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"01.12.2017 17:30";"26.0";"747.7";"760.2";"";"32";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"01.12.2017 08:30";"17.5";"748.5";"761.4";"";"50";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"30.11.2017 17:30";"26.0";"747.3";"759.8";"";"31";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"29.11.2017 17:30";"26.0";"747.8";"760.3";"";"31";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"29.11.2017 08:30";"17.2";"748.4";"761.3";"";"54";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"28.11.2017 17:30";"26.5";"747.7";"760.2";"";"30";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"28.11.2017 08:30";"16.5";"749.3";"762.2";"";"97";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"27.11.2017 17:30";"24.0";"747.6";"760.2";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"27.11.2017 08:30";"17.0";"749.8";"762.7";"";"97";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"26.11.2017 17:30";"24.5";"747.6";"760.1";"";"34";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"26.11.2017 08:30";"17.0";"749.7";"762.6";"";"95";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"25.11.2017 17:30";"26.5";"747.0";"759.4";"";"42";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"25.11.2017 08:30";"17.5";"749.8";"762.7";"";"91";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"24.11.2017 17:30";"26.5";"747.0";"759.4";"";"43";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"24.11.2017 08:30";"17.0";"749.2";"762.1";"";"97";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"23.11.2017 17:30";"24.5";"746.6";"759.1";"";"47";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"23.11.2017 08:30";"18.0";"748.6";"761.4";"";"97";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"22.11.2017 17:30";"25.5";"746.4";"758.9";"";"44";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"22.11.2017 08:30";"18.0";"738.5";"751.2";"";"97";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"21.11.2017 17:30";"26.5";"746.4";"758.8";"";"42";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"21.11.2017 08:30";"18.5";"748.5";"761.3";"";"97";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"20.11.2017 17:30";"27.0";"746.4";"758.8";"";"41";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"27.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.6";"";"";"";"";"";"";
"20.11.2017 08:30";"19.0";"749.8";"762.6";"";"63";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.6";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"20.11.2017 02:30";"";"757.4";"757.8";"";"";"";"";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"200-300";"Altocumulus translucidus at a single level.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"0.4";"24.2";"";"";"";"";"";"";
"19.11.2017 17:30";"27.0";"746.4";"758.8";"";"41";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"27.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.5";"";"";"";"";"";"";
"19.11.2017 08:30";"19.5";"748.9";"761.7";"";"92";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"18.11.2017 17:30";"27.5";"745.8";"758.2";"";"38";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"18.11.2017 08:30";"19.0";"749.0";"761.8";"";"95";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"17.11.2017 08:30";"19.0";"749.3";"762.1";"";"97";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"16.11.2017 17:30";"28.5";"744.4";"756.7";"";"29";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.0";"";"";"";"";"";"";
"16.11.2017 08:30";"19.5";"749.3";"762.1";"";"95";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"18.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.7";"";"";"";"";"";"";
"15.11.2017 17:30";"30.0";"744.2";"756.5";"";"28";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"15.11.2017 08:30";"19.0";"749.4";"762.2";"";"97";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"14.11.2017 17:30";"28.0";"744.3";"756.6";"";"31";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"14.11.2017 08:30";"19.0";"749.3";"762.1";"";"95";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"13.11.2017 17:30";"29.5";"746.2";"758.5";"";"56";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"13.11.2017 08:30";"18.5";"749.6";"762.4";"";"99";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"12.11.2017 17:30";"27.5";"746.1";"758.5";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"12.11.2017 08:30";"18.5";"749.6";"762.4";"";"97";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"11.11.2017 17:30";"27.5";"746.0";"758.4";"";"62";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"10.11.2017 17:30";"29.0";"746.0";"758.3";"";"55";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"10.11.2017 08:30";"20.0";"748.9";"761.7";"";"98";"Wind blowing from the south";"1";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Drizzle.";"19.0";"";"";"";"";"";"";"0.5";"19.6";"";"";"";"";"";"";
"09.11.2017 17:30";"29.0";"746.2";"758.5";"";"57";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"08.11.2017 17:30";"31.5";"746.9";"759.1";"";"51";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"08.11.2017 08:30";"20.0";"748.7";"761.5";"";"97";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"07.11.2017 17:30";"30.5";"746.5";"758.8";"";"54";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"07.11.2017 08:30";"20.5";"748.7";"761.4";"";"98";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"19.5";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"06.11.2017 17:30";"31.5";"746.8";"759.0";"";"51";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.2";"";"";"";"";"";"";
"06.11.2017 08:30";"20.5";"749.4";"762.1";"";"94";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"05.11.2017 17:30";"31.5";"746.7";"758.9";"";"50";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"04.11.2017 17:30";"31.0";"746.7";"759.0";"";"54";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"04.11.2017 08:30";"22.0";"748.9";"761.6";"";"84";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"19.7";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"03.11.2017 17:30";"31.5";"746.8";"759.0";"";"52";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"03.11.2017 08:30";"21.0";"748.5";"761.2";"";"92";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"02.11.2017 17:30";"31.0";"746.7";"759.0";"";"55";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"31.9";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"02.11.2017 08:30";"21.0";"752.0";"764.8";"";"93";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"01.11.2017 17:30";"31.0";"746.6";"758.9";"";"57";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"01.11.2017 08:30";"20.5";"748.2";"760.9";"";"95";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"31.10.2017 17:30";"31.5";"746.7";"758.9";"";"52";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"31.10.2017 08:30";"20.5";"748.2";"760.9";"";"96";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
