# Weather station Najibabad, India, WMO_ID=42143,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42143&lang=en
#
"Local time in Najibabad";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.11.2017 08:30";"13.6";"739.4";"763.6";"";"75";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"26.11.2017 17:30";"19.6";"737.1";"760.7";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"26.11.2017 08:30";"14.2";"739.5";"763.6";"";"72";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"25.11.2017 17:30";"19.2";"737.1";"760.7";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.7";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"25.11.2017 08:30";"15.0";"739.4";"763.5";"";"81";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"24.11.2017 17:30";"19.4";"737.0";"760.6";"";"69";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"24.11.2017 08:30";"13.6";"739.3";"763.5";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"23.11.2017 17:30";"20.0";"736.9";"760.5";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"23.11.2017 08:30";"14.0";"738.6";"762.7";"";"93";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"22.11.2017 17:30";"19.6";"737.0";"760.6";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"22.11.2017 08:30";"13.4";"739.3";"763.5";"";"84";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"21.11.2017 17:30";"20.4";"736.7";"760.2";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.8";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"21.11.2017 08:30";"14.2";"738.6";"762.7";"";"76";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"20.11.2017 17:30";"21.2";"737.4";"760.9";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"20.11.2017 08:30";"15.2";"739.9";"763.9";"";"83";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"19.11.2017 17:30";"22.4";"736.8";"760.2";"";"64";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"19.11.2017 08:30";"17.6";"738.5";"762.3";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"18.11.2017 17:30";"23.2";"736.9";"760.2";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"18.11.2017 08:30";"17.6";"738.3";"762.1";"";"77";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"12.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.4";"";"";"";"";"";"";
"17.11.2017 08:30";"17.0";"738.5";"762.4";"";"82";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"16.11.2017 17:30";"23.2";"736.2";"759.5";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"16.11.2017 08:30";"16.6";"738.5";"762.4";"";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"15.11.2017 17:30";"23.2";"736.1";"759.4";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"15.11.2017 08:30";"19.6";"738.5";"762.1";"";"76";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"14.11.2017 17:30";"24.2";"736.7";"759.9";"";"60";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"14.11.2017 08:30";"19.4";"738.2";"761.8";"";"65";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"13.11.2017 17:30";"24.2";"734.8";"758.0";"";"63";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"13.11.2017 08:30";"19.6";"738.1";"761.7";"";"73";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"12.11.2017 17:30";"24.6";"736.6";"759.8";"";"61";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"12.11.2017 08:30";"20.2";"739.8";"763.4";"";"80";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"11.11.2017 17:30";"25.0";"736.5";"759.6";"";"61";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"11.11.2017 08:30";"21.0";"739.9";"763.5";"";"70";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"10.11.2017 17:30";"25.2";"737.2";"760.3";"";"64";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"10.11.2017 08:30";"17.4";"739.6";"763.5";"";"94";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"09.11.2017 17:30";"23.6";"736.0";"759.2";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"08.11.2017 17:30";"24.6";"736.5";"759.7";"";"61";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"08.11.2017 08:30";"20.4";"738.4";"762.0";"";"76";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"07.11.2017 17:30";"23.2";"737.3";"760.6";"";"67";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"07.11.2017 08:30";"20.0";"739.9";"763.5";"";"80";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"06.11.2017 17:30";"24.6";"737.8";"761.0";"";"64";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"06.11.2017 08:30";"20.2";"739.8";"763.4";"";"80";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"05.11.2017 17:30";"25.2";"736.9";"760.0";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"05.11.2017 08:30";"21.4";"739.8";"763.3";"";"75";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"04.11.2017 17:30";"25.0";"736.8";"759.9";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"04.11.2017 08:30";"20.4";"739.7";"763.3";"";"80";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"03.11.2017 17:30";"25.2";"736.5";"759.6";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"03.11.2017 08:30";"20.6";"739.8";"763.4";"";"82";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"02.11.2017 17:30";"24.2";"736.5";"759.7";"";"66";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"02.11.2017 08:30";"21.4";"739.6";"763.1";"";"75";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"01.11.2017 17:30";"24.4";"736.5";"759.7";"";"66";"Wind blowing from the east-northeast";"3";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"01.11.2017 08:30";"21.2";"739.5";"763.0";"";"77";"Wind blowing from the east-northeast";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";" ";"";"";"17.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.0";"";"";"";"";"";"";
"31.10.2017 17:30";"24.4";"736.5";"759.7";"";"65";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"31.10.2017 08:30";"20.2";"738.8";"762.4";"";"80";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"30.10.2017 17:30";"22.4";"737.2";"760.6";"";"65";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"29.10.2017 17:30";"22.4";"736.1";"759.4";"";"66";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"29.10.2017 08:30";"22.2";"738.1";"761.5";"";"68";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"28.10.2017 17:30";"22.4";"736.4";"759.7";"";"65";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
