# Weather station Najibabad, India, WMO_ID=42143,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42143&lang=en
#
"Local time in Najibabad";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"17.2";"737.6";"761.4";"";"65";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"31.12.2017 08:30";"13.4";"741.1";"765.3";"";"84";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"30.12.2017 17:30";"17.4";"737.9";"761.7";"";"63";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"30.12.2017 08:30";"13.6";"741.2";"765.4";"";"82";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"29.12.2017 17:30";"17.4";"739.1";"762.9";"";"63";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"23.8";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"29.12.2017 08:30";"14.0";"741.1";"765.3";"";"80";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.6";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"28.12.2017 17:30";"17.8";"737.7";"761.5";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"28.12.2017 08:30";"12.6";"740.5";"764.8";"";"82";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"7.2";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"27.12.2017 17:30";"16.4";"738.8";"762.7";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"21.5";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"27.12.2017 08:30";"9.8";"741.0";"765.6";"";"95";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"6.2";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"26.12.2017 17:30";"17.2";"738.7";"762.5";"";"65";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"21.4";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"26.12.2017 08:30";"10.0";"740.9";"765.4";"";"95";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.5";"9.2";"";"";"";"";"";"";
"25.12.2017 17:30";"16.4";"738.6";"762.5";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"20.4";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"25.12.2017 08:30";"12.4";"741.2";"765.5";"";"88";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"24.12.2017 17:30";"17.6";"737.7";"761.5";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"21.4";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"24.12.2017 08:30";"13.0";"740.3";"764.5";"";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"23.12.2017 17:30";"18.4";"738.1";"761.8";"";"63";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"21.6";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"23.12.2017 08:30";"23.4";"742.8";"766.3";"";"43";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.2";"";"";"";"";"";"";"0.5";"10.2";"";"";"";"";"";"";
"22.12.2017 17:30";"17.4";"";"";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.2";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"22.12.2017 08:30";"23.6";"742.0";"765.4";"";"48";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.5";"";"";"";"";"";"";"0.5";"11.9";"";"";"";"";"";"";
"21.12.2017 17:30";"18.0";"740.1";"763.9";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"21.12.2017 08:30";"14.6";"743.4";"767.6";"";"89";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"11.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.8";"";"";"";"";"";"";
"20.12.2017 17:30";"17.6";"740.1";"764.0";"";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"20.12.2017 08:30";"14.6";"743.2";"767.4";"";"82";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"19.12.2017 17:30";"16.6";"738.9";"762.8";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.2";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"19.12.2017 08:30";"12.4";"741.4";"765.7";"";"88";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"6.4";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"18.12.2017 17:30";"14.6";"739.0";"763.1";"";"78";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"19.2";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"18.12.2017 08:30";"8.6";"742.9";"767.6";"";"100";"Wind blowing from the north-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.8";"";"";"";"";"";"";"0.5";"8.6";"";"";"";"";"";"";
"17.12.2017 17:30";"14.6";"739.6";"763.7";"";"76";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"19.0";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"17.12.2017 08:30";"11.2";"741.1";"765.5";"";"99";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.2";"";"";"";"";"";"";"0.5";"11.0";"";"";"";"";"";"";
"16.12.2017 17:30";"15.2";"739.8";"763.8";"";"83";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"19.6";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"16.12.2017 08:30";"11.2";"741.8";"766.3";"";"88";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"8.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.2";"";"";"";"";"";"";
"15.12.2017 17:30";"16.2";"739.4";"763.3";"";"81";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"19.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.0";"";"";"";"";"";"";
"15.12.2017 08:30";"11.6";"741.1";"765.5";"";"95";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"9.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.8";"";"";"";"";"";"";
"14.12.2017 17:30";"15.0";"739.2";"763.2";"";"81";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"11.7";"";"";"";"";"";"";
"14.12.2017 08:30";"13.6";"741.7";"765.9";"";"96";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.6";"";"";"";"";"";"";"0.5";"12.9";"";"";"";"";"";"";
"13.12.2017 17:30";"18.6";"736.9";"760.6";"";"71";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.4";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"13.12.2017 08:30";"14.4";"740.3";"764.4";"";"97";"Wind blowing from the east-northeast";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.2";"";"";"";"2500 or more, or no clouds.";"";"";"0.5";"14.0";"";"";"";"";"";"";
"12.12.2017 17:30";"16.6";"738.1";"762.0";"";"84";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.8";"";"";"";"";"";"";
"12.12.2017 08:30";"16.4";"738.4";"762.3";"";"87";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"9.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.3";"";"";"";"";"";"";
"11.12.2017 08:30";"16.4";"738.8";"762.7";"";"77";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"10.12.2017 17:30";"22.4";"737.5";"760.9";"";"58";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"10.12.2017 08:30";"14.2";"738.7";"762.8";"";"72";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"09.12.2017 17:30";"20.2";"736.3";"759.8";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"09.12.2017 08:30";"16.4";"739.6";"763.5";"";"85";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"08.12.2017 17:30";"19.6";"737.1";"760.7";"";"64";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"23.8";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"08.12.2017 08:30";"14.2";"738.6";"762.7";"";"72";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"07.12.2017 17:30";"19.4";"737.0";"760.6";"";"69";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"24.4";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"07.12.2017 08:30";"14.0";"739.4";"763.5";"";"77";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"12.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.0";"";"";"";"";"";"";
"06.12.2017 17:30";"19.4";"736.7";"760.3";"";"67";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"23.2";"";"";"600-1000";"";"";"4.0";"13.1";"";"";"";"";"";"";
"06.12.2017 08:30";"15.6";"739.4";"763.4";"";"87";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"11.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.5";"";"";"";"";"";"";
"05.12.2017 17:30";"18.4";"736.3";"760.0";"";"77";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"22.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.2";"";"";"";"";"";"";
"04.12.2017 17:30";"20.2";"737.1";"760.6";"";"68";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"04.12.2017 08:30";"14.6";"740.0";"764.1";"";"87";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"03.12.2017 08:30";"13.4";"740.2";"764.4";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"02.12.2017 17:30";"18.4";"737.1";"760.8";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"02.12.2017 08:30";"13.2";"739.6";"763.8";"";"78";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"7.6";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"01.12.2017 17:30";"18.2";"736.9";"760.6";"";"66";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"29.11.2017 17:30";"18.2";"736.5";"760.2";"";"66";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"29.11.2017 08:30";"13.6";"738.8";"763.0";"";"75";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"28.11.2017 17:30";"18.6";"736.5";"760.2";"";"66";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"28.11.2017 08:30";"14.6";"737.9";"761.9";"";"76";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"7.6";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"27.11.2017 17:30";"19.8";"737.0";"760.6";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.8";"";"";"";"";"";"2.0";"12.7";"";"";"";"";"";"";
