# Weather station Jhansi, India, WMO_ID=42463,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42463&lang=en
#
"Local time in Jhansi";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"18.6";"739.7";"761.7";"-1.4";"70";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.5";"";"";"";"";"";"2.0";"12.9";"";"";"";"";"";"";
"31.12.2017 14:30";"20.6";"741.1";"763.0";"-2.2";"54";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.8";"";"";"";"";"";"";
"31.12.2017 11:30";"18.0";"743.3";"765.4";"0.2";"62";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.6";"";"";"";"";"";"";
"31.12.2017 08:30";"10.0";"743.1";"765.9";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.3";"";"";"";"";"";"";"0.5";"7.9";"";"";"";"";"";"";
"30.12.2017 17:30";"20.0";"740.7";"762.6";"-1.5";"74";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.4";"";"";"";"";"";"2.0";"15.3";"";"";"";"";"";"";
"30.12.2017 14:30";"22.0";"742.2";"764.0";"-1.8";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"12.1";"";"";"";"";"";"";
"30.12.2017 11:30";"20.0";"744.0";"766.0";"0.5";"61";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"12.2";"";"";"";"";"";"";
"30.12.2017 08:30";"11.8";"743.5";"766.1";"";"92";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.7";"";"";"";"";"";"";"0.5";"10.6";"";"";"";"";"";"";
"29.12.2017 17:30";"21.4";"741.2";"763.0";"-0.5";"48";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.6";"";"";"";"";"";"2.0";"10.0";"";"";"";"";"";"";
"29.12.2017 14:30";"25.4";"741.7";"763.2";"-2.3";"29";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"29.12.2017 11:30";"22.0";"744.0";"765.8";"0.5";"43";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.9";"";"";"";"";"";"";
"29.12.2017 08:30";"12.0";"743.5";"766.1";"";"67";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.3";"";"";"";"";"";"";"2.0";"6.1";"";"";"";"";"";"";
"28.12.2017 17:30";"21.0";"741.5";"763.3";"0.5";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"28.12.2017 14:30";"24.2";"741.0";"762.6";"-2.2";"29";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.2";"";"";"";"";"";"";
"28.12.2017 11:30";"22.0";"743.2";"765.0";"-0.1";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.9";"";"";"";"";"";"";
"28.12.2017 08:30";"11.0";"743.3";"766.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.0";"";"";"";"";"";"";"2.0";"7.3";"";"";"";"";"";"";
"27.12.2017 17:30";"22.0";"741.1";"762.9";"-0.1";"52";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.3";"";"";"";"";"";"2.0";"11.7";"";"";"";"";"";"";
"27.12.2017 14:30";"24.6";"741.2";"762.8";"-2.8";"39";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"27.12.2017 11:30";"22.0";"744.0";"765.8";"0.5";"45";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"27.12.2017 08:30";"12.0";"743.5";"766.1";"";"83";"Wind blowing from the south-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.7";"";"";"";"";"";"";"2.0";"9.2";"";"";"";"";"";"";
"26.12.2017 17:30";"21.2";"741.9";"763.7";"0.0";"59";"Wind blowing from the east";"1";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"12.8";"";"";"";"";"";"";
"26.12.2017 14:30";"24.6";"741.9";"763.5";"-2.7";"34";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"26.12.2017 11:30";"20.4";"744.6";"766.6";"-0.4";"48";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
