# Weather station Banda, India, WMO_ID=42473,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42473&lang=en
#
"Local time in Banda";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.12.2017 17:30";"21.6";"752.1";"762.7";"";"64";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"26.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.5";"";"";"";"";"";"";
"22.12.2017 08:30";"13.2";"754.4";"765.4";"";"93";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.5";"12.1";"";"";"";"";"";"";
"21.12.2017 17:30";"20.4";"753.1";"763.8";"";"80";"Calm, no wind";"0";"";"";"40%.";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.8";"";"";"";"";"";"";
"21.12.2017 08:30";"11.6";"756.1";"767.2";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.05";"11.6";"";"";"";"";"";"";
"20.12.2017 17:30";"20.4";"753.5";"764.2";"";"80";"Calm, no wind";"0";"";"";"40%.";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.8";"";"";"";"";"";"";
"20.12.2017 08:30";"13.4";"755.4";"766.4";"";"91";"Calm, no wind";"0";"";"";"40%.";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.5";"11.9";"";"";"";"";"";"";
"19.12.2017 17:30";"20.6";"752.3";"763.0";"";"80";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.0";"";"";"";"";"";"";
"19.12.2017 08:30";"13.6";"754.4";"765.4";"";"71";"Calm, no wind";"0";"";"";"40%.";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.4";"";"";"";"";"";"";
"18.12.2017 17:30";"22.0";"752.9";"763.5";"";"55";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.5";"";"";"";"";"";"";
"18.12.2017 08:30";"11.0";"755.8";"766.9";"";"71";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"5.9";"";"";"";"";"";"";
