# Weather station Banda, India, WMO_ID=42473,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42473&lang=en
#
"Local time in Banda";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.12.2017 17:30";"19.6";"754.4";"765.1";"";"64";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.5";"";"";"";"";"";"";
"17.12.2017 08:30";"12.6";"756.5";"767.5";"";"70";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.3";"";"";"";"";"";"";
"16.12.2017 17:30";"20.0";"753.5";"764.2";"";"63";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.6";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"16.12.2017 08:30";"13.0";"755.7";"766.7";"";"82";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.9";"";"";"";"";"";"";
"15.12.2017 17:30";"21.2";"752.6";"763.2";"";"64";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"14.0";"";"";"";"";"";"";
"15.12.2017 08:30";"14.6";"754.2";"765.1";"";"87";"Calm, no wind";"0";"";"";"40%.";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"12.4";"";"";"";"";"";"";
"14.12.2017 17:30";"21.0";"752.2";"762.8";"";"68";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.2";"";"";"";"";"";"2.0";"14.9";"";"";"";"";"";"";
"14.12.2017 08:30";"13.4";"754.0";"765.0";"";"96";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"12.7";"";"";"";"";"";"";
"13.12.2017 17:30";"23.4";"750.5";"761.0";"";"66";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.8";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"13.12.2017 08:30";"16.6";"752.8";"763.6";"";"84";"Calm, no wind";"0";"";"";"40%.";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"13.8";"";"";"";"";"";"";
"12.12.2017 17:30";"23.6";"749.6";"760.1";"";"70";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.9";"";"";"";"";"";"";
"12.12.2017 08:30";"16.4";"751.6";"762.4";"";"79";"Calm, no wind";"0";"";"";"40%.";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"12.8";"";"";"";"";"";"";
"11.12.2017 17:30";"22.0";"748.8";"759.4";"";"66";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.8";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"11.12.2017 08:30";"13.0";"751.6";"762.5";"";"82";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.9";"";"";"";"";"";"";
"10.12.2017 17:30";"20.4";"749.4";"760.0";"";"64";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.4";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"10.12.2017 08:30";"14.4";"752.0";"762.9";"";"74";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.8";"";"";"";"";"";"";
"09.12.2017 17:30";"22.0";"749.2";"759.8";"";"61";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.4";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"09.12.2017 08:30";"14.4";"751.5";"762.4";"";"68";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.5";"";"";"";"";"";"";
"08.12.2017 17:30";"23.2";"749.3";"759.8";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"08.12.2017 08:30";"15.6";"752.4";"763.2";"";"69";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.9";"";"";"";"";"";"";
"07.12.2017 17:30";"24.0";"749.3";"759.8";"";"63";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.5";"";"";"";"";"";"";
"07.12.2017 08:30";"17.4";"751.1";"761.9";"";"76";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"13.1";"";"";"";"";"";"";
"06.12.2017 17:30";"21.0";"748.5";"759.1";"";"70";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"15.3";"";"";"";"";"";"";
"06.12.2017 08:30";"17.0";"751.9";"762.7";"";"74";"Calm, no wind";"0";"";"";"40%.";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"12.3";"";"";"";"";"";"";
"05.12.2017 17:30";"22.6";"749.4";"759.9";"";"60";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.5";"";"";"";"";"";"";
"05.12.2017 08:30";"13.2";"751.9";"762.8";"";"75";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"8.9";"";"";"";"";"";"";
"04.12.2017 17:30";"21.4";"748.8";"759.4";"";"60";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.4";"";"";"";"";"";"";
"04.12.2017 08:30";"13.0";"751.9";"762.8";"";"73";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"8.2";"";"";"";"";"";"";
"03.12.2017 08:30";"13.0";"753.0";"764.0";"";"70";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"7.7";"";"";"";"";"";"";
"02.12.2017 17:30";"22.0";"750.4";"761.0";"";"50";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.2";"";"";"";"";"";"";
"02.12.2017 08:30";"13.0";"753.3";"764.3";"";"77";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.1";"";"";"";"";"";"";
"01.12.2017 17:30";"21.6";"749.6";"760.2";"";"62";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.6";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"01.12.2017 08:30";"13.6";"752.2";"763.1";"";"77";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.7";"";"";"";"";"";"";
"30.11.2017 17:30";"22.0";"749.5";"760.1";"";"60";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.0";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"29.11.2017 17:30";"23.2";"750.1";"760.6";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"29.11.2017 08:30";"13.6";"752.4";"763.3";"";"77";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"28.11.2017 17:30";"23.0";"748.9";"759.4";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"28.11.2017 08:30";"13.6";"751.4";"762.3";"";"67";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.5";"";"";"";"";"";"";
"27.11.2017 17:30";"23.2";"748.9";"759.4";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"27.11.2017 08:30";"13.6";"751.6";"762.5";"";"71";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"26.11.2017 17:30";"22.0";"750.3";"760.9";"";"58";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.8";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"26.11.2017 08:30";"13.2";"753.3";"764.3";"";"66";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"25.11.2017 17:30";"22.2";"750.3";"760.9";"";"58";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.4";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"25.11.2017 08:30";"12.6";"752.5";"763.5";"";"70";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.3";"";"";"";"";"";"";
"24.11.2017 17:30";"22.2";"749.5";"760.1";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"24.11.2017 08:30";"13.0";"752.2";"763.1";"";"66";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.8";"";"";"";"";"";"";
"23.11.2017 17:30";"21.4";"748.3";"758.9";"";"54";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.2";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"23.11.2017 08:30";"13.2";"750.9";"761.8";"";"65";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.6";"";"";"";"";"";"";
"22.11.2017 17:30";"23.2";"748.3";"758.8";"";"59";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.2";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"22.11.2017 08:30";"14.6";"751.0";"761.9";"";"70";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.1";"";"";"";"";"";"";
"21.11.2017 17:30";"22.4";"749.9";"760.5";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"21.11.2017 08:30";"14.6";"752.3";"763.2";"";"72";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.6";"";"";"";"";"";"";
"20.11.2017 17:30";"23.8";"750.0";"760.5";"";"54";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.0";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"20.11.2017 08:30";"16.6";"753.0";"763.8";"";"76";"Calm, no wind";"0";"";"";"no clouds";"Patches of shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"12.3";"";"";"";"";"";"";
"19.11.2017 17:30";"23.4";"749.5";"760.0";"";"72";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.0";"";"";"";"";"";"";
