# Weather station Kanpur / Chakeri, India, WMO_ID=42367,selection from 17.11.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42367&lang=en
#
"Local time in Kanpur / Chakeri";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.12.2017 08:30";"13.8";"753.9";"765.0";"";"91";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.2";"";"";"";"";"";"";"0.5";"12.3";"";"";"";"";"";"";
"21.12.2017 17:30";"22.0";"753.5";"764.3";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.4";"";"";"";"";"";"2.0";"16.0";"";"";"";"";"";"";
"21.12.2017 08:30";"10.8";"756.2";"767.5";"";"97";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.4";"";"";"";"";"";"";"1.0";"10.4";"";"";"";"";"";"";
"20.12.2017 17:30";"19.4";"752.2";"763.1";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.8";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"20.12.2017 08:30";"10.0";"754.7";"766.0";"";"97";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.0";"";"";"";"";"";"";"0.5";"9.6";"";"";"";"";"";"";
"19.12.2017 17:30";"21.0";"753.3";"764.1";"";"63";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"22.0";"";"";"";"";"";"2.0";"13.7";"";"";"";"";"";"";
"19.12.2017 08:30";"10.6";"753.9";"765.1";"";"95";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.2";"";"";"";"";"";"";"1.0";"9.8";"";"";"";"";"";"";
"18.12.2017 17:30";"18.4";"752.7";"763.6";"";"68";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"22.0";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"18.12.2017 08:30";"9.8";"755.3";"766.6";"";"90";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"6.2";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"17.12.2017 17:30";"22.8";"753.8";"764.6";"";"42";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"23.6";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"17.12.2017 08:30";"11.4";"755.7";"766.9";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
"16.12.2017 17:30";"21.8";"753.1";"763.9";"";"47";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.2";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"16.12.2017 08:30";"12.2";"754.9";"766.1";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"15.12.2017 17:30";"20.0";"751.6";"762.4";"";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.2";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"15.12.2017 08:30";"13.0";"754.4";"765.6";"";"93";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"14.12.2017 17:30";"20.4";"751.6";"762.4";"";"53";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"22.6";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"14.12.2017 08:30";"13.8";"753.9";"765.0";"";"96";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.8";"";"";"";"600-1000";"";"";"1.0";"13.1";"";"";"";"";"";"";
"13.12.2017 17:30";"22.4";"751.6";"762.4";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"13.12.2017 08:30";"14.4";"753.1";"764.2";"";"93";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"13.3";"";"";"";"";"";"";
"12.12.2017 17:30";"24.4";"750.7";"761.4";"";"45";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"25.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"11.7";"";"";"";"";"";"";
"12.12.2017 08:30";"16.4";"752.8";"763.8";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"11.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.6";"";"";"";"";"";"";
"11.12.2017 08:30";"12.4";"751.4";"762.5";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"2.0";"11.7";"";"";"";"";"";"";
"10.12.2017 17:30";"24.6";"749.7";"760.4";"";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"10.12.2017 08:30";"11.6";"752.1";"763.3";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"2.0";"9.8";"";"";"";"";"";"";
"09.12.2017 17:30";"25.0";"749.4";"760.0";"";"41";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"09.12.2017 08:30";"12.6";"751.3";"762.4";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"08.12.2017 17:30";"24.8";"749.2";"759.8";"";"38";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"08.12.2017 08:30";"15.6";"751.8";"762.8";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"07.12.2017 17:30";"14.7";"748.7";"759.7";"";"";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"26.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"";"";"";"";"";"";"";
"07.12.2017 08:30";"18.6";"750.9";"761.8";"";"71";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"14.2";"";"";"";"600-1000";"";"";"4.0";"13.3";"";"";"";"";"";"";
"06.12.2017 17:30";"23.2";"749.9";"760.6";"";"51";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"24.4";"";"";"600-1000";"";"";"2.0";"12.4";"";"";"";"";"";"";
"06.12.2017 08:30";"17.6";"750.9";"761.8";"";"75";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"13.6";"";"";"";"600-1000";"";"";"2.0";"13.0";"";"";"";"";"";"";
"05.12.2017 17:30";"22.4";"750.3";"761.0";"";"64";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"4.0";"15.3";"";"";"";"";"";"";
"05.12.2017 08:30";"15.4";"751.6";"762.6";"";"85";"Wind blowing from the east";"1";"";"";"50%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.8";"";"";"";"600-1000";"";"";"1.0";"12.9";"";"";"";"";"";"";
"04.12.2017 17:30";"23.8";"749.0";"759.7";"";"51";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"24.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.1";"";"";"";"";"";"";
"04.12.2017 08:30";"11.6";"751.7";"762.9";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.6";"";"";"";"";"";"";"2.0";"10.4";"";"";"";"";"";"";
"03.12.2017 17:30";"21.2";"750.4";"761.2";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.8";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"03.12.2017 08:30";"13.4";"752.6";"763.7";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"2.0";"9.9";"";"";"";"";"";"";
"02.12.2017 17:30";"23.2";"750.6";"761.3";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"02.12.2017 08:30";"11.2";"753.5";"764.7";"";"90";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.7";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"9.6";"";"";"";"";"";"";
"01.12.2017 17:30";"26.0";"749.9";"760.5";"";"40";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"26.4";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"01.12.2017 08:30";"14.0";"752.6";"763.7";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"1.0";"12.9";"";"";"";"";"";"";
"30.11.2017 17:30";"22.6";"750.5";"761.2";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"29.11.2017 17:30";"23.2";"750.7";"761.4";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"29.11.2017 08:30";"13.8";"752.5";"763.6";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"2.0";"11.6";"";"";"";"";"";"";
"28.11.2017 17:30";"23.8";"749.2";"759.9";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"28.11.2017 08:30";"14.8";"750.8";"761.8";"";"70";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"2.0";"9.4";"";"";"";"";"";"";
"27.11.2017 17:30";"26.2";"749.7";"760.3";"";"38";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"27.11.2017 08:30";"15.2";"751.4";"762.4";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.3";"";"";"";"";"";"";"2.0";"10.3";"";"";"";"";"";"";
"26.11.2017 17:30";"26.6";"751.2";"761.8";"";"39";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"26.11.2017 08:30";"13.0";"753.4";"764.5";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.8";"";"";"";"";"";"";"2.0";"11.1";"";"";"";"";"";"";
"25.11.2017 17:30";"26.0";"750.0";"760.6";"";"37";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.4";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"25.11.2017 08:30";"14.6";"752.3";"763.4";"";"68";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"24.11.2017 17:30";"25.0";"749.8";"760.4";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"24.11.2017 08:30";"15.0";"751.7";"762.7";"";"62";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"23.11.2017 17:30";"24.0";"747.6";"758.2";"";"37";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"23.11.2017 08:30";"15.6";"750.8";"761.8";"";"74";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"7.2";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"22.11.2017 17:30";"22.0";"748.3";"759.0";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"22.11.2017 08:30";"15.4";"750.8";"761.8";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"21.11.2017 17:30";"22.8";"749.6";"760.3";"";"42";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"21.11.2017 08:30";"16.6";"751.7";"762.7";"";"53";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"20.11.2017 17:30";"25.8";"750.7";"761.3";"0.0";"45";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"20.11.2017 14:30";"27.0";"750.7";"761.3";"";"29";"Wind blowing from the west-northwest";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.7";"";"";"";"";"";"";
"20.11.2017 08:30";"17.6";"752.3";"763.3";"";"65";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"13.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"11.0";"";"";"";"";"";"";
"19.11.2017 17:30";"27.0";"749.7";"760.3";"";"46";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"28.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.3";"";"";"";"";"";"";
"19.11.2017 08:30";"19.8";"751.1";"761.9";"";"79";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"14.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"16.1";"";"";"";"";"";"";
"18.11.2017 17:30";"27.8";"748.8";"759.3";"";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"18.11.2017 08:30";"18.6";"750.8";"761.7";"";"87";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"2.0";"16.3";"";"";"";"";"";"";
"17.11.2017 08:30";"21.2";"750.7";"761.5";"";"77";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"16.11.2017 17:30";"28.2";"748.0";"758.5";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"16.11.2017 08:30";"21.4";"750.5";"761.3";"";"67";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"14.5";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"15.0";"";"";"";"";"";"";
"15.11.2017 17:30";"25.4";"748.2";"758.8";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"15.11.2017 08:30";"19.0";"750.0";"760.9";"";"72";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"2.0";"13.8";"";"";"";"";"";"";
"14.11.2017 08:30";"16.6";"749.4";"760.3";"";"94";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.8";"";"";"";"";"";"";"1.0";"15.6";"";"";"";"";"";"";
"13.11.2017 17:30";"29.0";"746.8";"757.3";"";"36";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"13.11.2017 08:30";"17.6";"750.1";"761.0";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"2.0";"16.3";"";"";"";"";"";"";
"12.11.2017 17:30";"28.4";"748.2";"758.7";"";"40";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"12.11.2017 08:30";"18.4";"750.8";"761.7";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"2.0";"16.7";"";"";"";"";"";"";
"11.11.2017 17:30";"28.4";"750.4";"760.9";"";"37";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"11.11.2017 08:30";"17.6";"752.0";"762.9";"";"99";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"14.8";"";"";"";"";"";"";"0.5";"17.4";"";"";"";"";"";"";
"10.11.2017 17:30";"27.0";"749.1";"759.7";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"10.11.2017 08:30";"18.6";"750.9";"761.8";"";"94";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"2.0";"17.6";"";"";"";"";"";"";
"09.11.2017 17:30";"29.0";"748.2";"758.7";"";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"08.11.2017 17:30";"28.2";"748.6";"759.1";"";"47";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"08.11.2017 08:30";"19.4";"750.7";"761.6";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"2.0";"18.1";"";"";"";"";"";"";
"07.11.2017 17:30";"28.2";"749.4";"759.9";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"07.11.2017 08:30";"19.4";"751.7";"762.6";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"06.11.2017 17:30";"28.0";"749.1";"759.6";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"06.11.2017 08:30";"21.2";"752.1";"762.9";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"05.11.2017 17:30";"30.0";"749.9";"760.4";"";"44";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"05.11.2017 08:30";"21.6";"752.6";"763.4";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"04.11.2017 17:30";"29.4";"750.1";"760.6";"";"46";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"04.11.2017 08:30";"23.0";"752.3";"763.0";"";"84";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"03.11.2017 17:30";"28.2";"748.9";"759.4";"";"59";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"03.11.2017 08:30";"22.4";"751.3";"762.1";"";"79";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"02.11.2017 17:30";"29.6";"740.4";"750.7";"";"46";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"02.11.2017 08:30";"22.0";"750.6";"761.4";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.6";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"01.11.2017 17:30";"30.0";"752.8";"763.3";"";"46";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"01.11.2017 08:30";"23.6";"752.3";"763.0";"";"81";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
