# Weather station Kanpur / Chakeri, India, WMO_ID=42367,selection from 17.11.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42367&lang=en
#
"Local time in Kanpur / Chakeri";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"14.0";"750.7";"761.8";"";"93";"Wind blowing from the north-east";"1";"";"";"100%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"15.0";"";"";"2500 or more, or no clouds.";"";"";"0.2";"12.9";"";"";"";"";"";"";
"31.12.2017 08:30";"11.4";"753.3";"764.5";"";"100";"Wind blowing from the north-east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"11.4";"";"";"";"";"";"";
"30.12.2017 17:30";"15.2";"752.3";"763.3";"";"89";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"16.7";"";"";"";"";"";"1.0";"13.4";"";"";"";"";"";"";
"29.12.2017 17:30";"20.2";"752.0";"762.8";"";"78";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"21.2";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"29.12.2017 08:30";"9.2";"753.1";"764.4";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"9.2";"";"";"";"";"";"";
"28.12.2017 17:30";"20.6";"751.1";"761.9";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.6";"";"";"";"";"";"1.0";"15.9";"";"";"";"";"";"";
"28.12.2017 08:30";"9.0";"753.8";"765.1";"";"97";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"8.6";"";"";"";"";"";"";
"27.12.2017 17:30";"20.6";"751.6";"762.4";"";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"23.6";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"27.12.2017 08:30";"10.6";"753.0";"764.2";"";"95";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"9.8";"";"";"";"";"";"";
"26.12.2017 17:30";"20.2";"751.7";"762.5";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"23.0";"";"";"";"";"";"2.0";"12.8";"";"";"";"";"";"";
"26.12.2017 08:30";"9.4";"753.2";"764.5";"";"96";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"5.2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"8.8";"";"";"";"";"";"";
"25.12.2017 17:30";"19.0";"751.1";"762.0";"";"72";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"20.8";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"25.12.2017 08:30";"8.6";"752.5";"763.8";"";"100";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"5.8";"";"";"";"";"";"";"1.0";"8.6";"";"";"";"";"";"";
"24.12.2017 17:30";"22.4";"750.4";"761.1";"";"51";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"24.12.2017 08:30";"11.4";"752.8";"764.0";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.6";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"23.12.2017 17:30";"21.0";"749.6";"760.4";"";"52";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"23.2";"";"";"600-1000";"";"";"2.0";"10.8";"";"";"";"";"";"";
"23.12.2017 08:30";"14.8";"754.5";"765.6";"";"68";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"11.4";"";"";"";"600-1000";"";"";"4.0";"8.9";"";"";"";"";"";"";
"22.12.2017 17:30";"23.2";"751.0";"761.7";"";"52";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
