# Weather station Agra, India, WMO_ID=42260,selection from 01.01.2012 till 25.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42260&lang=en
#
"Local time in Agra";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.06.2018 11:30";"39.0";"732.9";"746.5";"-0.6";"32";"Wind blowing from the north-northwest";"5";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"25.06.2018 08:30";"35.7";"733.5";"747.3";"0.7";"40";"Wind blowing from the west";"4";"";"";"50%.";" ";"";"";"30.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.0";"";"";"";"";"";"";
"25.06.2018 05:30";"31.1";"732.8";"746.8";"";"59";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.1";"";"";"";"";"";"";
"24.06.2018 17:30";"39.1";"732.1";"745.7";"";"28";"Wind blowing from the south-southwest";"3";"";"";"60%.";" ";"";"";"";"39.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"24.06.2018 11:30";"33.9";"735.2";"749.1";"-0.1";"46";"Wind blowing from the west-northwest";"4";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.7";"";"";"";"";"";"";
"24.06.2018 08:30";"34.0";"735.3";"749.2";"1.4";"47";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"33.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.1";"";"";"";"";"";"";
"24.06.2018 05:30";"34.0";"733.9";"747.7";"";"48";"Wind blowing from the north-west";"4";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"23.06.2018 17:30";"40.6";"731.9";"745.4";"";"47";"Wind blowing from the north-west";"6";"";"";"70 – 80%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"44.3";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"27.4";"";"";"";"";"";"";
"23.06.2018 11:30";"40.5";"735.0";"748.6";"-0.4";"30";"Wind blowing from the south-southwest";"4";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.6";"";"";"";"";"";"";
"23.06.2018 08:30";"35.8";"735.4";"749.2";"1.0";"41";"Wind blowing from the south-west";"5";"";"";"no clouds";" ";"";"";"31.7";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"23.06.2018 05:30";"32.0";"734.4";"748.3";"";"49";"Wind blowing from the south-west";"3";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.0";"";"";"";"";"";"";
"22.06.2018 17:30";"42.8";"732.2";"745.6";"";"18";"Wind blowing from the west-northwest";"4";"";"";"40%.";" ";"";"";"";"44.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.9";"";"";"";"";"";"";
"22.06.2018 14:30";"";"";"762.7";"";"";"";"";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"70 – 80%.";"Less than  50";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"0.6";"23.4";"";"";"";"";"";"";
"22.06.2018 11:30";"41.5";"735.7";"749.2";"-0.2";"26";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"22.06.2018 08:30";"37.2";"735.9";"749.6";"0.4";"35";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"30.3";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"22.06.2018 05:30";"30.6";"735.5";"749.5";"";"59";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"21.06.2018 17:30";"41.6";"732.7";"746.2";"";"24";"Wind blowing from the west-northwest";"4";"";"";"60%.";" ";"";"";"";"44.1";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.0";"";"";"";"";"";"";
"21.06.2018 11:30";"41.6";"735.8";"749.3";"-0.5";"25";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"21.06.2018 08:30";"36.4";"736.3";"750.1";"0.8";"38";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"31.1";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"21.06.2018 05:30";"31.5";"735.5";"749.5";"";"57";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"20.06.2018 17:30";"41.2";"733.6";"747.1";"";"22";"Wind blowing from the west-northwest";"2";"";"";"40%.";" ";"";"";"";"42.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.3";"";"";"";"";"";"";
"20.06.2018 11:30";"38.1";"736.9";"750.6";"-0.2";"33";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"20.06.2018 08:30";"33.9";"737.1";"751.0";"0.8";"45";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"29.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.3";"";"";"";"";"";"";
"20.06.2018 05:30";"29.4";"736.3";"750.4";"";"68";"variable wind direction";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"19.06.2018 17:30";"36.3";"733.2";"746.9";"";"26";"Wind blowing from the west-northwest";"2";"";"";"70 – 80%.";"Clouds generally forming or developing. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"41.9";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.8";"";"";"";"";"";"";
"19.06.2018 11:30";"36.8";"736.0";"749.8";"-0.6";"33";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"19.06.2018 08:30";"32.8";"736.6";"750.5";"1.2";"42";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"26.2";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"19.06.2018 05:30";"26.6";"735.4";"749.6";"";"96";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
