# Weather station Agra, India, WMO_ID=42260,selection from 01.01.2012 till 25.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42260&lang=en
#
"Local time in Agra";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.06.2018 17:30";"37.8";"733.4";"747.1";"";"30";"Wind blowing from the south-west";"1";"";"";"40%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"40.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.2";"";"";"";"";"";"";
"18.06.2018 11:30";"39.1";"735.9";"749.5";"0.1";"32";"Wind blowing from the west-northwest";"5";"";"";"40%.";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.7";"";"";"";"";"";"";
"18.06.2018 08:30";"33.8";"736.1";"750.0";"1.6";"48";"Wind blowing from the south-southwest";"2";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.8";"";"";"";"";"";"";"4.0";"21.4";"";"";"";"";"";"";
"18.06.2018 05:30";"29.0";"734.5";"748.6";"";"85";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
"17.06.2018 17:30";"39.2";"733.1";"746.7";"";"34";"Wind blowing from the north-northwest";"5";"";"";"50%.";" ";"";"";"";"41.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
"17.06.2018 11:30";"39.0";"735.8";"749.5";"0.3";"29";"Wind blowing from the west";"6";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.1";"";"";"";"";"";"";
"17.06.2018 08:30";"36.1";"735.5";"749.3";"1.2";"38";"Wind blowing from the south-west";"6";"";"";"70 – 80%.";" ";"";"";"30.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.6";"";"";"";"";"";"";
"17.06.2018 05:30";"30.6";"734.3";"748.3";"";"49";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"16.06.2018 17:30";"40.1";"733.3";"746.9";"";"24";"Wind blowing from the south-west";"4";"";"";"20–30%.";" ";"";"";"";"41.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.6";"";"";"";"";"";"";
"16.06.2018 11:30";"38.5";"735.8";"749.5";"0.3";"30";"Wind blowing from the west";"6";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.2";"";"";"";"";"";"";
"16.06.2018 08:30";"35.9";"735.5";"749.3";"1.6";"36";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"31.1";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"16.06.2018 05:30";"31.3";"733.9";"747.9";"";"48";"Wind blowing from the south-southwest";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.0";"";"";"";"";"";"";
"15.06.2018 17:30";"40.1";"731.9";"745.4";"";"24";"Wind blowing from the north-west";"6";"";"";"no clouds";" ";"";"";"";"40.9";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"15.06.2018 11:30";"38.8";"734.2";"747.8";"0.1";"24";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"15.06.2018 08:30";"35.1";"734.1";"747.9";"1.0";"38";"Wind blowing from the south-west";"6";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"31.7";"";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"15.06.2018 05:30";"32.0";"733.1";"747.0";"";"42";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"14.06.2018 17:30";"41.0";"729.9";"743.4";"";"22";"Wind blowing from the west-southwest";"5";"";"";"no clouds";" ";"";"";"";"41.9";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"14.06.2018 11:30";"39.1";"732.5";"746.1";"-0.2";"26";"Wind blowing from the west-southwest";"8";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"14.06.2018 08:30";"35.0";"732.7";"746.5";"0.9";"41";"Wind blowing from the west-southwest";"5";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"33.1";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"14.06.2018 05:30";"33.1";"731.8";"745.6";"";"40";"Wind blowing from the south-west";"4";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"13.06.2018 17:30";"42.5";"728.2";"741.6";"";"18";"Wind blowing from the west-southwest";"8";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"43.9";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"13.06.2018 11:30";"39.9";"730.9";"744.4";"0.2";"28";"Wind blowing from the west-southwest";"6";"";"";"60%.";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.0";"";"";"";"";"";"";
"13.06.2018 08:30";"36.2";"730.7";"744.4";"1.0";"41";"Wind blowing from the south-west";"5";"";"";"20–30%.";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"34.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.9";"";"";"";"";"";"";
"13.06.2018 05:30";"34.9";"729.7";"743.4";"";"41";"Wind blowing from the south-west";"5";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"12.06.2018 17:30";"42.7";"727.6";"740.9";"";"24";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"";"43.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.8";"";"";"";"";"";"";
"12.06.2018 11:30";"40.4";"730.4";"743.9";"-0.3";"34";"Wind blowing from the west-southwest";"6";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"12.06.2018 08:30";"35.9";"730.7";"744.4";"0.4";"45";"Wind blowing from the south-west";"6";"";"";"no clouds";" ";"";"";"30.4";"";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"12.06.2018 05:30";"30.6";"730.3";"744.2";"";"59";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"11.06.2018 17:30";"40.4";"728.8";"742.3";"";"28";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"";"41.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.5";"";"";"";"";"";"";
"11.06.2018 11:30";"37.9";"732.5";"746.1";"-0.2";"38";"Wind blowing from the west-northwest";"5";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"11.06.2018 08:30";"32.9";"732.7";"746.6";"0.9";"69";"Wind blowing from the west-northwest";"3";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"11.06.2018 05:30";"28.1";"731.8";"745.9";"";"100";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"28.1";"";"";"";"";"";"";
"10.06.2018 17:30";"31.8";"730.9";"744.8";"";"74";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"38.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.5";"";"";"";"";"";"";
"10.06.2018 11:30";"34.7";"734.0";"747.8";"0.1";"60";"Wind blowing from the west-northwest";"3";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"10.06.2018 08:30";"29.4";"733.9";"748.0";"0.8";"100";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"25.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"29.4";"";"";"";"";"";"";
"10.06.2018 05:30";"26.5";"733.1";"747.3";"";"100";"variable wind direction";"1";"";"";"70 – 80%.";"Clouds generally forming or developing. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.5";"";"";"";"";"";"";
"09.06.2018 17:30";"39.0";"728.5";"742.0";"";"37";"Wind blowing from the north-northeast";"2";"";"";"60%.";" ";"";"";"";"40.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.9";"";"";"";"";"";"";
"09.06.2018 11:30";"37.8";"732.6";"746.2";"-0.7";"44";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"09.06.2018 08:30";"32.6";"733.3";"747.2";"1.1";"91";"Wind blowing from the east-southeast";"2";"";"";"40%.";" ";"";"";"29.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"31.0";"";"";"";"";"";"";
"09.06.2018 05:30";"29.9";"732.2";"746.2";"";"100";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"29.9";"";"";"";"";"";"";
"08.06.2018 17:30";"36.3";"730.7";"744.4";"";"49";"Wind blowing from the north-east";"3";"";"";"40%.";" ";"";"";"";"39.1";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"08.06.2018 11:30";"38.6";"733.7";"747.3";"-0.2";"41";"Wind blowing from the east";"5";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"08.06.2018 08:30";"34.1";"733.9";"747.7";"1.1";"60";"Wind blowing from the east";"3";"";"";"10%  or less, but not 0";" ";"";"";"31.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"08.06.2018 05:30";"31.2";"732.8";"746.7";"";"79";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"07.06.2018 17:30";"40.0";"732.3";"745.8";"";"33";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"";"41.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.7";"";"";"";"";"";"";
"07.06.2018 11:30";"36.9";"736.0";"749.8";"-0.5";"45";"Wind blowing from the east";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.0";"";"";"";"";"";"";
"07.06.2018 08:30";"32.4";"736.5";"750.5";"0.8";"64";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"29.8";"";"";"";"";"";"";"4.0";"24.7";"";"";"";"";"";"";
"07.06.2018 05:30";"30.1";"735.7";"749.8";"";"81";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.5";"";"";"";"";"";"";
