# Weather station Lal Bahadur Shastri / Varanasi (airport), India, WMO_ID=42479,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42479&lang=en
#
"Local time in Lal Bahadur Shastri / Varanasi (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.12.2017 11:30";"20.0";"755.4";"762.7";"-0.1";"64";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"13.0";"";"";"";"";"";"";
"28.12.2017 08:30";"11.6";"755.5";"763.1";"1.6";"92";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"";"";"";"";"0.5";"10.4";"";"";"";"";"";"";
"28.12.2017 05:30";"11.0";"753.9";"761.5";"";"92";"Wind blowing from the west";"2";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"9.8";"";"";"";"";"";"";
"27.12.2017 23:30";"14.2";"754.5";"762.0";"";"87";"Wind blowing from the south-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"12.0";"";"";"";"";"";"";
"27.12.2017 17:30";"19.0";"753.8";"761.2";"";"67";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.0";"";"";"";"";"";"1.0";"12.6";"";"";"";"";"";"";
"27.12.2017 11:30";"19.0";"756.4";"763.8";"0.4";"56";"Wind blowing from the north-northwest";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"10.1";"";"";"";"";"";"";
"27.12.2017 08:30";"11.4";"756.0";"763.6";"1.5";"88";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.0";"";"";"";"";"";"";"0.5";"9.4";"";"";"";"";"";"";
"27.12.2017 05:30";"9.8";"754.5";"762.1";"";"95";"Wind blowing from the west";"3";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"9.0";"";"";"";"";"";"";
"26.12.2017 23:30";"12.0";"755.2";"762.7";"";"88";"Wind blowing from the north-west";"2";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"less than 0.05";"10.1";"";"";"";"";"";"";
"26.12.2017 17:30";"18.2";"754.3";"761.7";"";"84";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"18.7";"";"";"";"";"";"1.0";"15.5";"";"";"";"";"";"";
"26.12.2017 11:30";"13.0";"756.8";"764.3";"0.3";"91";"Wind blowing from the north-northwest";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.5";"11.5";"";"";"";"";"";"";
"26.12.2017 08:30";"11.6";"756.5";"764.1";"1.7";"95";"Wind blowing from the west";"2";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"";"";"";"";"0.05";"10.8";"";"";"";"";"";"";
"26.12.2017 05:30";"11.6";"754.8";"762.4";"";"100";"Wind blowing from the north";"3";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.05";"11.6";"";"";"";"";"";"";
"25.12.2017 23:30";"13.0";"755.1";"762.6";"";"82";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"9.9";"";"";"";"";"";"";
"25.12.2017 17:30";"19.4";"753.6";"760.9";"";"67";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.0";"";"";"";"";"";"2.0";"13.1";"";"";"";"";"";"";
"25.12.2017 11:30";"19.4";"755.6";"763.0";"0.5";"57";"Wind blowing from the west-northwest";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.6";"";"";"";"";"";"";
"25.12.2017 08:30";"11.8";"755.1";"762.7";"1.4";"92";"Wind blowing from the south-west";"2";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.8";"";"";"";"";"";"";"0.5";"10.6";"";"";"";"";"";"";
"25.12.2017 05:30";"10.4";"753.7";"761.3";"";"92";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"9.2";"";"";"";"";"";"";
"24.12.2017 23:30";"12.4";"753.9";"761.4";"";"91";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"1.0";"10.9";"";"";"";"";"";"";
"24.12.2017 17:30";"19.8";"753.2";"760.5";"";"69";"Wind blowing from the north-west";"2";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.9";"";"";"";"";"";"";
