# Weather station Shahjahanpur, India, WMO_ID=42266,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42266&lang=en
#
"Local time in Shahjahanpur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"20.0";"745.5";"759.1";"";"64";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"20.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.0";"";"";"";"";"";"";
"30.12.2017 17:30";"20.0";"746.2";"759.8";"";"78";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"22.4";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"30.12.2017 08:30";"9.6";"749.2";"763.4";"";"97";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.0";"";"";"";"";"";"";"less than 0.05";"9.2";"";"";"";"";"";"";
"29.12.2017 17:30";"18.6";"747.2";"760.9";"";"70";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"23.3";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"29.12.2017 08:30";"7.6";"748.6";"762.9";"";"97";"Wind blowing from the east";"1";"";"";"100%.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.9";"";"";"";"2500 or more, or no clouds.";"";"";"0.5";"7.2";"";"";"";"";"";"";
"28.12.2017 17:30";"22.0";"745.9";"759.4";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.4";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"28.12.2017 08:30";"8.4";"747.8";"762.0";"";"95";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.8";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"7.6";"";"";"";"";"";"";
"27.12.2017 17:30";"21.0";"746.1";"759.7";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.4";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"27.12.2017 08:30";"9.0";"748.2";"762.4";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Clouds generally forming or developing. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Fog or ice fog or thick haze.";"6.5";"";"";"";"";"";"";"0.2";"6.9";"";"";"";"";"";"";
"26.12.2017 08:30";"10.0";"749.1";"763.2";"";"82";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
