# Weather station Shahjahanpur, India, WMO_ID=42266,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42266&lang=en
#
"Local time in Shahjahanpur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.12.2017 17:30";"17.0";"745.1";"758.8";"";"70";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"19.0";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"25.12.2017 08:30";"9.6";"747.7";"761.8";"";"97";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.0";"";"";"";"";"";"";"1.0";"9.2";"";"";"";"";"";"";
"24.12.2017 17:30";"18.0";"745.8";"759.5";"";"81";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"19.2";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"24.12.2017 08:30";"10.0";"747.5";"761.6";"";"100";"Wind blowing from the north-east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"10.0";"";"";"";"";"";"";
"23.12.2017 17:30";"22.4";"745.0";"758.5";"";"54";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"22.6";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"23.12.2017 08:30";"11.2";"746.3";"760.3";"";"78";"Wind blowing from the west";"2";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"7.5";"";"";"";"";"";"";
"22.12.2017 17:30";"22.0";"748.0";"761.5";"";"61";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"22.12.2017 08:30";"11.8";"748.9";"762.9";"";"92";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.0";"";"";"";"";"";"";"2.0";"10.6";"";"";"";"";"";"";
"21.12.2017 17:30";"23.0";"748.5";"762.0";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"21.12.2017 08:30";"9.4";"751.3";"765.5";"";"100";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.9";"";"";"";"";"";"";"1.0";"9.4";"";"";"";"";"";"";
"20.12.2017 17:30";"22.0";"748.0";"761.5";"";"61";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"23.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.2";"";"";"";"";"";"";
"20.12.2017 08:30";"9.2";"751.1";"765.3";"";"97";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.2";"";"";"";"";"";"";"1.0";"8.8";"";"";"";"";"";"";
"19.12.2017 17:30";"20.4";"748.6";"762.2";"";"61";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"22.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.6";"";"";"";"";"";"";
"19.12.2017 08:30";"8.2";"750.1";"764.3";"";"97";"Wind blowing from the north";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.5";"";"";"";"";"";"";"0.5";"7.8";"";"";"";"";"";"";
"18.12.2017 17:30";"16.4";"748.0";"761.8";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"18.5";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"18.12.2017 08:30";"7.2";"750.4";"764.7";"";"97";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.2";"";"";"";"";"";"";"1.0";"6.8";"";"";"";"";"";"";
"17.12.2017 17:30";"18.2";"747.5";"761.2";"";"61";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"20.4";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"17.12.2017 08:30";"8.4";"750.8";"765.1";"";"86";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.6";"";"";"";"";"";"";"2.0";"6.2";"";"";"";"";"";"";
"16.12.2017 17:30";"18.4";"747.8";"761.5";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"20.6";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"16.12.2017 08:30";"8.2";"750.2";"764.5";"";"95";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.7";"";"";"";"";"";"";"2.0";"7.4";"";"";"";"";"";"";
"15.12.2017 17:30";"20.0";"747.7";"761.3";"";"51";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"21.8";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"15.12.2017 08:30";"10.4";"749.9";"764.0";"";"88";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"9.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"8.5";"";"";"";"";"";"";
"14.12.2017 17:30";"20.0";"747.3";"760.9";"";"61";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"14.12.2017 08:30";"12.4";"749.6";"763.6";"";"91";"Wind blowing from the north-northeast";"2";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.7";"";"";"";"2500 or more, or no clouds.";"";"";"1.0";"10.9";"";"";"";"";"";"";
"13.12.2017 17:30";"20.4";"746.4";"760.0";"";"69";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"13.12.2017 08:30";"12.6";"748.5";"762.5";"";"97";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.8";"";"";"";"";"";"";"1.0";"12.2";"";"";"";"";"";"";
"12.12.2017 17:30";"23.0";"745.1";"758.5";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"12.12.2017 08:30";"16.0";"746.9";"760.7";"";"90";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"14.3";"";"";"";"";"";"";
"11.12.2017 17:30";"25.0";"743.1";"756.4";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"11.12.2017 08:30";"11.0";"746.4";"760.4";"";"95";"Wind blowing from the west";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.3";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"10.3";"";"";"";"";"";"";
"10.12.2017 17:30";"25.8";"";"";"";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"10.12.2017 08:30";"10.4";"747.2";"761.3";"";"92";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.4";"";"";"";"";"";"";"1.0";"9.2";"";"";"";"";"";"";
"09.12.2017 08:30";"10.4";"747.1";"761.2";"";"88";"Wind blowing from the east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.8";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"08.12.2017 17:30";"23.4";"743.7";"757.1";"";"38";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"08.12.2017 08:30";"12.4";"747.1";"761.1";"";"66";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.8";"";"";"";"";"";"";"2.0";"6.1";"";"";"";"";"";"";
"07.12.2017 17:30";"23.4";"743.8";"757.2";"";"32";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"07.12.2017 08:30";"17.0";"746.6";"760.3";"";"67";"Wind blowing from the west";"2";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.3";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"10.7";"";"";"";"";"";"";
"06.12.2017 17:30";"24.0";"743.8";"757.2";"";"46";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"26.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.7";"";"";"";"";"";"";
"05.12.2017 17:30";"20.0";"744.5";"758.1";"";"73";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Drizzle.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"22.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"1.0";"14.9";"";"";"";"";"";"";
"05.12.2017 08:30";"14.6";"747.1";"761.0";"";"87";"Wind blowing from the west";"2";"";"";"70 – 80%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.4";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"12.4";"";"";"";"";"";"";
"04.12.2017 17:30";"20.0";"744.9";"758.5";"";"59";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"24.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"4.0";"11.7";"";"";"";"";"";"";
"04.12.2017 08:30";"9.0";"754.5";"768.8";"";"92";"Wind blowing from the north";"1";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.1";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"7.7";"";"";"";"";"";"";
"03.12.2017 17:30";"23.8";"746.0";"759.4";"";"42";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"25.1";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.0";"";"";"";"";"";"";
"03.12.2017 08:30";"11.0";"748.5";"762.6";"";"80";"Wind blowing from the south";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.2";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"7.7";"";"";"";"";"";"";
"02.12.2017 17:30";"16.4";"746.2";"760.0";"";"70";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"25.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.8";"";"";"";"";"";"";
"02.12.2017 08:30";"7.4";"749.0";"763.3";"";"92";"Wind blowing from the north-west";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.4";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"6.1";"";"";"";"";"";"";
"01.12.2017 17:30";"24.0";"744.5";"757.9";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"01.12.2017 08:30";"9.4";"748.0";"762.1";"";"87";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.3";"";"";"";"";"";"";"1.0";"7.3";"";"";"";"";"";"";
"30.11.2017 17:30";"23.4";"744.5";"757.9";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"30.11.2017 11:30";"25.0";"749.0";"762.4";"";"38";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.7";"";"";"";"";"";"";
"29.11.2017 17:30";"23.4";"747.8";"761.3";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"29.11.2017 08:30";"9.6";"748.6";"762.7";"";"87";"Wind blowing from the east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.5";"";"";"";"";"";"";"2.0";"7.5";"";"";"";"";"";"";
"28.11.2017 17:30";"23.4";"743.8";"757.2";"";"45";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"28.11.2017 08:30";"11.0";"747.1";"761.2";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.6";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"27.11.2017 17:30";"22.0";"743.3";"756.8";"";"50";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"27.11.2017 08:30";"12.0";"746.3";"760.3";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"26.11.2017 17:30";"25.0";"746.0";"759.4";"";"46";"Wind blowing from the north";"2";"";"";"20–30%.";" ";"";"";"";"25.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.6";"";"";"";"";"";"";
"26.11.2017 08:30";"10.4";"749.2";"763.3";"";"88";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.3";"";"";"";"";"";"";"1.0";"8.4";"";"";"";"";"";"";
"25.11.2017 17:30";"24.0";"744.6";"758.0";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"25.11.2017 08:30";"10.4";"747.4";"761.5";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"24.11.2017 17:30";"23.4";"744.2";"757.6";"";"38";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"24.11.2017 08:30";"9.4";"743.2";"757.3";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"23.11.2017 08:30";"11.4";"745.7";"759.7";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.7";"";"";"";"";"";"";"2.0";"6.3";"";"";"";"";"";"";
"22.11.2017 17:30";"24.0";"743.4";"756.8";"";"42";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"21.11.2017 17:30";"21.4";"744.4";"757.9";"";"43";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"21.11.2017 08:30";"12.4";"747.0";"761.0";"";"66";"Wind blowing from the west";"3";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.6";"";"";"";"";"";"";"2.0";"6.1";"";"";"";"";"";"";
"20.11.2017 17:30";"24.0";"745.1";"758.5";"";"33";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"20.11.2017 08:30";"15.8";"747.3";"761.1";"";"65";"Wind blowing from the west";"2";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.4";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"9.2";"";"";"";"";"";"";
"19.11.2017 17:30";"27.0";"744.0";"757.2";"";"60";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"28.1";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.6";"";"";"";"";"";"";
"19.11.2017 08:30";"16.4";"746.2";"760.0";"";"87";"Wind blowing from the north-west";"2";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.8";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"14.3";"";"";"";"";"";"";
"18.11.2017 17:30";"26.0";"743.7";"757.0";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"18.11.2017 08:30";"16.2";"746.3";"760.1";"";"87";"Wind blowing from the north-west";"2";"";"";"50%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.2";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"14.1";"";"";"";"";"";"";
"17.11.2017 08:30";"13.4";"746.1";"760.0";"";"95";"Wind blowing from the north";"1";"";"";"20–30%.";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.5";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"12.6";"";"";"";"";"";"";
"16.11.2017 17:30";"26.4";"743.5";"756.8";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"15.11.2017 17:30";"25.0";"743.0";"756.3";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"19.0";"15.8";"";"";"";"";"";"";
"15.11.2017 08:30";"13.6";"746.1";"760.0";"";"91";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.6";"";"";"";"";"";"";"1.0";"12.1";"";"";"";"";"";"";
"14.11.2017 17:30";"25.0";"742.2";"755.5";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"14.11.2017 08:30";"13.0";"745.3";"759.2";"";"93";"Wind blowing from the east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.2";"";"";"";"";"";"";"1.0";"11.9";"";"";"";"";"";"";
"13.11.2017 17:30";"25.0";"742.1";"755.4";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"13.11.2017 08:30";"12.6";"745.5";"759.4";"";"93";"Wind blowing from the north";"1";"";"";"no clouds";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.0";"";"";"";"";"";"";"0.2";"11.5";"";"";"";"";"";"";
"12.11.2017 17:30";"26.2";"743.0";"756.3";"";"55";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.8";"";"";"";"";"";"2.0";"16.5";"";"";"";"";"";"";
"12.11.2017 08:30";"14.4";"746.0";"759.9";"";"87";"Wind blowing from the south-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.5";"";"";"";"";"";"";"1.0";"12.2";"";"";"";"";"";"";
"11.11.2017 08:30";"16.0";"748.6";"762.4";"";"97";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.5";"";"";"";"";"";"";"less than 0.05";"15.6";"";"";"";"";"";"";
"10.11.2017 17:30";"26.0";"744.0";"757.3";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"10.11.2017 08:30";"16.4";"746.8";"760.6";"";"100";"Wind blowing from the north-west";"1";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"14.8";"";"";"";"";"";"";"less than 0.05";"16.4";"";"";"";"";"";"";
"09.11.2017 17:30";"23.4";"743.6";"757.0";"";"88";"Calm, no wind";"0";"";"";"100%.";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"24.6";"";"";"2500 or more, or no clouds.";"";"";"0.2";"21.3";"";"";"";"";"";"";
"08.11.2017 17:30";"24.0";"744.1";"757.5";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"25.2";"";"";"";"";"";"0.2";"21.6";"";"";"";"";"";"";
