# Weather station Lal Bahadur Shastri / Varanasi (airport), India, METAR=VEBN,selection from 21.08.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=VEBN&lang=en
#
"Local time in Lal Bahadur Shastri / Varanasi (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"28.12.2017 10:00";"18.0";"756.1";"763.5";"73";"Wind blowing from the west-northwest";"1";"";"Haze";"";"No Significant Clouds";"1.3";"13.0";
"28.12.2017 09:30";"16.0";"756.1";"763.5";"77";"Wind blowing from the west";"1";"";"Mist";"";"No Significant Clouds";"1.2";"12.0";
"28.12.2017 08:30";"12.0";"755.3";"762.8";"88";"Wind blowing from the west-southwest";"2";"";"Fog";"";"No Significant Clouds";"0.5";"10.0";
"28.12.2017 08:00";"11.0";"755.2";"762.8";"94";"Wind blowing from the west-southwest";"2";"";"Fog";"";"No Significant Clouds";"0.4";"10.0";
"28.12.2017 07:30";"11.0";"755.2";"762.8";"94";"variable wind direction";"1";"";"Fog";"";"No Significant Clouds";"0.4";"10.0";
"28.12.2017 07:00";"11.0";"754.4";"762.0";"94";"Wind blowing from the west-southwest";"2";"";"Fog";"";"No Significant Clouds";"0.4";"10.0";
"28.12.2017 06:00";"11.0";"753.6";"761.2";"94";"Wind blowing from the west-southwest";"1";"";"Ground fog";"";"No Significant Clouds";"0.5";"10.0";
"28.12.2017 05:00";"12.0";"753.7";"761.2";"94";"variable wind direction";"1";"";"Ground fog";"";"No Significant Clouds";"0.5";"11.0";
"28.12.2017 04:00";"12.0";"753.7";"761.2";"94";"Wind blowing from the west-northwest";"2";"";"Ground fog";"";"No Significant Clouds";"0.5";"11.0";
"28.12.2017 03:00";"13.0";"753.7";"761.2";"88";"variable wind direction";"1";"";"Ground fog";"";"No Significant Clouds";"0.5";"11.0";
"28.12.2017 02:00";"13.0";"753.7";"761.2";"88";"variable wind direction";"1";"";"Ground fog";"";"No Significant Clouds";"0.8";"11.0";
"28.12.2017 01:00";"14.0";"753.7";"761.2";"88";"Wind blowing from the north-west";"1";"";"Ground fog";"";"No Significant Clouds";"0.9";"12.0";
"28.12.2017 00:00";"14.0";"754.5";"762.0";"88";"variable wind direction";"1";"";"Mist";"";"No Significant Clouds";"1.0";"12.0";
"27.12.2017 23:00";"15.0";"754.5";"762.0";"82";"variable wind direction";"1";"";"Mist";"";"No Significant Clouds";"1.0";"12.0";
"27.12.2017 22:00";"15.0";"754.5";"762.0";"88";"variable wind direction";"1";"";"Mist";"";"No Significant Clouds";"1.0";"13.0";
"27.12.2017 21:00";"16.0";"754.6";"762.0";"83";"variable wind direction";"1";"";"Mist";"";"No Significant Clouds";"1.1";"13.0";
"27.12.2017 20:30";"16.0";"754.6";"762.0";"83";"Wind blowing from the south-southwest";"2";"";"Mist";"";"No Significant Clouds";"1.1";"13.0";
"27.12.2017 20:00";"16.0";"754.6";"762.0";"83";"variable wind direction";"1";"";"Mist";"";"No Significant Clouds";"1.3";"13.0";
"27.12.2017 19:30";"17.0";"754.6";"762.0";"77";"Wind blowing from the south-west";"1";"";"Mist";"";"No Significant Clouds";"1.4";"13.0";
"27.12.2017 19:00";"17.0";"753.8";"761.2";"77";"Wind blowing from the south-west";"2";"";"Mist";"";"No Significant Clouds";"1.5";"13.0";
"27.12.2017 18:30";"18.0";"753.8";"761.2";"73";"Wind blowing from the south-west";"1";"";"Mist";"";"No Significant Clouds";"1.5";"13.0";
"27.12.2017 18:00";"18.0";"753.8";"761.2";"73";"Wind blowing from the south-west";"1";"";"Haze";"";"No Significant Clouds";"1.8";"13.0";
"27.12.2017 17:30";"19.0";"753.8";"761.2";"68";"Wind blowing from the west";"1";"";"Haze";"";"No Significant Clouds";"1.8";"13.0";
"27.12.2017 17:00";"19.0";"753.8";"761.2";"64";"Wind blowing from the west-northwest";"1";"";"Haze";"";"No Significant Clouds";"2.2";"12.0";
"27.12.2017 16:30";"20.0";"753.9";"761.2";"56";"Wind blowing from the north-northwest";"1";"";"Haze";"";"No Significant Clouds";"2.2";"11.0";
"27.12.2017 16:00";"21.0";"753.9";"761.2";"50";"Wind blowing from the north";"3";"";"Haze";"";"No Significant Clouds";"2.5";"10.0";
"27.12.2017 15:30";"22.0";"753.9";"761.2";"47";"Wind blowing from the north";"3";"";"Haze";"";"No Significant Clouds";"2.5";"10.0";
"27.12.2017 15:00";"22.0";"753.9";"761.2";"47";"Wind blowing from the north";"3";"";"Haze";"";"No Significant Clouds";"2.5";"10.0";
"27.12.2017 14:30";"22.0";"753.9";"761.2";"47";"Wind blowing from the north-northwest";"3";"";"Haze";"";"No Significant Clouds";"2.5";"10.0";
"27.12.2017 14:00";"22.0";"753.9";"761.2";"47";"Wind blowing from the north";"3";"";"Haze";"";"No Significant Clouds";"2.5";"10.0";
"27.12.2017 13:30";"22.0";"754.7";"762.0";"44";"Wind blowing from the north-northwest";"2";"";"Haze";"";"No Significant Clouds";"2.3";"9.0";
"27.12.2017 13:00";"21.0";"754.7";"762.0";"50";"Wind blowing from the west-northwest";"2";"";"Haze";"";"No Significant Clouds";"2.0";"10.0";
"27.12.2017 12:30";"21.0";"755.5";"762.8";"50";"Wind blowing from the west";"2";"";"Haze";"";"No Significant Clouds";"1.6";"10.0";
"27.12.2017 12:00";"20.0";"755.5";"762.8";"49";"Wind blowing from the north-northwest";"3";"";"Haze";"";"No Significant Clouds";"1.5";"9.0";
"27.12.2017 11:30";"19.0";"756.1";"763.5";"56";"Wind blowing from the north";"3";"";"Haze";"";"No Significant Clouds";"1.5";"10.0";
"27.12.2017 11:00";"18.0";"756.1";"763.5";"64";"Wind blowing from the west-northwest";"3";"";"Haze";"";"No Significant Clouds";"1.5";"11.0";
"27.12.2017 10:30";"17.0";"756.9";"764.3";"68";"Wind blowing from the north-west";"3";"";"Haze";"";"No Significant Clouds";"1.2";"11.0";
"27.12.2017 10:00";"16.0";"756.8";"764.3";"72";"Wind blowing from the west-northwest";"3";"";"Mist";"";"No Significant Clouds";"1.2";"11.0";
"27.12.2017 09:30";"15.0";"756.8";"764.3";"72";"Wind blowing from the west";"3";"";"Mist";"";"No Significant Clouds";"1.0";"10.0";
"27.12.2017 09:00";"13.0";"756.0";"763.5";"88";"Wind blowing from the west";"2";"";"Fog";"";"No Significant Clouds";"0.7";"11.0";
"27.12.2017 08:30";"11.0";"755.9";"763.5";"88";"Calm, no wind";"0";"";"Fog";"";"No Significant Clouds";"0.5";"9.0";
"27.12.2017 08:00";"11.0";"755.2";"762.8";"94";"Calm, no wind";"0";"";"Fog";"";"No Significant Clouds";"0.4";"10.0";
"27.12.2017 07:30";"10.0";"755.2";"762.8";"94";"variable wind direction";"1";"";"Fog";"";"Few clouds (10-30%) 3000 m";"0.4";"9.0";
"27.12.2017 07:00";"10.0";"755.2";"762.8";"94";"variable wind direction";"1";"";"Fog";"";"Few clouds (10-30%) 3000 m";"0.4";"9.0";
"27.12.2017 06:00";"10.0";"754.4";"762.0";"94";"Wind blowing from the west-southwest";"2";"";"Fog";"";"No Significant Clouds";"0.6";"9.0";
"27.12.2017 05:00";"10.0";"754.4";"762.0";"94";"Wind blowing from the west-southwest";"3";"";"Fog";"";"No Significant Clouds";"0.3";"9.0";
"27.12.2017 04:00";"10.0";"753.6";"761.2";"94";"Wind blowing from the south-west";"2";"";"Fog";"";"No Significant Clouds";"0.0";"9.0";
"27.12.2017 03:00";"11.0";"754.4";"762.0";"94";"Wind blowing from the west-northwest";"2";"";"Fog";"";"No Significant Clouds";"0.0";"10.0";
"27.12.2017 02:00";"11.0";"754.4";"762.0";"94";"Wind blowing from the west-northwest";"2";"";"Fog";"";"No Significant Clouds";"0.0";"10.0";
"27.12.2017 00:00";"12.0";"754.5";"762.0";"88";"Wind blowing from the north-west";"2";"";"Fog";"";"No Significant Clouds";"0.0";"10.0";
"26.12.2017 23:00";"12.0";"755.3";"762.8";"94";"Wind blowing from the north-northwest";"2";"";"Fog";"";"No Significant Clouds";"0.0";"11.0";
"26.12.2017 22:00";"14.0";"755.3";"762.8";"88";"variable wind direction";"1";"";"Fog";"";"No Significant Clouds";"0.1";"12.0";
"26.12.2017 21:00";"14.0";"755.3";"762.8";"94";"Calm, no wind";"0";"";"Fog";"";"No Significant Clouds";"0.0";"13.0";
"26.12.2017 20:30";"15.0";"755.3";"762.8";"94";"Calm, no wind";"0";"";"Fog";"";"No Significant Clouds";"0.4";"14.0";
"26.12.2017 20:00";"15.0";"755.3";"762.8";"94";"Calm, no wind";"0";"";"Fog";"";"No Significant Clouds";"0.7";"14.0";
"26.12.2017 19:30";"15.0";"754.5";"762.0";"94";"Calm, no wind";"0";"";"Fog";"";"No Significant Clouds";"0.7";"14.0";
"26.12.2017 19:00";"15.0";"754.5";"762.0";"94";"Calm, no wind";"0";"";"Fog";"";"No Significant Clouds";"0.8";"14.0";
"26.12.2017 18:30";"16.0";"754.6";"762.0";"88";"Calm, no wind";"0";"";"Mist";"";"No Significant Clouds";"1.0";"14.0";
"26.12.2017 18:00";"17.0";"754.6";"762.0";"88";"Calm, no wind";"0";"";"Mist";"";"No Significant Clouds";"1.3";"15.0";
"26.12.2017 17:30";"18.0";"753.8";"761.2";"88";"Calm, no wind";"0";"";"Mist";"";"No Significant Clouds";"1.3";"16.0";
"26.12.2017 17:00";"19.0";"753.8";"761.2";"78";"Wind blowing from the north";"1";"";"Mist";"";"No Significant Clouds";"1.5";"15.0";
"26.12.2017 16:30";"19.0";"753.8";"761.2";"73";"Wind blowing from the north-northwest";"2";"";"Haze";"";"No Significant Clouds";"1.5";"14.0";
