# Weather station Lal Bahadur Shastri / Varanasi (airport), India, METAR=VEBN,selection from 21.08.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=VEBN&lang=en
#
"Local time in Lal Bahadur Shastri / Varanasi (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.12.2017 23:00";"11.0";"752.9";"760.5";"94";"variable wind direction";"1";"";"Fog";"";"No Significant Clouds";"0.1";"10.0";
"31.12.2017 22:00";"12.0";"753.0";"760.5";"94";"variable wind direction";"1";"";"Ground fog";"";"No Significant Clouds";"0.6";"11.0";
"31.12.2017 21:00";"12.0";"753.0";"760.5";"94";"variable wind direction";"1";"";"Ground fog";"";"No Significant Clouds";"0.8";"11.0";
"31.12.2017 20:30";"13.0";"753.0";"760.5";"94";"Wind blowing from the north-northeast";"2";"";"Ground fog";"";"No Significant Clouds";"0.8";"12.0";
"31.12.2017 20:00";"13.0";"753.0";"760.5";"94";"variable wind direction";"1";"";"Mist";"";"No Significant Clouds";"1.0";"12.0";
"31.12.2017 19:30";"13.0";"753.0";"760.5";"94";"variable wind direction";"1";"";"Mist";"";"No Significant Clouds";"1.5";"12.0";
"31.12.2017 19:00";"14.0";"752.2";"759.7";"94";"Wind blowing from the north";"2";"";"Mist";"";"No Significant Clouds";"1.5";"13.0";
"31.12.2017 18:30";"14.0";"752.2";"759.7";"94";"Wind blowing from the north-northeast";"2";"";"Mist";"";"No Significant Clouds";"1.5";"13.0";
"31.12.2017 18:00";"15.0";"752.3";"759.7";"88";"Wind blowing from the north-east";"2";"";"Mist";"";"No Significant Clouds";"1.5";"13.0";
"31.12.2017 17:30";"16.0";"752.3";"759.7";"83";"Wind blowing from the north-east";"3";"";"Mist";"";"No Significant Clouds";"1.6";"13.0";
"31.12.2017 17:00";"16.0";"752.3";"759.7";"77";"Wind blowing from the north-east";"3";"";"Mist";"";"No Significant Clouds";"1.8";"12.0";
"31.12.2017 16:30";"17.0";"752.3";"759.7";"73";"Wind blowing from the north-northeast";"3";"";"Haze";"";"No Significant Clouds";"1.8";"12.0";
"31.12.2017 16:00";"18.0";"752.3";"759.7";"64";"Wind blowing from the north-northeast";"4";"";"Haze";"";"No Significant Clouds";"2.0";"11.0";
"31.12.2017 15:30";"18.0";"752.3";"759.7";"64";"Wind blowing from the north-northeast";"3";"";"Haze";"";"No Significant Clouds";"2.0";"11.0";
"31.12.2017 15:00";"18.0";"752.3";"759.7";"64";"Wind blowing from the north-northeast";"3";"";"Haze";"";"No Significant Clouds";"2.0";"11.0";
"31.12.2017 14:30";"18.0";"753.1";"760.5";"64";"Wind blowing from the north-northeast";"2";"";"Haze";"";"No Significant Clouds";"2.0";"11.0";
"31.12.2017 14:00";"18.0";"753.1";"760.5";"64";"Wind blowing from the north-northeast";"3";"";"Haze";"";"No Significant Clouds";"2.0";"11.0";
"31.12.2017 13:30";"17.0";"753.8";"761.2";"68";"Wind blowing from the north-northwest";"3";"";"Haze";"";"No Significant Clouds";"1.5";"11.0";
"31.12.2017 13:00";"17.0";"753.8";"761.2";"68";"Wind blowing from the north-northwest";"3";"";"Haze";"";"No Significant Clouds";"1.5";"11.0";
"31.12.2017 12:30";"17.0";"754.6";"762.0";"73";"Wind blowing from the north-east";"3";"";"Haze";"";"No Significant Clouds";"1.5";"12.0";
"31.12.2017 12:00";"16.0";"754.6";"762.0";"72";"Wind blowing from the north-west";"2";"";"Haze";"";"No Significant Clouds";"1.3";"11.0";
"31.12.2017 11:30";"16.0";"755.4";"762.8";"77";"Wind blowing from the north-west";"2";"";"Mist";"";"No Significant Clouds";"1.3";"12.0";
"31.12.2017 11:00";"14.0";"756.0";"763.5";"77";"Wind blowing from the west";"2";"";"Mist";"";"No Significant Clouds";"1.0";"10.0";
"31.12.2017 10:30";"13.0";"756.0";"763.5";"82";"Wind blowing from the south-southwest";"2";"";"Mist";"";"Broken clouds (60-90%) 240 m, broken clouds (60-90%) 540 m";"1.0";"10.0";
"31.12.2017 10:00";"13.0";"756.0";"763.5";"82";"Wind blowing from the west-southwest";"2";"";"Mist";"";"Vertical visibility";"1.0";"10.0";
"31.12.2017 09:30";"13.0";"756.0";"763.5";"82";"Wind blowing from the west-southwest";"1";"";"Fog";"";"Vertical visibility";"0.9";"10.0";
"31.12.2017 09:00";"12.0";"755.9";"763.5";"88";"Wind blowing from the south-west";"1";"";"Fog";"";"Vertical visibility";"0.9";"10.0";
"31.12.2017 08:30";"12.0";"755.9";"763.5";"94";"Wind blowing from the south-west";"1";"";"Fog";"";"Vertical visibility";"0.9";"11.0";
"31.12.2017 08:00";"12.0";"755.3";"762.8";"88";"Wind blowing from the west";"1";"";"Fog";"";"Vertical visibility";"0.8";"10.0";
"31.12.2017 07:30";"12.0";"755.3";"762.8";"94";"variable wind direction";"1";"";"Fog";"";"Vertical visibility";"0.8";"11.0";
"31.12.2017 07:00";"12.0";"754.5";"762.0";"88";"variable wind direction";"1";"";"Fog";"";"Vertical visibility";"0.8";"10.0";
"31.12.2017 06:00";"12.0";"754.5";"762.0";"100";"Wind blowing from the west-northwest";"2";"";"Fog";"";"Vertical visibility";"0.8";"12.0";
"31.12.2017 05:00";"";"";"762.0";"";"Wind blowing from the north-northeast";"2";"";"Fog";"";"Vertical visibility";"0.8";"";
"31.12.2017 04:00";"12.0";"754.5";"762.0";"100";"Wind blowing from the north-northwest";"2";"";"Fog";"";"Vertical visibility";"0.7";"12.0";
"31.12.2017 03:00";"13.0";"754.5";"762.0";"";"Wind blowing from the north";"2";"";"Fog";"";"Vertical visibility";"0.6";"";
"31.12.2017 02:00";"13.0";"754.5";"762.0";"94";"Wind blowing from the north";"2";"";"Fog";"";"Vertical visibility";"0.2";"12.0";
"31.12.2017 00:00";"13.0";"754.5";"762.0";"94";"Wind blowing from the north";"2";"";"Fog";"";"Vertical visibility";"0.2";"12.0";
"30.12.2017 22:00";"13.0";"754.5";"762.0";"94";"Wind blowing from the north";"2";"";"Fog";"";"Vertical visibility";"0.5";"12.0";
"30.12.2017 21:00";"13.0";"754.5";"762.0";"94";"variable wind direction";"1";"";"Fog";"";"Vertical visibility";"0.5";"12.0";
"30.12.2017 20:30";"13.0";"754.5";"762.0";"94";"variable wind direction";"1";"";"Fog";"";"Vertical visibility";"0.5";"12.0";
"30.12.2017 20:00";"14.0";"754.5";"762.0";"88";"Wind blowing from the north";"2";"";"Fog";"";"Vertical visibility";"0.5";"12.0";
"30.12.2017 19:30";"14.0";"754.5";"762.0";"88";"Wind blowing from the north";"2";"";"Fog";"";"Vertical visibility";"0.5";"12.0";
"30.12.2017 19:00";"14.0";"753.7";"761.2";"94";"Wind blowing from the north-northeast";"2";"";"Fog";"";"Vertical visibility";"0.6";"13.0";
"30.12.2017 18:30";"14.0";"753.7";"761.2";"94";"Wind blowing from the east-northeast";"1";"";"Fog";"";"Vertical visibility";"0.6";"13.0";
"30.12.2017 17:30";"14.0";"753.7";"761.2";"100";"Wind blowing from the north-northeast";"2";"";"Fog";"";"Vertical visibility";"0.7";"14.0";
"30.12.2017 17:00";"15.0";"753.7";"761.2";"88";"Wind blowing from the north-northeast";"2";"";"Fog";"";"Vertical visibility";"0.8";"13.0";
"30.12.2017 16:30";"15.0";"753.7";"761.2";"88";"Wind blowing from the north-northeast";"2";"";"Ground fog";"";"Vertical visibility";"0.8";"13.0";
"30.12.2017 15:30";"16.0";"753.8";"761.2";"83";"Wind blowing from the north-northeast";"3";"";"Mist";"";"No Significant Clouds";"1.0";"13.0";
"30.12.2017 15:00";"17.0";"753.8";"761.2";"77";"Wind blowing from the north-northeast";"2";"";"Mist";"";"No Significant Clouds";"1.0";"13.0";
"30.12.2017 14:30";"17.0";"753.8";"761.2";"77";"Wind blowing from the north-east";"2";"";"Mist";"";"No Significant Clouds";"1.0";"13.0";
"30.12.2017 14:00";"17.0";"754.6";"762.0";"77";"Wind blowing from the north-northeast";"2";"";"Mist";"";"No Significant Clouds";"1.0";"13.0";
"30.12.2017 13:30";"16.0";"754.6";"762.0";"83";"variable wind direction";"1";"";"Mist";"";"No Significant Clouds";"1.0";"13.0";
"30.12.2017 13:00";"16.0";"755.4";"762.8";"83";"Wind blowing from the north-northeast";"2";"";"Mist";"";"Vertical visibility";"1.0";"13.0";
"30.12.2017 12:30";"15.0";"755.3";"762.8";"88";"Calm, no wind";"0";"";"Mist";"";"Vertical visibility";"1.0";"13.0";
"30.12.2017 12:00";"15.0";"756.0";"763.5";"88";"variable wind direction";"1";"";"Ground fog";"";"Vertical visibility";"0.8";"13.0";
"30.12.2017 11:30";"14.0";"756.8";"764.3";"94";"variable wind direction";"1";"";"Ground fog";"";"Vertical visibility";"0.7";"13.0";
"30.12.2017 11:00";"14.0";"756.8";"764.3";"94";"variable wind direction";"1";"";"Ground fog";"";"Vertical visibility";"0.6";"13.0";
"30.12.2017 10:30";"14.0";"756.8";"764.3";"94";"variable wind direction";"1";"";"Ground fog";"";"Vertical visibility";"0.5";"13.0";
"30.12.2017 10:00";"14.0";"756.8";"764.3";"94";"variable wind direction";"1";"";"Ground fog";"";"Vertical visibility";"0.5";"13.0";
"30.12.2017 09:30";"13.0";"756.8";"764.3";"100";"variable wind direction";"1";"";"Fog";"";"Vertical visibility";"0.1";"13.0";
"30.12.2017 09:00";"13.0";"756.8";"764.3";"100";"variable wind direction";"1";"";"Fog";"";"Vertical visibility";"0.1";"13.0";
"30.12.2017 08:30";"13.0";"756.8";"764.3";"100";"variable wind direction";"1";"";"Fog";"";"Vertical visibility";"0.1";"13.0";
"30.12.2017 08:00";"12.0";"755.9";"763.5";"100";"variable wind direction";"1";"";"Fog";"";"Vertical visibility";"0.1";"12.0";
"30.12.2017 07:30";"12.0";"755.3";"762.8";"100";"Calm, no wind";"0";"";"Fog";"";"Vertical visibility";"0.1";"12.0";
"30.12.2017 07:00";"12.0";"755.3";"762.8";"100";"Calm, no wind";"0";"";"Fog";"";"Vertical visibility";"0.1";"12.0";
"30.12.2017 06:00";"12.0";"754.5";"762.0";"100";"variable wind direction";"1";"";"";"";"Vertical visibility";"0.1";"12.0";
"30.12.2017 05:00";"12.0";"754.5";"762.0";"100";"Wind blowing from the north-east";"1";"";"Fog";"";"Vertical visibility";"0.1";"12.0";
"30.12.2017 04:00";"13.0";"754.5";"762.0";"100";"Wind blowing from the north-east";"1";"";"Fog";"";"Vertical visibility";"0.0";"13.0";
"30.12.2017 00:00";"14.0";"755.3";"762.8";"100";"Wind blowing from the east-northeast";"2";"";"Fog";"";"Vertical visibility";"0.0";"14.0";
"29.12.2017 23:00";"14.0";"755.3";"762.8";"100";"Wind blowing from the east-northeast";"2";"";"Fog";"";"Vertical visibility";"0.0";"14.0";
"29.12.2017 21:00";"15.0";"755.3";"762.8";"100";"Wind blowing from the east-northeast";"2";"";"Fog";"";"Vertical visibility";"0.1";"15.0";
"29.12.2017 20:00";"15.0";"755.3";"762.8";"94";"Wind blowing from the north-east";"2";"";"Fog";"";"Vertical visibility";"0.2";"14.0";
"29.12.2017 19:30";"15.0";"755.3";"762.8";"94";"Wind blowing from the north-northeast";"2";"";"";"";"Vertical visibility";"0.4";"14.0";
"29.12.2017 19:00";"15.0";"755.3";"762.8";"100";"Wind blowing from the north";"2";"";"Ground fog";"";"No Significant Clouds";"0.5";"15.0";
"29.12.2017 18:30";"16.0";"754.6";"762.0";"88";"Wind blowing from the north-northeast";"2";"";"Ground fog";"";"No Significant Clouds";"0.6";"14.0";
"29.12.2017 18:00";"16.0";"754.6";"762.0";"88";"Wind blowing from the north-northeast";"3";"";"Ground fog";"";"No Significant Clouds";"0.6";"14.0";
"29.12.2017 17:30";"16.0";"753.8";"761.2";"88";"Wind blowing from the north-northeast";"3";"";"Ground fog";"";"No Significant Clouds";"0.8";"14.0";
"29.12.2017 17:00";"16.0";"753.8";"761.2";"94";"Wind blowing from the north-northeast";"2";"";"Mist";"";"No Significant Clouds";"1.0";"15.0";
"29.12.2017 16:30";"17.0";"753.8";"761.2";"88";"Wind blowing from the north-northeast";"3";"";"Mist";"";"No Significant Clouds";"1.1";"15.0";
"29.12.2017 16:00";"17.0";"753.8";"761.2";"88";"Wind blowing from the north-northeast";"3";"";"Mist";"";"No Significant Clouds";"1.2";"15.0";
"29.12.2017 15:30";"18.0";"753.8";"761.2";"83";"Wind blowing from the north-northeast";"3";"";"Mist";"";"No Significant Clouds";"1.1";"15.0";
"29.12.2017 15:00";"18.0";"754.6";"762.0";"83";"Wind blowing from the north-northeast";"3";"";"Mist";"";"No Significant Clouds";"1.0";"15.0";
"29.12.2017 14:30";"19.0";"754.6";"762.0";"83";"Wind blowing from the north-northeast";"3";"";"Mist";"";"No Significant Clouds";"1.0";"16.0";
"29.12.2017 14:00";"20.0";"754.7";"762.0";"83";"Wind blowing from the north-northeast";"3";"";"Mist";"";"No Significant Clouds";"1.0";"17.0";
"29.12.2017 13:30";"20.0";"755.5";"762.8";"83";"Wind blowing from the north-northeast";"3";"";"Fog";"";"No Significant Clouds";"0.8";"17.0";
"29.12.2017 13:00";"19.0";"755.4";"762.8";"88";"Wind blowing from the north";"3";"";"Fog";"";"No Significant Clouds";"0.8";"17.0";
"29.12.2017 12:30";"18.0";"756.1";"763.5";"88";"Wind blowing from the north-east";"2";"";"Fog";"";"No Significant Clouds";"0.7";"16.0";
"29.12.2017 12:00";"17.0";"756.1";"763.5";"94";"Wind blowing from the north-northeast";"2";"";"Fog";"";"Vertical visibility";"0.6";"16.0";
"29.12.2017 11:30";"17.0";"756.9";"764.3";"88";"Wind blowing from the north-east";"2";"";"Fog";"";"Vertical visibility";"0.5";"15.0";
"29.12.2017 11:00";"16.0";"756.8";"764.3";"88";"Calm, no wind";"0";"";"Fog";"";"Vertical visibility";"0.5";"14.0";
"29.12.2017 10:30";"15.0";"756.8";"764.3";"88";"Calm, no wind";"0";"";"Fog";"";"Vertical visibility";"0.4";"13.0";
"29.12.2017 09:30";"12.0";"756.7";"764.3";"100";"variable wind direction";"1";"";"Fog";"";"Vertical visibility";"0.2";"12.0";
"29.12.2017 09:00";"12.0";"755.9";"763.5";"100";"variable wind direction";"1";"";"Fog";"";"Vertical visibility";"0.0";"12.0";
"29.12.2017 08:30";"12.0";"755.9";"763.5";"100";"Calm, no wind";"0";"";"Fog";"";"Vertical visibility";"0.0";"12.0";
"29.12.2017 08:00";"12.0";"755.3";"762.8";"94";"variable wind direction";"1";"";"Fog";"";"Vertical visibility";"0.0";"11.0";
"29.12.2017 07:30";"12.0";"755.3";"762.8";"94";"Calm, no wind";"0";"";"Fog";"";"Vertical visibility";"0.0";"11.0";
"28.12.2017 22:00";"15.0";"754.5";"762.0";"94";"Wind blowing from the east";"1";"";"Fog";"";"No Significant Clouds";"0.5";"14.0";
"28.12.2017 21:00";"16.0";"754.6";"762.0";"88";"Wind blowing from the east";"2";"";"Fog";"";"No Significant Clouds";"0.8";"14.0";
"28.12.2017 20:00";"17.0";"754.6";"762.0";"88";"Wind blowing from the north-east";"2";"";"Mist";"";"No Significant Clouds";"1.0";"15.0";
"28.12.2017 19:30";"17.0";"753.8";"761.2";"88";"variable wind direction";"1";"";"Mist";"";"No Significant Clouds";"1.0";"15.0";
"28.12.2017 19:00";"18.0";"753.8";"761.2";"88";"Wind blowing from the north-east";"2";"";"Mist";"";"No Significant Clouds";"1.2";"16.0";
"28.12.2017 18:30";"18.0";"753.8";"761.2";"88";"Wind blowing from the east-northeast";"2";"";"Mist";"";"No Significant Clouds";"1.2";"16.0";
"28.12.2017 18:00";"19.0";"753.8";"761.2";"83";"variable wind direction";"1";"";"Mist";"";"No Significant Clouds";"1.2";"16.0";
"28.12.2017 17:30";"20.0";"753.2";"760.5";"78";"Wind blowing from the north-northeast";"2";"";"Mist";"";"No Significant Clouds";"1.2";"16.0";
"28.12.2017 17:00";"20.0";"753.2";"760.5";"73";"Wind blowing from the north-east";"3";"";"Haze";"";"No Significant Clouds";"1.6";"15.0";
"28.12.2017 16:30";"21.0";"753.2";"760.5";"69";"Wind blowing from the north-east";"2";"";"Haze";"";"No Significant Clouds";"1.6";"15.0";
"28.12.2017 16:00";"21.0";"753.2";"760.5";"64";"Wind blowing from the north-northwest";"2";"";"Haze";"";"No Significant Clouds";"2.0";"14.0";
"28.12.2017 15:30";"22.0";"753.2";"760.5";"57";"Wind blowing from the north";"2";"";"Haze";"";"No Significant Clouds";"2.2";"13.0";
"28.12.2017 15:00";"22.0";"753.2";"760.5";"53";"Wind blowing from the north-west";"2";"";"Haze";"";"No Significant Clouds";"2.5";"12.0";
"28.12.2017 14:30";"22.0";"753.2";"760.5";"53";"Wind blowing from the north-northwest";"2";"";"Haze";"";"No Significant Clouds";"2.5";"12.0";
"28.12.2017 14:00";"22.0";"753.9";"761.2";"53";"Wind blowing from the north-northeast";"3";"";"Haze";"";"No Significant Clouds";"2.5";"12.0";
"28.12.2017 13:30";"22.0";"753.9";"761.2";"53";"";"";"";"Haze";"";"No Significant Clouds";"2.5";"12.0";
"28.12.2017 13:00";"21.0";"753.9";"761.2";"57";"Wind blowing from the west-northwest";"2";"";"Haze";"";"No Significant Clouds";"2.2";"12.0";
"28.12.2017 12:30";"21.0";"754.7";"762.0";"60";"Wind blowing from the north-northwest";"2";"";"Haze";"";"No Significant Clouds";"2.0";"13.0";
"28.12.2017 12:00";"21.0";"754.7";"762.0";"60";"Wind blowing from the north-northwest";"2";"";"Haze";"";"No Significant Clouds";"2.0";"13.0";
"28.12.2017 11:30";"20.0";"755.5";"762.8";"64";"Wind blowing from the west";"2";"";"Haze";"";"No Significant Clouds";"1.8";"13.0";
"28.12.2017 11:00";"20.0";"755.5";"762.8";"64";"Wind blowing from the west";"2";"";"Haze";"";"No Significant Clouds";"1.5";"13.0";
"28.12.2017 10:30";"19.0";"756.1";"763.5";"68";"Wind blowing from the north-west";"2";"";"Haze";"";"No Significant Clouds";"1.5";"13.0";
