# Weather station Varanasi, India, WMO_ID=42483,selection from 17.11.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42483&lang=en
#
"Local time in Varanasi";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"17.4";"753.3";"761.3";"";"80";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.0";"";"";"";"";"";"1.0";"13.9";"";"";"";"";"";"";
"31.12.2017 08:30";"12.6";"757.0";"765.2";"";"93";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.6";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.05";"11.5";"";"";"";"";"";"";
"30.12.2017 17:30";"14.8";"754.8";"762.9";"";"93";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"17.3";"";"";"";"";"";"0.5";"13.7";"";"";"";"";"";"";
"30.12.2017 08:30";"12.8";"757.8";"766.0";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.5";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.05";"12.8";"";"";"";"";"";"";
"29.12.2017 17:30";"17.4";"755.0";"763.0";"";"90";"Wind blowing from the north-east";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"20.0";"";"";"";"";"";"0.5";"15.7";"";"";"";"";"";"";
"29.12.2017 08:30";"12.8";"757.3";"765.5";"";"";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.05";"";"";"";"";"";"";"";
"28.12.2017 17:30";"20.6";"754.2";"762.1";"";"80";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.0";"";"";"";"";"";"1.0";"17.0";"";"";"";"";"";"";
"28.12.2017 08:30";"10.0";"756.8";"765.1";"";"97";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.6";"";"";"";"";"";"";"0.5";"9.6";"";"";"";"";"";"";
"27.12.2017 17:30";"19.2";"755.2";"763.2";"";"83";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.2";"";"";"";"";"";"1.0";"16.2";"";"";"";"";"";"";
"27.12.2017 08:30";"10.8";"757.2";"765.4";"";"95";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.1";"";"";"";"";"";"";"0.5";"10.0";"";"";"";"";"";"";
"26.12.2017 17:30";"20.2";"755.3";"763.3";"";"80";"Wind blowing from the west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.9";"";"";"";"";"";"2.0";"16.6";"";"";"";"";"";"";
"26.12.2017 08:30";"11.4";"757.5";"765.7";"";"95";"Wind blowing from the west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.2";"10.6";"";"";"";"";"";"";
"25.12.2017 17:30";"20.2";"754.5";"762.4";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.5";"";"";"";"";"";"2.0";"15.5";"";"";"";"";"";"";
"25.12.2017 08:30";"10.0";"756.2";"764.5";"";"95";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.2";"";"";"";"";"";"";"1.0";"9.2";"";"";"";"";"";"";
"24.12.2017 17:30";"21.8";"753.5";"761.4";"";"76";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"17.3";"";"";"";"";"";"";
"24.12.2017 08:30";"9.8";"756.0";"764.3";"";"92";"Wind blowing from the north-west";"1";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.3";"";"";"";"";"";"";"1.0";"8.6";"";"";"";"";"";"";
"23.12.2017 17:30";"20.4";"753.4";"761.3";"";"78";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"16.4";"";"";"";"";"";"";
