# Weather station Kohima, India, WMO_ID=42527,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42527&lang=en
#
"Local time in Kohima";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"16.12.2017 17:30";"13.2";"646.2";"";"";"66";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"16.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.9";"";"";"";"";"";"";
"16.12.2017 08:30";"13.2";"646.2";"";"";"66";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"7.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.9";"";"";"";"";"";"";
"15.12.2017 17:30";"16.8";"646.8";"";"";"75";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"16.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.3";"";"";"";"";"";"";
"15.12.2017 08:30";"16.8";"646.8";"";"";"75";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"9.1";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.3";"";"";"";"";"";"";
"14.12.2017 17:30";"16.8";"648.4";"";"";"73";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"18.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.9";"";"";"";"";"";"";
"14.12.2017 08:30";"16.8";"648.4";"";"";"73";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"8.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.9";"";"";"";"";"";"";
"13.12.2017 08:30";"16.8";"647.8";"";"";"81";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"6.5";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.4";"";"";"";"";"";"";
"12.12.2017 17:30";"16.4";"627.7";"762.4";"";"83";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"19.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.5";"";"";"";"";"";"";
"12.12.2017 08:30";"16.4";"647.9";"";"";"83";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"6.7";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.5";"";"";"";"";"";"";
"11.12.2017 17:30";"17.4";"648.7";"";"";"79";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"6.5";"21.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.7";"";"";"";"";"";"";
"11.12.2017 08:30";"17.4";"648.7";"";"";"79";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"6.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.7";"";"";"";"";"";"";
"10.12.2017 17:30";"18.0";"647.9";"";"";"74";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"7.4";"19.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.3";"";"";"";"";"";"";
"10.12.2017 08:30";"18.0";"647.9";"";"";"74";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"7.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.3";"";"";"";"";"";"";
"09.12.2017 17:30";"18.8";"647.3";"";"";"80";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"20.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.2";"";"";"";"";"";"";
"09.12.2017 08:30";"18.8";"647.3";"";"";"80";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"7.9";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.2";"";"";"";"";"";"";
"08.12.2017 17:30";"17.6";"";"";"";"81";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"7.4";"21.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.3";"";"";"";"";"";"";
"08.12.2017 08:30";"17.6";"647.1";"";"";"81";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"7.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.3";"";"";"";"";"";"";
"07.12.2017 17:30";"19.2";"647.6";"";"";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.7";"22.4";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"07.12.2017 08:30";"19.2";"647.6";"";"";"68";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"06.12.2017 20:30";"18.8";"647.0";"";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"20.4";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"06.12.2017 17:30";"18.8";"647.0";"";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"20.4";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"06.12.2017 08:30";"18.8";"647.0";"";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"7.3";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"05.12.2017 17:30";"17.8";"647.8";"";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.6";"20.8";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"05.12.2017 08:30";"17.8";"647.8";"";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.6";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"04.12.2017 17:30";"16.6";"647.1";"";"";"64";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"18.2";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"04.12.2017 08:30";"16.6";"647.1";"";"";"64";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"03.12.2017 17:30";"17.4";"647.6";"";"";"60";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.0";"18.3";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"03.12.2017 08:30";"17.4";"646.9";"";"";"60";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"02.12.2017 08:30";"17.8";"647.8";"";"0.0";"62";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"8.2";"";"";"";"1000-1500";"";"";"4.0";"10.3";"";"";"";"";"";"";
"02.12.2017 05:30";"17.8";"647.8";"";"";"62";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"18.4";"";"";"1000-1500";"";"";"4.0";"10.3";"";"";"";"";"";"";
"01.12.2017 17:30";"17.4";"647.2";"";"";"68";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"8.4";"18.4";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"01.12.2017 08:30";"17.4";"647.2";"";"";"68";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"30.11.2017 17:30";"16.6";"647.8";"";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"19.6";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"30.11.2017 08:30";"16.6";"647.8";"";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.6";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"29.11.2017 17:30";"17.2";"646.7";"";"";"72";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"17.4";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"29.11.2017 08:30";"17.2";"646.7";"";"";"72";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"28.11.2017 17:30";"17.4";"647.6";"";"";"84";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"18.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.6";"";"";"";"";"";"";
"28.11.2017 08:30";"17.4";"647.6";"";"";"84";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"10.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.6";"";"";"";"";"";"";
"27.11.2017 17:30";"19.0";"647.5";"";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.5";"21.8";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"27.11.2017 08:30";"19.0";"647.5";"";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"26.11.2017 17:30";"19.4";"645.9";"";"";"67";"Wind blowing from the north-northeast";"15";"";"";"10%  or less, but not 0";" ";"";"";"";"21.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.0";"";"";"";"";"";"";
"26.11.2017 08:30";"19.4";"645.9";"";"";"67";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"11.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.0";"";"";"";"";"";"";
"25.11.2017 17:30";"19.8";"646.0";"";"";"68";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"11.4";"21.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.8";"";"";"";"";"";"";
"25.11.2017 08:30";"19.8";"646.0";"";"";"68";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"11.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.8";"";"";"";"";"";"";
"24.11.2017 17:30";"18.8";"645.9";"";"";"73";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"10.4";"21.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.8";"";"";"";"";"";"";
"24.11.2017 08:30";"18.8";"645.9";"";"";"73";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"10.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.8";"";"";"";"";"";"";
"23.11.2017 17:30";"18.2";"645.8";"";"";"74";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"10.2";"20.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.5";"";"";"";"";"";"";
"23.11.2017 08:30";"18.2";"645.8";"";"";"74";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"10.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.5";"";"";"";"";"";"";
"22.11.2017 17:30";"18.4";"648.9";"";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.8";"20.8";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"22.11.2017 08:30";"18.4";"648.9";"";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"21.11.2017 17:30";"19.8";"648.1";"";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.6";"20.3";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"21.11.2017 08:30";"19.8";"648.1";"";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"20.11.2017 17:30";"19.4";"648.2";"";"";"78";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"25.7";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.5";"";"";"";"";"";"";
"20.11.2017 08:30";"19.4";"648.2";"";"";"78";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"11.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.5";"";"";"";"";"";"";
"19.11.2017 17:30";"19.2";"648.1";"";"";"83";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"11.0";"25.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.3";"";"";"";"";"";"";
"18.11.2017 17:30";"18.8";"648.4";"";"";"82";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"10.4";"22.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.6";"";"";"";"";"";"";
"18.11.2017 08:30";"18.8";"648.4";"";"";"82";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"10.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.6";"";"";"";"";"";"";
"17.11.2017 17:30";"18.2";"649.0";"";"";"92";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"10.1";"22.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"16.9";"";"";"";"";"";"";
"17.11.2017 08:30";"18.2";"649.0";"784.9";"";"92";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"10.1";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"16.9";"";"";"";"";"";"";
"16.11.2017 17:30";"19.4";"648.7";"";"";"86";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"10.6";"22.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.9";"";"";"";"";"";"";
"16.11.2017 08:30";"19.4";"648.7";"";"";"86";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"10.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.9";"";"";"";"";"";"";
"15.11.2017 17:30";"21.2";"647.3";"";"";"67";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"11.2";"23.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.7";"";"";"";"";"";"";
