# Weather station Kohima, India, WMO_ID=42527,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42527&lang=en
#
"Local time in Kohima";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"17.0";"648.1";"";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"20.6";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"30.12.2017 08:30";"16.8";"648.7";"";"";"61";"Wind blowing from the south";"1";"";"";"10%  or less, but not 0";" ";"";"";"7.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.1";"";"";"";"";"";"";
"29.12.2017 17:30";"17.2";"647.8";"";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"19.7";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"29.12.2017 08:30";"17.2";"650.1";"";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"28.12.2017 17:30";"17.6";"648.1";"";"";"58";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"20.2";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"28.12.2017 08:30";"17.6";"648.1";"";"";"58";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"27.12.2017 17:30";"17.4";"647.4";"";"";"61";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"20.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.8";"";"";"";"";"";"";
"27.12.2017 08:30";"17.4";"647.4";"";"";"61";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"7.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.8";"";"";"";"";"";"";
"26.12.2017 17:30";"17.0";"648.0";"";"";"63";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"20.2";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"26.12.2017 08:30";"17.0";"648.0";"";"";"63";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"25.12.2017 17:30";"16.6";"647.8";"";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"19.5";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"25.12.2017 08:30";"16.6";"647.8";"";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"6.7";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"24.12.2017 17:30";"16.8";"647.0";"";"";"66";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"20.6";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"24.12.2017 08:30";"16.8";"647.0";"";"";"66";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"6.9";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"23.12.2017 17:30";"16.6";"647.2";"";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"20.2";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"23.12.2017 08:30";"16.6";"647.2";"";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"7.2";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"22.12.2017 17:30";"17.4";"647.9";"";"";"68";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"7.5";"20.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.4";"";"";"";"";"";"";
"22.12.2017 08:30";"17.4";"647.9";"";"";"68";"Wind blowing from the west";"1";"";"";"10%  or less, but not 0";" ";"";"";"7.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.4";"";"";"";"";"";"";
"21.12.2017 17:30";"17.0";"647.0";"";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.3";"20.4";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"21.12.2017 08:30";"17.0";"647.0";"";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"7.3";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"20.12.2017 17:30";"16.8";"646.9";"";"";"78";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"8.0";"19.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.0";"";"";"";"";"";"";
"20.12.2017 08:30";"16.8";"646.9";"";"";"78";"Wind blowing from the north";"1";"";"";"10%  or less, but not 0";" ";"";"";"8.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.0";"";"";"";"";"";"";
"19.12.2017 17:30";"17.0";"648.4";"";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"19.8";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"19.12.2017 08:30";"17.0";"648.4";"";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"6.8";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"18.12.2017 08:30";"15.8";"647.7";"";"";"67";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"17.12.2017 17:30";"15.6";"647.2";"";"";"72";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"16.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.6";"";"";"";"";"";"";
"17.12.2017 08:30";"15.6";"647.2";"";"";"72";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"7.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.6";"";"";"";"";"";"";
