# Weather station Chandrapur, India, WMO_ID=43029,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43029&lang=en
#
"Local time in Chandrapur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.8";"742.9";"759.4";"2.2";"57";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"31.3";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"31.12.2017 14:30";"30.0";"740.7";"757.0";"-3.5";"46";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"31.12.2017 11:30";"26.2";"744.2";"760.8";"-1.6";"50";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"31.12.2017 08:30";"14.4";"745.8";"763.1";"";"80";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"30.12.2017 17:30";"26.6";"742.8";"759.3";"0.0";"58";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"30.12.2017 14:30";"29.6";"742.8";"759.2";"-3.0";"49";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"30.12.2017 11:30";"27.0";"745.8";"762.4";"0.7";"52";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"30.12.2017 08:30";"15.0";"745.1";"762.3";"";"79";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"29.12.2017 17:30";"29.8";"742.8";"759.1";"-0.6";"48";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"29.12.2017 14:30";"29.4";"743.4";"759.8";"-1.7";"48";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"29.12.2017 11:30";"25.0";"745.1";"761.8";"-0.8";"50";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"29.12.2017 08:30";"15.6";"745.9";"763.1";"";"69";"Wind blowing from the south-southeast";"7";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"28.12.2017 17:30";"28.0";"742.9";"759.3";"0.1";"47";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"28.12.2017 14:30";"29.4";"742.8";"759.2";"-2.2";"44";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"28.12.2017 11:30";"27.0";"745.0";"761.5";"-0.8";"50";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"28.12.2017 08:30";"14.0";"745.8";"763.1";"";"72";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"27.12.2017 17:30";"27.0";"742.7";"759.2";"0.7";"50";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"27.12.2017 14:30";"30.0";"742.0";"758.3";"-3.8";"44";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"27.12.2017 11:30";"27.0";"745.8";"762.4";"-0.8";"46";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"27.12.2017 08:30";"15.0";"746.6";"763.9";"";"68";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"26.12.2017 17:30";"27.2";"741.8";"758.3";"-0.8";"51";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"26.12.2017 14:30";"28.4";"742.6";"759.0";"-3.1";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"26.12.2017 11:30";"26.8";"745.7";"762.3";"-1.5";"51";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"26.12.2017 08:30";"19.0";"747.2";"764.3";"";"63";"Wind blowing from the north-northwest";"2";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"25.12.2017 17:30";"28.4";"742.7";"759.1";"1.5";"56";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"25.12.2017 14:30";"30.4";"741.2";"757.5";"-3.9";"46";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"25.12.2017 11:30";"25.6";"745.1";"761.7";"0.1";"53";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"25.12.2017 08:30";"17.4";"745.0";"762.1";"";"75";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"24.12.2017 17:30";"27.2";"741.2";"757.6";"-0.8";"59";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"24.12.2017 14:30";"30.4";"742.0";"758.3";"";"43";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"24.12.2017 08:30";"18.4";"745.0";"762.0";"";"73";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"23.12.2017 17:30";"26.4";"742.6";"759.1";"0.7";"63";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"23.12.2017 14:30";"30.2";"741.9";"758.2";"-2.3";"52";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"23.12.2017 11:30";"26.4";"744.2";"760.8";"-1.6";"53";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"23.12.2017 08:30";"15.8";"745.8";"763.0";"";"77";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"22.12.2017 17:30";"27.4";"744.0";"760.5";"0.7";"55";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"22.12.2017 14:30";"29.6";"743.3";"759.7";"-4.0";"45";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"22.12.2017 11:30";"25.2";"747.3";"764.0";"0.1";"72";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"22.12.2017 08:30";"16.6";"747.2";"764.4";"";"74";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"21.12.2017 17:30";"28.2";"745.6";"762.1";"0.9";"52";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"21.12.2017 14:30";"28.6";"744.7";"761.2";"-3.4";"50";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"21.12.2017 11:30";"25.2";"748.1";"764.8";"-0.6";"53";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"21.12.2017 08:30";"15.0";"748.7";"766.0";"";"79";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"20.12.2017 17:30";"28.0";"745.0";"761.5";"-0.5";"57";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"20.12.2017 14:30";"29.2";"745.5";"761.9";"-1.6";"51";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"20.12.2017 11:30";"26.0";"747.1";"763.7";"-0.8";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"20.12.2017 08:30";"15.0";"747.9";"765.2";"";"55";"Wind blowing from the west-northwest";"2";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"19.12.2017 17:30";"27.6";"744.7";"761.2";"-0.8";"49";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"19.12.2017 14:30";"29.8";"745.5";"761.9";"-1.5";"40";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"19.12.2017 11:30";"26.2";"747.0";"763.6";"-0.8";"36";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"19.12.2017 08:30";"15.4";"747.8";"765.1";"";"63";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"18.12.2017 17:30";"26.4";"744.6";"761.2";"-0.9";"49";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"18.12.2017 14:30";"29.4";"745.5";"761.9";"";"42";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"18.12.2017 08:30";"20.0";"747.8";"764.8";"";"66";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"17.12.2017 17:30";"28.0";"745.5";"762.0";"0.9";"57";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"17.12.2017 14:30";"30.4";"744.6";"760.9";"-3.8";"51";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"17.12.2017 11:30";"27.0";"748.4";"765.0";"0.1";"50";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"17.12.2017 08:30";"17.4";"748.3";"765.5";"";"78";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"16.12.2017 17:30";"29.2";"745.4";"761.8";"1.7";"52";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"16.12.2017 14:30";"31.0";"743.7";"760.0";"-4.0";"45";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"16.12.2017 11:30";"28.2";"747.7";"764.2";"2.3";"53";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"16.12.2017 08:30";"19.4";"745.4";"762.4";"";"72";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"15.12.2017 17:30";"28.0";"743.8";"760.3";"0.7";"58";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"15.12.2017 14:30";"30.2";"743.1";"759.4";"-2.4";"48";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"15.12.2017 11:30";"27.8";"745.5";"762.0";"0.0";"53";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"15.12.2017 08:30";"21.4";"745.5";"762.4";"";"67";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"14.12.2017 17:30";"28.4";"743.9";"760.3";"0.8";"59";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"14.12.2017 14:30";"31.0";"743.1";"759.4";"-3.1";"54";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"14.12.2017 11:30";"28.4";"746.2";"762.7";"0.8";"59";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"14.12.2017 08:30";"20.0";"745.4";"762.4";"";"76";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"13.12.2017 17:30";"28.6";"742.6";"759.0";"0.9";"60";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"13.12.2017 14:30";"30.6";"741.7";"758.0";"-3.0";"52";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"13.12.2017 11:30";"27.6";"744.7";"761.2";"-0.3";"55";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"13.12.2017 08:30";"20.2";"745.0";"761.9";"";"75";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"12.12.2017 17:30";"29.0";"741.0";"757.3";"-0.7";"50";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"12.12.2017 14:30";"31.8";"741.7";"757.9";"-2.3";"41";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"12.12.2017 11:30";"26.6";"744.0";"760.5";"-0.9";"52";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"12.12.2017 08:30";"17.0";"744.9";"762.0";"";"74";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"11.12.2017 17:30";"27.0";"742.3";"758.8";"0.5";"53";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
