# Weather station Chandrapur, India, WMO_ID=43029,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43029&lang=en
#
"Local time in Chandrapur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.12.2017 14:30";"29.4";"741.8";"758.1";"-2.8";"42";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"11.12.2017 11:30";"26.4";"744.6";"761.2";"-0.3";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"11.12.2017 08:30";"15.2";"744.9";"762.1";"";"77";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"10.12.2017 17:30";"28.0";"741.7";"758.1";"0.0";"41";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"10.12.2017 14:30";"29.6";"741.7";"758.0";"-2.0";"41";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"10.12.2017 11:30";"27.8";"743.7";"760.2";"-0.9";"40";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"10.12.2017 08:30";"17.4";"744.6";"761.7";"";"95";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"09.12.2017 17:30";"28.8";"740.9";"757.3";"0.0";"50";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"09.12.2017 14:30";"30.8";"740.9";"757.1";"-3.6";"47";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"09.12.2017 11:30";"29.2";"744.5";"760.9";"0.6";"47";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"09.12.2017 08:30";"19.2";"743.9";"760.9";"";"79";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"08.12.2017 17:30";"28.4";"740.9";"757.3";"1.2";"56";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"08.12.2017 14:30";"30.4";"739.7";"755.9";"-3.4";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"08.12.2017 11:30";"28.2";"743.1";"759.5";"-0.1";"56";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"08.12.2017 08:30";"19.6";"743.2";"760.1";"";"76";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"07.12.2017 17:30";"29.4";"741.0";"757.3";"0.9";"50";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"07.12.2017 14:30";"31.2";"740.1";"756.3";"-2.2";"38";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"07.12.2017 11:30";"29.2";"742.3";"758.7";"-1.2";"39";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"07.12.2017 08:30";"21.2";"743.5";"760.3";"";"81";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"06.12.2017 20:30";"30.0";"739.3";"755.6";"";"57";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"06.12.2017 17:30";"30.0";"739.3";"755.6";"-1.9";"57";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"06.12.2017 14:30";"29.4";"741.2";"757.5";"-2.0";"58";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"06.12.2017 11:30";"27.2";"743.2";"759.7";"0.3";"64";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"06.12.2017 08:30";"19.8";"742.9";"759.8";"";"76";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"17.3";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"05.12.2017 17:30";"27.6";"742.1";"758.5";"1.2";"58";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"05.12.2017 14:30";"28.0";"740.9";"757.3";"-1.7";"49";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"05.12.2017 11:30";"26.4";"742.6";"759.1";"-0.8";"57";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"05.12.2017 08:30";"20.2";"743.4";"760.3";"";"68";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"04.12.2017 17:30";"26.6";"742.6";"759.1";"0.2";"56";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"04.12.2017 14:30";"29.4";"742.4";"758.8";"-1.9";"52";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"04.12.2017 11:30";"26.2";"744.3";"760.9";"-0.3";"61";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"04.12.2017 08:30";"18.4";"744.6";"761.6";"";"71";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"03.12.2017 17:30";"26.6";"742.4";"758.9";"";"56";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"03.12.2017 11:30";"27.0";"744.7";"761.2";"-0.9";"51";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"03.12.2017 08:30";"16.6";"745.6";"762.8";"";"77";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"02.12.2017 17:30";"27.0";"742.6";"759.1";"0.2";"45";"Wind blowing from the east-northeast";"2";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"02.12.2017 14:30";"28.8";"742.4";"758.8";"-3.2";"42";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"02.12.2017 11:30";"27.2";"745.6";"762.1";"0.1";"45";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"02.12.2017 08:30";"18.4";"745.5";"762.6";"";"77";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"01.12.2017 17:30";"27.0";"740.9";"757.4";"-0.9";"45";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"01.12.2017 14:30";"29.4";"741.8";"758.1";"-2.0";"40";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"01.12.2017 11:30";"27.2";"743.8";"760.3";"-0.2";"42";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"01.12.2017 08:30";"17.6";"744.0";"761.1";"";"78";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"30.11.2017 17:30";"27.4";"740.9";"757.3";"-1.5";"42";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"30.11.2017 14:30";"30.0";"742.4";"758.7";"-2.2";"33";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"30.11.2017 11:30";"26.4";"744.6";"761.2";"-0.1";"53";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
