# Weather station Nalgonda, India, WMO_ID=43133,selection from 16.07.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43133&lang=en
#
"Local time in Nalgonda";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 08:30";"26.0";"745.1";"764.4";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"30.12.2017 17:30";"26.4";"741.4";"760.5";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.4";"";"";"";"";"";"";
"30.12.2017 08:30";"26.0";"745.6";"764.8";"";"94";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"10.0";"24.9";"";"";"";"";"";"";
"29.12.2017 17:30";"26.0";"741.8";"761.0";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"23.1";"";"";"";"";"";"";
"29.12.2017 08:30";"26.0";"745.9";"765.1";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"10.0";"25.1";"";"";"";"";"";"";
"28.12.2017 17:30";"27.4";"741.4";"760.3";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"23.9";"";"";"";"";"";"";
"28.12.2017 08:30";"26.0";"745.6";"764.8";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"27.12.2017 17:30";"28.4";"740.9";"760.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"27.12.2017 08:30";"28.4";"745.4";"764.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"26.12.2017 17:30";"29.0";"740.6";"759.7";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"26.12.2017 08:30";"29.4";"745.3";"764.3";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"25.12.2017 17:30";"28.4";"740.3";"759.4";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"25.12.2017 08:30";"28.0";"745.1";"764.3";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"24.12.2017 08:30";"25.0";"745.3";"764.6";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"23.12.2017 17:30";"27.4";"741.1";"760.1";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"23.12.2017 08:30";"23.4";"745.4";"765.0";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"10.0";"21.9";"";"";"";"";"";"";
"22.12.2017 17:30";"26.0";"741.4";"760.6";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"23.1";"";"";"";"";"";"";
"22.12.2017 08:30";"23.4";"745.6";"765.0";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"10.0";"22.1";"";"";"";"";"";"";
"21.12.2017 17:30";"26.0";"740.9";"760.1";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"23.7";"";"";"";"";"";"";
"21.12.2017 08:30";"25.2";"745.4";"764.7";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"23.4";"";"";"";"";"";"";
"20.12.2017 17:30";"27.4";"740.0";"759.1";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"20.12.2017 08:30";"25.0";"745.3";"764.6";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"10.0";"23.8";"";"";"";"";"";"";
"19.12.2017 17:30";"28.0";"739.9";"758.9";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"19.12.2017 08:30";"25.0";"745.1";"764.4";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"18.12.2017 17:30";"29.0";"739.3";"758.3";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"18.12.2017 08:30";"25.4";"745.6";"764.8";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"10.0";"23.3";"";"";"";"";"";"";
"17.12.2017 17:30";"29.0";"739.1";"758.2";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"17.12.2017 08:30";"25.0";"745.3";"764.6";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
