# Weather station Khammam, India, WMO_ID=43137,selection from 14.01.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43137&lang=en
#
"Local time in Khammam";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 17:30";"27.8";"750.0";"759.4";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"22.2";"";"";"";"";"";"";
"26.12.2017 08:30";"21.6";"753.9";"763.6";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"14.4";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"19.1";"";"";"";"";"";"";
"25.12.2017 17:30";"28.8";"749.3";"758.7";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"23.3";"";"";"";"";"";"";
"24.12.2017 17:30";"28.0";"749.0";"758.5";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"24.12.2017 08:30";"23.0";"752.3";"762.0";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"23.12.2017 17:30";"26.6";"749.5";"758.9";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"21.2";"";"";"";"";"";"";
"23.12.2017 08:30";"21.4";"752.2";"761.9";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"22.12.2017 17:30";"26.6";"750.6";"760.1";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"22.12.2017 08:30";"21.0";"754.0";"763.7";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"21.12.2017 17:30";"26.6";"751.8";"761.3";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"10.0";"17.7";"";"";"";"";"";"";
"21.12.2017 08:30";"23.6";"755.4";"765.1";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
"20.12.2017 17:30";"26.6";"751.6";"761.2";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"17.7";"";"";"";"";"";"";
"20.12.2017 08:30";"21.2";"755.4";"765.1";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"19.12.2017 17:30";"26.2";"751.6";"761.1";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"19.12.2017 08:30";"21.6";"754.9";"764.7";"";"74";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.6";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"16.7";"";"";"";"";"";"";
"18.12.2017 17:30";"28.0";"751.9";"761.4";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"18.12.2017 08:30";"23.0";"755.2";"764.8";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"17.12.2017 17:30";"27.2";"752.1";"761.6";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"17.12.2017 08:30";"23.0";"755.5";"765.2";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"16.12.2017 17:30";"28.6";"751.3";"760.8";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"16.4";"";"";"";"";"";"";
"16.12.2017 08:30";"23.6";"754.7";"764.4";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
"15.12.2017 17:30";"28.6";"751.2";"760.6";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"15.12.2017 08:30";"25.6";"754.0";"763.6";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"14.12.2017 17:30";"30.0";"750.3";"759.7";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"19.6";"";"";"";"";"";"";
"14.12.2017 08:30";"25.8";"753.3";"762.8";"";"78";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"16.0";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.6";"";"";"";"";"";"";
"13.12.2017 17:30";"29.0";"749.4";"758.8";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"19.2";"";"";"";"";"";"";
"13.12.2017 08:30";"26.6";"752.5";"759.3";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"21.2";"";"";"";"";"";"";
"12.12.2017 17:30";"28.2";"749.2";"758.6";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"12.12.2017 08:30";"23.2";"752.8";"762.4";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"12.0";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"20.1";"";"";"";"";"";"";
"11.12.2017 17:30";"28.6";"749.1";"758.5";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"11.12.2017 08:30";"22.6";"752.4";"762.1";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"10.12.2017 17:30";"29.0";"748.5";"757.9";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"10.0";"27.1";"";"";"";"";"";"";
"10.12.2017 08:30";"24.6";"751.6";"761.2";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"09.12.2017 17:30";"30.0";"747.1";"756.4";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"09.12.2017 08:30";"22.6";"749.9";"759.5";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"08.12.2017 17:30";"28.0";"746.4";"755.8";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"08.12.2017 08:30";"22.0";"749.3";"758.9";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"07.12.2017 17:30";"27.6";"746.8";"756.3";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"10.0";"20.6";"";"";"";"";"";"";
"07.12.2017 08:30";"23.4";"749.8";"759.4";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"06.12.2017 20:30";"28.0";"747.0";"756.4";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"06.12.2017 17:30";"28.0";"747.0";"756.4";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"06.12.2017 08:30";"25.2";"750.7";"760.3";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"19.3";"";"";"";"";"";"";
"05.12.2017 17:30";"28.0";"746.8";"756.3";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"05.12.2017 08:30";"24.6";"750.7";"760.3";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"10.0";"17.2";"";"";"";"";"";"";
"04.12.2017 17:30";"27.4";"747.8";"757.3";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"04.12.2017 08:30";"24.0";"751.4";"761.0";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"10.0";"17.6";"";"";"";"";"";"";
"03.12.2017 17:30";"26.6";"748.7";"758.2";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"03.12.2017 08:30";"27.8";"752.3";"761.8";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.0";"";"";"";"";"";"";
"02.12.2017 17:30";"27.0";"749.1";"758.5";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"19.3";"";"";"";"";"";"";
"01.12.2017 17:30";"28.0";"747.8";"757.3";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"01.12.2017 08:30";"25.0";"751.4";"761.0";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"30.11.2017 17:30";"28.2";"748.3";"757.7";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"30.11.2017 08:30";"25.6";"752.0";"761.5";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"29.11.2017 17:30";"28.4";"749.5";"758.9";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"16.2";"";"";"";"";"";"";
"29.11.2017 08:30";"25.6";"752.5";"762.1";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"28.11.2017 17:30";"28.6";"748.6";"757.9";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"17.6";"";"";"";"";"";"";
"28.11.2017 08:30";"27.2";"751.9";"761.4";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"27.11.2017 17:30";"28.0";"748.3";"757.8";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"17.6";"";"";"";"";"";"";
"27.11.2017 08:30";"25.4";"752.2";"761.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"10.0";"20.2";"";"";"";"";"";"";
"26.11.2017 17:30";"27.0";"749.8";"759.2";"";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"30.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.3";"";"";"";"";"";"";
"26.11.2017 08:30";"25.0";"753.2";"762.8";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"25.11.2017 17:30";"28.6";"749.2";"758.5";"";"55";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"18.7";"";"";"";"";"";"";
"25.11.2017 08:30";"25.2";"752.0";"761.5";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"20.6";"";"";"";"";"";"";
"24.11.2017 17:30";"30.6";"748.1";"757.5";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"21.4";"";"";"";"";"";"";
"24.11.2017 08:30";"28.0";"751.3";"760.8";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"10.0";"23.0";"";"";"";"";"";"";
"23.11.2017 17:30";"31.0";"746.5";"755.8";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"10.0";"23.2";"";"";"";"";"";"";
"23.11.2017 08:30";"27.4";"749.7";"759.1";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"20.0";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.2";"";"";"";"";"";"";
"22.11.2017 17:30";"30.4";"747.5";"756.9";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"10.0";"21.8";"";"";"";"";"";"";
"22.11.2017 08:30";"28.0";"750.3";"759.8";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"10.0";"22.1";"";"";"";"";"";"";
"21.11.2017 17:30";"30.2";"747.7";"757.1";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"22.6";"";"";"";"";"";"";
"21.11.2017 08:30";"29.0";"750.9";"760.3";"";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.0";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.7";"";"";"";"";"";"";
"20.11.2017 17:30";"31.4";"748.0";"757.3";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"10.0";"23.3";"";"";"";"";"";"";
"20.11.2017 08:30";"29.6";"751.3";"760.8";"";"74";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.6";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.5";"";"";"";"";"";"";
"19.11.2017 17:30";"32.0";"747.7";"757.0";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"22.7";"";"";"";"";"";"";
"19.11.2017 08:30";"29.0";"750.6";"760.0";"";"78";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"20.2";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.7";"";"";"";"";"";"";
"18.11.2017 17:30";"31.0";"746.8";"756.2";"";"59";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"33.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.2";"";"";"";"";"";"";
"18.11.2017 08:30";"26.6";"749.6";"759.1";"";"84";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"18.6";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.7";"";"";"";"";"";"";
"17.11.2017 17:30";"30.6";"745.9";"755.2";"";"62";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.4";"";"";"";"";"";"";
"17.11.2017 08:30";"29.2";"748.7";"758.1";"";"68";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"19.4";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.8";"";"";"";"";"";"";
"16.11.2017 17:30";"30.0";"745.6";"754.9";"";"66";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"23.0";"";"";"";"";"";"";
"16.11.2017 08:30";"29.0";"747.9";"757.3";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.6";"";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"15.11.2017 17:30";"32.2";"743.9";"753.1";"";"55";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"34.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.9";"";"";"";"";"";"";
"15.11.2017 08:30";"28.2";"747.0";"756.4";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"14.11.2017 17:30";"30.2";"744.5";"753.8";"";"68";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"23.6";"";"";"";"";"";"";
"14.11.2017 08:30";"27.8";"747.6";"757.0";"";"73";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"19.6";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"22.5";"";"";"";"";"";"";
"13.11.2017 17:30";"30.0";"745.1";"754.4";"";"56";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"33.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.3";"";"";"";"";"";"";
"13.11.2017 08:30";"27.4";"748.6";"758.0";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"12.11.2017 17:30";"27.4";"746.4";"755.8";"";"64";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.1";"";"";"";"";"";"";
"12.11.2017 08:30";"24.0";"749.5";"759.1";"";"71";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.6";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.3";"";"";"";"";"";"";
"11.11.2017 17:30";"28.2";"747.4";"756.8";"";"52";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.5";"";"";"";"";"";"";
"11.11.2017 08:30";"23.4";"750.8";"760.4";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"10.11.2017 17:30";"29.2";"748.0";"757.3";"";"48";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"33.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.2";"";"";"";"";"";"";
"10.11.2017 08:30";"26.8";"750.4";"759.9";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"17.6";"";"";"";"";"";"";
"09.11.2017 08:30";"27.6";"750.9";"760.4";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"08.11.2017 17:30";"30.6";"748.0";"757.3";"";"53";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.0";"";"";"";"";"";"";
"08.11.2017 08:30";"26.6";"751.8";"761.3";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"22.1";"";"";"";"";"";"";
