# Weather station Khammam, India, WMO_ID=43137,selection from 14.01.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43137&lang=en
#
"Local time in Khammam";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"29.2";"747.2";"756.6";"";"71";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.8";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.4";"";"";"";"";"";"";
"31.12.2017 08:30";"22.6";"751.4";"761.1";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"30.12.2017 17:30";"26.6";"749.0";"758.5";"";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.5";"";"";"";"";"";"";
"30.12.2017 08:30";"20.0";"752.5";"762.3";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"29.12.2017 17:30";"27.4";"749.6";"759.1";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"20.8";"";"";"";"";"";"";
"29.12.2017 08:30";"22.6";"753.1";"762.8";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"28.12.2017 17:30";"27.0";"749.5";"759.0";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"28.12.2017 08:30";"21.0";"753.1";"762.8";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"27.12.2017 17:30";"27.0";"749.4";"758.8";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"21.9";"";"";"";"";"";"";
"27.12.2017 08:30";"20.6";"753.2";"762.9";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"15.2";"";"";"";"";"";"";
