# Weather station Simara (airport), Nepal, WMO_ID=44449,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=44449&lang=en
#
"Local time in Simara (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:45";"14.0";"749.1";"761.2";"-0.3";"95";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"17.0";"";"";"";"";"";"0.7";"13.2";"No precipitation";"9";"";"";"";"";
"31.12.2017 14:45";"16.6";"749.4";"761.5";"-2.3";"85";"Wind blowing from the south-southeast";"2";"";"";"50%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"2000-2500";"";"";"1.2";"14.1";"";"";"";"";"";"";
"31.12.2017 11:45";"13.6";"751.7";"763.6";"0.1";"93";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.8";"12.4";"";"";"";"";"";"";
"31.12.2017 08:45";"11.4";"751.6";"763.5";"1.1";"96";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.6";"";"";"";"";"";"";"1.2";"10.7";"No precipitation";"24";"";"";"";"";
"31.12.2017 05:45";"7.8";"750.5";"762.7";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"";"";"";"";"";"";"";"";"";"1.2";"7.8";"";"";"";"";"";"";
"30.12.2017 17:45";"23.0";"749.8";"761.7";"-0.9";"";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"25.5";"";"";"2000-2500";"";"";"5.0";"";"No precipitation";"9";"";"";"";"";
"30.12.2017 14:45";"24.8";"750.7";"762.2";"-1.9";"52";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"2000-2500";"";"";"5.0";"14.2";"";"";"";"";"";"";
"30.12.2017 11:45";"21.0";"752.6";"764.5";"0.1";"65";"Wind blowing from the west";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"2.0";"14.1";"";"";"";"";"";"";
"30.12.2017 08:45";"12.4";"752.5";"764.4";"";"92";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.5";"";"";"";"2000-2500";"";"";"1.5";"11.2";"No precipitation";"24";"";"";"";"";
"29.12.2017 17:45";"22.0";"750.7";"762.8";"-0.5";"";"Wind blowing from the south";"3";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"24.5";"";"";"";"";"";"2.5";"";"No precipitation";"9";"";"";"";"";
"29.12.2017 14:45";"23.6";"751.2";"763.3";"-1.4";"";"Wind blowing from the south";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";"";
