# Weather station Simara (airport), Nepal, WMO_ID=44449,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=44449&lang=en
#
"Local time in Simara (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.12.2017 11:45";"19.0";"752.6";"764.7";"0.7";"69";"Wind blowing from the south";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.5";"13.2";"";"";"";"";"";"";
"29.12.2017 08:45";"9.4";"751.9";"763.9";"";"92";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"4.0";"";"";"";"";"";"";"1.5";"8.2";"No precipitation";"24";"";"";"";"";
"29.12.2017 05:45";"4.2";"750.7";"762.7";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"";"";"";"";"";"";"";"";"";"1.5";"4.2";"";"";"";"";"";"";
"28.12.2017 17:45";"20.0";"749.7";"761.7";"-0.4";"61";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"22.5";"";"";"";"";"";"2.0";"12.1";"No precipitation";"9";"";"";"";"";
"28.12.2017 14:45";"21.2";"750.1";"762.1";"";"64";"Wind blowing from the south";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"2.5";"14.1";"";"";"";"";"";"";
"27.12.2017 14:45";"18.4";"749.9";"761.8";"-3.2";"81";"Wind blowing from the west-southwest";"2";"";"";"20–30%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"2000-2500";"";"";"2.5";"15.1";"";"";"";"";"";"";
"27.12.2017 11:45";"13.2";"753.1";"765.0";"1.5";"97";"Wind blowing from the west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.8";"12.7";"";"";"";"";"";"";
"27.12.2017 08:45";"12.6";"751.6";"763.6";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.0";"";"";"";"";"";"";"0.2";"12.6";"No precipitation";"24";"";"";"";"";
"27.12.2017 05:45";"12.6";"750.1";"762.0";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"";"";"";"";"";"";"";"";"";"0.1";"12.6";"";"";"";"";"";"";
"26.12.2017 17:45";"18.0";"749.5";"761.4";"-0.3";"83";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"20.5";"";"";"";"";"";"2.0";"15.1";"No precipitation";"9";"";"";"";"";
"26.12.2017 14:45";"20.0";"749.8";"761.7";"-1.8";"72";"Wind blowing from the west-southwest";"3";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"2.5";"14.7";"";"";"";"";"";"";
"26.12.2017 11:45";"14.6";"751.6";"763.5";"0.0";"91";"Wind blowing from the south";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.0";"13.2";"";"";"";"";"";"";
"26.12.2017 08:45";"12.6";"751.6";"763.5";"1.9";"100";"Wind blowing from the south";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.5";"";"";"";"";"";"";"0.2";"12.6";"No precipitation";"24";"";"";"";"";
"26.12.2017 05:45";"12.2";"749.7";"761.5";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"";"";"";"";"";"";"";"";"";"0.2";"12.2";"";"";"";"";"";"";
"25.12.2017 17:45";"21.0";"748.9";"760.7";"-0.3";"";"Wind blowing from the west-southwest";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"23.5";"";"";"";"";"";"2.5";"";"No precipitation";"9";"";"";"";"";
"25.12.2017 14:45";"22.6";"749.2";"761.1";"-1.5";"";"Wind blowing from the south";"3";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"2.0";"";"";"";"";"";"";"";
"25.12.2017 11:45";"22.0";"750.7";"762.6";"0.0";"62";"Wind blowing from the south";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.5";"14.3";"";"";"";"";"";"";
"25.12.2017 08:45";"13.8";"750.7";"762.6";"";"99";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.0";"";"";"";"";"";"";"1.0";"13.7";"No precipitation";"24";"";"";"";"";
"24.12.2017 17:45";"22.0";"748.9";"760.8";"-0.9";"";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"25.2";"";"";"2000-2500";"";"";"2.5";"";"No precipitation";"9";"";"";"";"";
"24.12.2017 14:45";"24.4";"749.8";"761.6";"-0.9";"54";"Wind blowing from the west-southwest";"2";"";"";"50%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"2000-2500";"";"";"2.0";"14.4";"";"";"";"";"";"";
"24.12.2017 11:45";"22.6";"750.7";"762.6";"0.0";"58";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"2000-2500";"";"";"2.0";"13.8";"";"";"";"";"";"";
"24.12.2017 08:45";"13.6";"750.7";"762.6";"1.6";"91";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.6";"";"";"";"";"";"";"1.5";"12.2";"No precipitation";"24";"";"";"";"";
"24.12.2017 05:45";"9.0";"749.1";"760.8";"";"100";"Calm, no wind";"0";"";"";"20–30%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"";"";"";"";"";"";"2000-2500";"";"";"1.0";"9.0";"";"";"";"";"";"";
"23.12.2017 17:45";"21.4";"748.1";"760.0";"-0.2";"71";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"24.6";"";"";"2000-2500";"";"";"2.5";"16.0";"No precipitation";"9";"";"";"";"";
"23.12.2017 14:45";"24.4";"748.3";"760.1";"-1.2";"54";"Wind blowing from the west-southwest";"2";"";"";"40%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"2000-2500";"";"";"2.0";"14.4";"";"";"";"";"";"";
"23.12.2017 11:45";"22.0";"749.5";"761.3";"-0.4";"66";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"2000-2500";"";"";"1.5";"15.3";"";"";"";"";"";"";
"23.12.2017 08:45";"12.8";"749.9";"761.8";"1.5";"100";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.5";"";"";"";"";"";"";"0.8";"12.8";"No precipitation";"24";"";"";"";"";
"23.12.2017 05:45";"10.0";"748.4";"760.2";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"";"";"";"";"";"";"";"";"";"1.5";"10.0";"";"";"";"";"";"";
"22.12.2017 14:45";"25.6";"749.8";"761.6";"-1.5";"50";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"8.0";"14.3";"";"";"";"";"";"";
"22.12.2017 11:45";"24.0";"751.3";"763.1";"-0.6";"61";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"8.0";"16.1";"";"";"";"";"";"";
"22.12.2017 08:45";"15.0";"751.9";"763.7";"";"96";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.0";"";"";"";"2000-2500";"";"";"3.0";"14.3";"No precipitation";"24";"";"";"";"";
"22.12.2017 05:45";"9.8";"750.7";"762.8";"";"100";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"";"";"";"";"";"";"2000-2500";"";"";"1.5";"9.8";"";"";"";"";"";"";
"21.12.2017 17:45";"23.0";"751.1";"763.2";"-0.8";"83";"Wind blowing from the west-southwest";"1";"";"";"40%.";" ";"";"";"";"28.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.9";"No precipitation";"9";"";"";"";"";
"21.12.2017 14:45";"27.6";"751.9";"763.9";"-2.2";"38";"Wind blowing from the west-southwest";"2";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.0";"";"";"";"";"";"";
"21.12.2017 11:45";"25.6";"754.1";"766.2";"0.2";"57";"Wind blowing from the west";"2";"";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"10.0";"16.3";"";"";"";"";"";"";
"21.12.2017 08:45";"18.0";"753.9";"766.0";"1.7";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"10.4";"";"";"";"2000-2500";"";"";"10.0";"15.6";"No precipitation";"24";"";"";"";"";
"21.12.2017 05:45";"11.0";"752.2";"764.3";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"";"";"";"";"";"";"";"";"";"1.5";"11.0";"";"";"";"";"";"";
"20.12.2017 17:45";"22.0";"751.9";"763.9";"-0.7";"";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"26.6";"";"";"2000-2500";"";"";"8.0";"";"No precipitation";"9";"";"";"";"";
"20.12.2017 14:45";"26.0";"752.6";"764.7";"-1.9";"";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"8.0";"";"";"";"";"";"";"";
"20.12.2017 11:45";"24.4";"754.5";"766.6";"0.6";"";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"8.0";"";"";"";"";"";"";"";
"20.12.2017 08:45";"14.0";"753.9";"766.0";"";"96";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"10.0";"";"";"";"2500 or more, or no clouds.";"";"";"7.0";"13.3";"No precipitation";"24";"";"";"";"";
"19.12.2017 17:45";"21.0";"751.5";"763.6";"-0.5";"75";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"23.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"16.4";"No precipitation";"9";"";"";"";"";
"19.12.2017 14:45";"22.0";"752.0";"764.1";"-1.9";"66";"Wind blowing from the west-southwest";"2";"";"";"40%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.5";"15.3";"";"";"";"";"";"";
"19.12.2017 11:45";"16.6";"753.9";"766.0";"0.9";"86";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"2000-2500";"";"";"1.5";"14.2";"";"";"";"";"";"";
"19.12.2017 08:45";"10.8";"753.0";"765.1";"1.8";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.0";"";"";"";"";"";"";"less than 0.1";"10.8";"No precipitation";"24";"";"";"";"";
"19.12.2017 05:45";"10.0";"751.2";"763.3";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"";"";"";"";"";"";"";"";"";"0.1";"10.0";"";"";"";"";"";"";
"18.12.2017 17:45";"17.0";"751.3";"763.4";"-0.2";"85";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"20.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.5";"14.5";"No precipitation";"9";"";"";"";"";
"18.12.2017 14:45";"20.0";"751.5";"763.6";"-2.0";"74";"Wind blowing from the west-southwest";"2";"";"";"50%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.5";"15.3";"";"";"";"";"";"";
"18.12.2017 11:45";"16.0";"753.5";"765.6";"-0.4";"89";"Wind blowing from the south-southeast";"2";"";"";"70 – 80%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.2";"";"";"";"";"";"";
"18.12.2017 08:45";"13.4";"753.9";"766.0";"1.5";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.5";"13.4";"No precipitation";"24";"";"";"";"";
"18.12.2017 05:45";"13.0";"752.4";"764.5";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"";"";"";"";"";"";"";"";"";"0.2";"13.0";"";"";"";"";"";"";
"17.12.2017 17:45";"15.0";"751.8";"763.9";"-0.3";"92";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"16.0";"";"";"";"";"";"0.8";"13.7";"No precipitation";"9";"";"";"";"";
"17.12.2017 14:45";"15.4";"752.1";"764.2";"-1.6";"90";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"2500 or more, or no clouds.";"";"";"1.0";"13.7";"";"";"";"";"";"";
"17.12.2017 11:45";"14.8";"753.7";"765.8";"0.7";"94";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.8";"13.9";"";"";"";"";"";"";
"17.12.2017 08:45";"13.4";"753.0";"765.1";"2.0";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.2";"";"";"";"";"";"";"0.2";"13.4";"No precipitation";"24";"";"";"";"";
"17.12.2017 05:45";"13.4";"751.0";"763.0";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"";"";"";"";"";"";"";"";"";"0.2";"13.4";"";"";"";"";"";"";
"16.12.2017 17:45";"16.0";"750.6";"762.5";"-0.4";"93";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"16.6";"";"";"2500 or more, or no clouds.";"";"";"1.0";"14.8";"No precipitation";"9";"";"";"";"";
"16.12.2017 14:45";"16.4";"751.0";"762.9";"-1.1";"91";"Wind blowing from the west-southwest";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.0";"14.9";"";"";"";"";"";"";
"16.12.2017 11:45";"15.0";"752.1";"764.0";"";"93";"Wind blowing from the south-east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.8";"13.9";"";"";"";"";"";"";
"16.12.2017 08:45";"12.6";"751.8";"763.7";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.6";"";"";"";"";"";"";"0.1";"12.6";"No precipitation";"24";"";"";"";"";
"15.12.2017 17:45";"16.2";"750.3";"762.2";"0.4";"93";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"21.2";"";"";"";"";"";"2.5";"15.0";"No precipitation";"9";"";"";"";"";
"15.12.2017 14:45";"20.6";"749.9";"761.8";"-1.8";"70";"Wind blowing from the west";"2";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"3.0";"14.9";"";"";"";"";"";"";
"15.12.2017 11:45";"15.6";"751.7";"763.4";"0.3";"91";"Wind blowing from the south";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.0";"14.2";"";"";"";"";"";"";
"15.12.2017 08:45";"12.8";"751.4";"763.1";"1.7";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.3";"12.8";"No precipitation";"24";"";"";"";"";
"15.12.2017 05:45";"12.4";"749.7";"761.4";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"";"";"";"";"";"";"";"";"";"0.5";"12.4";"";"";"";"";"";"";
"14.12.2017 17:45";"19.8";"749.2";"760.9";"0.0";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"3.5";"18.4";"No precipitation";"9";"";"";"";"";
"14.12.2017 14:45";"26.0";"749.2";"760.1";"-2.1";"55";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"8.0";"16.3";"";"";"";"";"";"";
"14.12.2017 11:45";"23.6";"751.3";"763.0";"0.5";"";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"14.12.2017 08:45";"15.0";"750.8";"";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"6.0";"12.4";"No precipitation";"24";"";"";"";"";
"13.12.2017 17:45";"22.6";"748.3";"760.0";"0.0";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"6.0";"18.3";"No precipitation";"9";"";"";"";"";
"13.12.2017 14:45";"28.0";"748.3";"760.0";"-2.0";"37";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"13.12.2017 11:45";"27.4";"750.3";"762.0";"-0.1";"42";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"13.12.2017 08:45";"16.2";"750.4";"762.4";"";"86";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.0";"";"";"";"";"";"";"3.5";"13.9";"No precipitation";"24";"";"";"";"";
"12.12.2017 17:45";"23.0";"748.0";"759.7";"0.3";"74";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"27.5";"";"";"";"";"";"2.0";"18.2";"No precipitation";"9";"";"";"";"";
"12.12.2017 14:45";"27.0";"747.7";"759.4";"";"47";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"8.0";"14.8";"";"";"";"";"";"";
"12.12.2017 08:45";"17.8";"750.5";"762.2";"1.7";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"5.0";"16.0";"No precipitation";"24";"";"";"";"";
"12.12.2017 05:45";"12.0";"748.8";"760.5";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"";"";"";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"11.12.2017 17:45";"22.0";"747.4";"759.1";"-0.6";"80";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"29.5";"";"";"";"";"";"2.5";"18.3";"No precipitation";"9";"";"";"";"";
"11.12.2017 14:45";"28.4";"748.0";"759.7";"-2.1";"41";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.0";"";"";"";"";"";"";
