# Weather station Supaul, India, WMO_ID=42393,selection from 09.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42393&lang=en
#
"Local time in Supaul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"15.4";"754.9";"759.4";"";"93";"Wind blowing from the north-west";"3";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"18.8";"";"";"";"";"";"0.5";"14.3";"";"";"";"";"";"";
"30.12.2017 17:30";"20.0";"756.1";"760.5";"";"85";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"24.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"30.12.2017 08:30";"12.0";"760.0";"764.6";"";"96";"Wind blowing from the east";"1";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.5";"";"";"";"";"";"";"0.05";"11.4";"";"";"";"";"";"";
"29.12.2017 17:30";"18.4";"757.4";"761.8";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.7";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"29.12.2017 08:30";"11.6";"759.8";"764.4";"";"97";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.7";"";"";"";"";"";"";"0.05";"11.2";"";"";"";"";"";"";
"28.12.2017 17:30";"16.2";"756.8";"761.3";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"17.9";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"28.12.2017 08:30";"11.4";"759.4";"764.0";"";"97";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.6";"";"";"";"";"";"";"0.05";"11.0";"";"";"";"";"";"";
"26.12.2017 17:30";"15.4";"756.8";"761.3";"";"89";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"";"19.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.6";"";"";"";"";"";"";
"26.12.2017 08:30";"12.6";"";"763.6";"";"";"Wind blowing from the west";"3";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.0";"";"";"";"";"";"";"0.5";"";"";"";"";"";"";"";
"25.12.2017 17:30";"20.2";"";"760.0";"";"76";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
