# Weather station Supaul, India, WMO_ID=42393,selection from 09.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42393&lang=en
#
"Local time in Supaul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.12.2017 08:30";"16.0";"";"763.0";"";"90";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.3";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"24.12.2017 17:30";"20.6";"";"760.1";"";"82";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"25.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"24.12.2017 08:30";"14.8";"";"763.0";"";"91";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"23.12.2017 17:30";"20.6";"";"759.9";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"23.12.2017 08:30";"15.2";"";"761.8";"";"98";"Wind blowing from the south-west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.2";"";"";"";"";"";"";"0.5";"14.9";"";"";"";"";"";"";
"22.12.2017 17:30";"21.2";"";"761.0";"";"84";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"26.1";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"22.12.2017 08:30";"19.0";"";"764.0";"";"83";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"14.7";"";"";"";"";"";"";"0.5";"16.0";"";"";"";"";"";"";
"21.12.2017 17:30";"22.4";"";"762.4";"";"81";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"21.12.2017 08:30";"20.6";"";"765.7";"";"70";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"13.9";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"20.12.2017 17:30";"22.2";"";"763.3";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"27.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"20.12.2017 08:30";"17.2";"";"766.3";"";"86";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"11.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.8";"";"";"";"";"";"";
"19.12.2017 17:30";"18.6";"";"763.3";"";"92";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"20.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"19.12.2017 08:30";"13.6";"761.2";"765.7";"";"97";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.5";"";"";"";"";"";"";"0.05";"13.2";"";"";"";"";"";"";
"18.12.2017 17:30";"16.6";"759.3";"763.8";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"17.4";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"18.12.2017 08:30";"13.8";"761.6";"766.1";"";"96";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.7";"";"";"";"";"";"";"0.5";"13.1";"";"";"";"";"";"";
"17.12.2017 17:30";"15.2";"758.6";"763.1";"";"91";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"15.9";"";"";"";"";"";"0.5";"13.8";"";"";"";"";"";"";
"17.12.2017 08:30";"14.8";"761.2";"765.7";"";"96";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.0";"";"";"";"";"";"";"0.5";"14.1";"";"";"";"";"";"";
"16.12.2017 17:30";"19.6";"757.7";"762.1";"";"79";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"23.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.9";"";"";"";"";"";"";
"16.12.2017 08:30";"";"";"764.5";"";"";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.6";"";"";"";"";"";"";"0.5";"12.9";"";"";"";"";"";"";
"15.12.2017 17:30";"20.6";"757.0";"761.4";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"15.12.2017 08:30";"16.6";"758.9";"763.4";"";"74";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"11.7";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"14.12.2017 17:30";"21.8";"755.9";"760.3";"";"66";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"14.12.2017 08:30";"19.0";"758.6";"763.0";"";"72";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"11.12.2017 08:30";"22.2";"757.3";"761.7";"";"68";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"10.12.2017 17:30";"24.4";"754.7";"759.0";"";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"29.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.4";"";"";"";"";"";"";
"10.12.2017 08:30";"20.6";"757.4";"761.8";"";"73";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"15.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.6";"";"";"";"";"";"";
"09.12.2017 17:30";"24.0";"754.4";"758.7";"";"81";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"29.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.6";"";"";"";"";"";"";
"09.12.2017 08:30";"20.2";"757.1";"761.5";"";"66";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"14.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.6";"";"";"";"";"";"";
"08.12.2017 17:30";"23.0";"754.8";"759.2";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"08.12.2017 08:30";"19.0";"756.8";"761.2";"";"79";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"14.7";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"07.12.2017 17:30";"22.8";"754.9";"759.3";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.7";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"07.12.2017 08:30";"18.2";"756.8";"761.2";"";"79";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"06.12.2017 17:30";"21.6";"754.0";"758.4";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.3";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"06.12.2017 08:30";"17.8";"756.4";"760.9";"";"75";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"12.7";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"05.12.2017 17:30";"21.4";"754.2";"758.6";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.3";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"05.12.2017 08:30";"19.0";"757.4";"761.8";"";"68";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"04.12.2017 08:30";"17.6";"757.8";"762.3";"";"77";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"03.12.2017 17:30";"22.0";"755.6";"760.0";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"03.12.2017 08:30";"19.0";"758.7";"763.1";"";"68";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"13.7";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"02.12.2017 23:30";"22.2";"756.0";"760.4";"";"76";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.7";"";"";"";"";"";"";
"02.12.2017 17:30";"22.2";"756.0";"760.4";"";"76";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.7";"";"";"";"";"";"";
"02.12.2017 08:30";"18.6";"759.1";"763.6";"";"79";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"13.1";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"01.12.2017 17:30";"21.4";"755.2";"759.6";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"01.12.2017 08:30";"16.8";"758.2";"762.7";"";"84";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"30.11.2017 17:30";"21.2";"755.2";"759.6";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.3";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"30.11.2017 08:30";"14.4";"758.9";"763.4";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"0.2";"13.3";"";"";"";"";"";"";
"29.11.2017 17:30";"20.0";"756.1";"760.5";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.3";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"29.11.2017 08:30";"14.6";"759.4";"763.9";"";"96";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog in patches. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.4";"";"";"";"";"";"";"0.05";"13.9";"";"";"";"";"";"";
"28.11.2017 08:30";"17.6";"756.8";"761.3";"";"78";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"27.11.2017 17:30";"22.0";"753.4";"757.8";"";"76";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"27.11.2017 08:30";"17.6";"757.3";"761.8";"";"77";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"26.11.2017 17:30";"23.0";"755.2";"759.6";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"26.11.2017 08:30";"19.2";"759.0";"763.4";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.1";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"25.11.2017 17:30";"21.6";"755.8";"760.2";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.9";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"25.11.2017 08:30";"17.4";"758.5";"763.0";"";"76";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"24.11.2017 17:30";"21.4";"754.4";"758.8";"";"64";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"24.11.2017 08:30";"17.8";"757.3";"761.8";"";"75";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"13.1";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"23.11.2017 17:30";"21.4";"753.4";"757.8";"";"64";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"23.11.2017 08:30";"18.2";"755.9";"760.3";"";"68";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"22.11.2017 17:30";"21.6";"753.1";"757.5";"";"64";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"22.11.2017 08:30";"18.2";"756.3";"760.7";"";"57";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"21.11.2017 17:30";"22.4";"753.6";"758.0";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"20.11.2017 17:30";"25.0";"753.0";"757.3";"";"70";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"29.7";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"20.11.2017 08:30";"21.8";"756.9";"761.3";"";"77";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"19.11.2017 17:30";"26.0";"753.8";"758.1";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"19.11.2017 08:30";"24.0";"756.4";"760.8";"";"77";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"18.6";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"18.11.2017 17:30";"26.2";"753.3";"757.6";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"18.11.2017 08:30";"24.2";"756.3";"760.7";"";"69";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"18.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.2";"";"";"";"";"";"";
"17.11.2017 17:30";"25.8";"753.2";"757.5";"";"70";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.9";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.0";"";"";"";"";"";"";
"15.11.2017 17:30";"24.8";"754.3";"758.6";"";"76";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"15.11.2017 08:30";"24.2";"756.8";"761.2";"";"60";"Wind blowing from the east";"3";"";"";"60%.";" ";"";"";"17.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.0";"";"";"";"";"";"";
"14.11.2017 17:30";"25.4";"753.0";"757.3";"";"73";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"14.11.2017 08:30";"24.6";"756.4";"760.8";"";"47";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"17.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.5";"";"";"";"";"";"";
"13.11.2017 17:30";"25.4";"752.2";"756.5";"";"73";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"13.11.2017 08:30";"23.4";"755.9";"760.3";"";"69";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"17.2";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"12.11.2017 17:30";"26.0";"752.6";"756.9";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"12.11.2017 08:30";"23.6";"756.2";"760.6";"";"64";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"16.9";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"11.11.2017 17:30";"26.2";"753.9";"758.2";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"11.11.2017 08:30";"25.0";"757.7";"762.1";"";"61";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"10.11.2017 17:30";"26.6";"754.2";"758.5";"";"67";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1000-1500";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"10.11.2017 08:30";"25.2";"756.9";"761.2";"";"58";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"09.11.2017 17:30";"26.6";"753.4";"757.7";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"4.0";"21.5";"";"";"";"";"";"";
"09.11.2017 08:30";"26.6";"756.8";"761.1";"";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"18.6";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"08.11.2017 17:30";"26.6";"754.1";"758.4";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"08.11.2017 08:30";"25.8";"758.0";"762.3";"";"63";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"18.8";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"07.11.2017 17:30";"26.6";"754.5";"758.8";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"07.11.2017 08:30";"24.4";"757.4";"761.8";"";"56";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"06.11.2017 17:30";"27.4";"754.4";"758.7";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"06.11.2017 08:30";"25.2";"757.2";"761.5";"";"70";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"05.11.2017 17:30";"27.8";"754.4";"758.7";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"05.11.2017 08:30";"27.6";"758.3";"762.6";"";"58";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"19.3";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"04.11.2017 17:30";"27.6";"755.3";"759.6";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.2";"";"";"";"";"";"";
"04.11.2017 08:30";"26.4";"758.1";"762.4";"";"59";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"03.11.2017 17:30";"27.0";"754.2";"758.5";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"03.11.2017 08:30";"26.2";"757.4";"761.7";"";"66";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"02.11.2017 17:30";"26.2";"753.8";"758.1";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.3";"";"";"";"";"";"";
