# Weather station Kottayam, India, WMO_ID=43355,selection from 27.02.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43355&lang=en
#
"Local time in Kottayam";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 08:30";"21.8";"751.9";"758.7";"";"91";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"19.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.3";"";"";"";"";"";"";
"30.12.2017 17:30";"33.4";"750.1";"756.6";"";"38";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"33.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.2";"";"";"";"";"";"";
"30.12.2017 08:30";"21.2";"751.8";"758.6";"";"82";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"19.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.0";"";"";"";"";"";"";
"29.12.2017 17:30";"31.6";"750.2";"756.8";"";"35";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"33.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.2";"";"";"";"";"";"";
"29.12.2017 08:30";"20.0";"752.2";"759.1";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.4";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"28.12.2017 17:30";"31.6";"749.2";"755.8";"";"47";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"33.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.1";"";"";"";"";"";"";
"28.12.2017 08:30";"21.2";"751.8";"758.6";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"19.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.3";"";"";"";"";"";"";
"27.12.2017 17:30";"31.0";"748.7";"755.3";"";"50";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"35.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.4";"";"";"";"";"";"";
"27.12.2017 08:30";"23.4";"752.3";"759.1";"";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.0";"";"";"";"";"";"";
"26.12.2017 17:30";"31.0";"750.0";"756.6";"";"61";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"32.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"26.12.2017 08:30";"23.0";"752.1";"758.9";"";"88";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"21.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.9";"";"";"";"";"";"";
"25.12.2017 17:30";"31.6";"749.8";"756.4";"";"56";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"33.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"25.12.2017 08:30";"21.8";"752.0";"758.8";"";"89";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.9";"";"";"";"";"";"";
"24.12.2017 17:30";"31.4";"748.8";"755.4";"";"52";"Wind blowing from the south-southwest";"1";"";"";"40%.";" ";"";"";"";"33.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.3";"";"";"";"";"";"";
"24.12.2017 08:30";"23.4";"751.4";"758.2";"";"80";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.7";"";"";"";"";"";"";
"23.12.2017 17:30";"30.4";"748.7";"755.3";"";"59";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"33.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.5";"";"";"";"";"";"";
"23.12.2017 08:30";"22.6";"751.2";"758.0";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"21.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.1";"";"";"";"";"";"";
"22.12.2017 17:30";"32.2";"750.3";"756.9";"";"54";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"34.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"22.12.2017 08:30";"24.0";"753.1";"759.9";"";"75";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"22.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.3";"";"";"";"";"";"";
"21.12.2017 17:30";"31.0";"751.0";"757.6";"";"58";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"33.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"21.12.2017 08:30";"24.8";"754.0";"760.8";"";"77";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.5";"";"";"";"";"";"";
"20.12.2017 17:30";"31.0";"751.3";"757.9";"";"66";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"33.9";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.8";"";"";"";"";"";"";
"20.12.2017 08:30";"25.0";"753.8";"760.6";"";"79";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.1";"";"";"";"";"";"";
"19.12.2017 17:30";"30.4";"751.2";"757.8";"";"58";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"33.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.2";"";"";"";"";"";"";
"19.12.2017 08:30";"21.4";"753.5";"760.3";"";"82";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"19.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.2";"";"";"";"";"";"";
"18.12.2017 17:30";"32.6";"751.3";"757.9";"";"47";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.0";"";"";"";"";"";"";
"18.12.2017 08:30";"22.4";"755.1";"761.9";"";"71";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.9";"";"";"";"";"";"";
"17.12.2017 17:30";"33.0";"750.5";"757.1";"";"52";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"34.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"17.12.2017 08:30";"25.4";"754.1";"760.9";"";"66";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.5";"";"";"";"";"";"";
"16.12.2017 17:30";"33.6";"750.3";"756.8";"";"50";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"34.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"16.12.2017 08:30";"24.0";"753.2";"760.0";"";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.9";"";"";"";"";"";"";
"15.12.2017 17:30";"31.0";"751.3";"757.9";"";"62";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"33.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"15.12.2017 08:30";"25.0";"753.4";"760.2";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"14.12.2017 17:30";"29.4";"751.0";"757.6";"";"76";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"32.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.8";"";"";"";"";"";"";
"14.12.2017 08:30";"25.0";"753.4";"760.2";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"13.12.2017 17:30";"25.0";"752.1";"758.9";"";"95";"Wind blowing from the south-southwest";"1";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus of a chaotic sky, generally at several levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.1";"";"";"";"";"";"";
"13.12.2017 08:30";"25.4";"754.0";"760.8";"";"91";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"23.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.9";"";"";"";"";"";"";
"12.12.2017 17:30";"29.0";"751.6";"758.3";"";"74";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"32.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.8";"";"";"";"";"";"";
"12.12.2017 08:30";"25.0";"754.3";"761.1";"";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"22.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.8";"";"";"";"";"";"";
"11.12.2017 17:30";"28.0";"751.5";"758.2";"";"82";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.6";"";"";"";"";"";"";
"11.12.2017 08:30";"25.2";"753.5";"760.3";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.3";"";"";"";"";"";"";
"10.12.2017 17:30";"29.0";"750.2";"756.8";"";"74";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"33.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.8";"";"";"";"";"";"";
"10.12.2017 08:30";"25.2";"752.1";"758.8";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.0";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.7";"";"";"";"";"";"";
