# Weather station Kottayam, India, WMO_ID=43355,selection from 27.02.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43355&lang=en
#
"Local time in Kottayam";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.12.2017 17:30";"31.2";"749.2";"755.8";"";"61";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"33.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
"09.12.2017 08:30";"24.4";"751.7";"758.5";"";"91";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"08.12.2017 17:30";"29.0";"749.0";"755.6";"";"74";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"32.5";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.8";"";"";"";"";"";"";
"08.12.2017 08:30";"26.0";"751.2";"757.9";"";"89";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.0";"";"";"";"";"";"";
"07.12.2017 17:30";"30.0";"748.7";"755.3";"";"66";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"33.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"07.12.2017 08:30";"25.8";"751.1";"757.8";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"23.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.2";"";"";"";"";"";"";
"06.12.2017 20:30";"31.0";"749.1";"755.7";"";"59";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.2";"";"";"";"";"";"";
"06.12.2017 17:30";"31.0";"749.1";"755.7";"";"59";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.2";"";"";"";"";"";"";
"06.12.2017 08:30";"24.0";"752.0";"758.8";"";"93";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"22.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.8";"";"";"";"";"";"";
"05.12.2017 17:30";"30.0";"749.0";"755.6";"";"67";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"32.9";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.3";"";"";"";"";"";"";
"05.12.2017 08:30";"25.0";"751.8";"758.5";"";"83";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"22.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.0";"";"";"";"";"";"";
"04.12.2017 17:30";"31.0";"749.5";"756.1";"";"61";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.5";"";"";"";"";"";"";
"04.12.2017 08:30";"25.4";"751.7";"758.4";"";"84";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"22.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.4";"";"";"";"";"";"";
"03.12.2017 17:30";"31.6";"749.5";"756.1";"";"62";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"33.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"03.12.2017 08:30";"23.0";"751.1";"757.9";"";"";"Calm, no wind";"0";"";"";"50%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"20.4";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"";"";"";"";"";"";"";
"02.12.2017 17:30";"30.0";"748.9";"755.5";"";"61";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"31.2";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"21.7";"";"";"";"";"";"";
"01.12.2017 17:30";"24.4";"747.8";"754.5";"";"96";"Wind blowing from the south-east";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.7";"";"";"";"";"";"";
"01.12.2017 08:30";"24.2";"748.8";"755.5";"";"90";"Calm, no wind";"0";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"22.7";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.4";"";"";"";"";"";"";
"30.11.2017 08:30";"24.6";"743.8";"750.5";"";"86";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.4";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.1";"";"";"";"";"";"";
"29.11.2017 17:30";"30.4";"748.2";"754.8";"";"69";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"33.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.1";"";"";"";"";"";"";
"29.11.2017 08:30";"26.2";"751.1";"757.8";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.8";"";"";"";"";"";"";
"28.11.2017 17:30";"31.0";"748.2";"754.8";"";"69";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.3";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.7";"";"";"";"";"";"";
"28.11.2017 08:30";"24.4";"751.3";"758.1";"";"96";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"23.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"0.2";"23.8";"";"";"";"";"";"";
