# Weather station Bagati, India, WMO_ID=42714,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42714&lang=en
#
"Local time in Bagati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.06.2017 17:30";"34.0";"747.0";"748.0";"";"70";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.7";"";"";"";"";"";"";
"17.06.2017 17:30";"35.0";"748.8";"749.8";"";"68";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"36.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.2";"";"";"";"";"";"";
"17.06.2017 08:30";"32.0";"751.1";"752.1";"";"54";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.7";"";"";"";"";"";"";
"16.06.2017 17:30";"32.5";"748.9";"749.9";"";"70";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"2.0";"26.3";"";"";"";"";"";"";
"16.06.2017 08:30";"30.0";"750.3";"751.3";"";"92";"Wind blowing from the south";"1";"";"";"40%.";" ";"";"";"29.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.6";"";"";"";"";"";"";
"15.06.2017 17:30";"35.0";"748.8";"749.8";"";"68";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"36.5";"";"";"";"";"";"10.0";"28.2";"";"";"";"";"";"";
"15.06.2017 08:30";"29.5";"749.5";"750.5";"";"92";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"28.0";"";"";"";"";"";"";
"14.06.2017 17:30";"35.5";"749.1";"750.1";"";"57";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"14.06.2017 08:30";"29.0";"748.7";"749.7";"";"92";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.6";"";"";"";"";"";"";
"13.06.2017 17:30";"34.5";"747.0";"748.0";"";"65";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"35.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"13.06.2017 08:30";"29.5";"748.5";"749.5";"";"81";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"12.06.2017 17:30";"28.5";"746.1";"747.1";"";"84";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"12.06.2017 08:30";"27.0";"746.5";"747.5";"";"92";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"11.06.2017 17:30";"30.0";"745.8";"746.8";"";"85";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"10.06.2017 17:30";"32.5";"748.0";"749.0";"";"63";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"36.5";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"10.06.2017 08:30";"30.0";"750.3";"751.3";"";"88";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"10.0";"27.8";"";"";"";"";"";"";
"08.06.2017 17:30";"32.5";"748.0";"749.0";"";"63";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"36.5";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"08.06.2017 08:30";"30.5";"750.1";"751.1";"";"82";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"28.5";"";"";"";"";"";"";"10.0";"27.1";"";"";"";"";"";"";
"07.06.2017 17:30";"35.5";"748.9";"749.9";"";"57";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"07.06.2017 08:30";"31.5";"749.9";"750.9";"";"85";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"29.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.7";"";"";"";"";"";"";
"06.06.2017 17:30";"34.5";"749.6";"750.6";"";"65";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"36.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"06.06.2017 08:30";"27.0";"751.8";"752.8";"";"87";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"25.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"05.06.2017 17:30";"29.0";"747.9";"748.9";"";"67";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"36.5";"";"";"2500 or more, or no clouds.";"";"";"2.0";"22.2";"";"";"";"";"";"";
"05.06.2017 08:30";"31.5";"749.9";"750.9";"";"85";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"30.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.7";"";"";"";"";"";"";
"04.06.2017 17:30";"36.0";"746.6";"747.6";"";"63";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"10.0";"27.8";"";"";"";"";"";"";
"04.06.2017 08:30";"32.5";"749.4";"750.4";"";"76";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"10.0";"27.8";"";"";"";"";"";"";
"03.06.2017 17:30";"35.5";"747.6";"748.6";"";"66";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"28.1";"";"";"";"";"";"";
"03.06.2017 08:30";"31.5";"750.9";"751.9";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"27.3";"";"";"";"";"";"";
"02.06.2017 17:30";"33.5";"748.6";"749.6";"";"61";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"35.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"02.06.2017 08:30";"30.5";"749.4";"750.4";"";"85";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"27.7";"";"";"";"";"";"";
"01.06.2017 08:30";"28.0";"748.8";"749.8";"";"85";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"31.05.2017 17:30";"25.0";"749.0";"750.0";"";"87";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"35.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.6";"";"";"";"";"";"";
"30.05.2017 17:30";"33.5";"746.4";"747.4";"";"73";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"35.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.9";"";"";"";"";"";"";
"30.05.2017 08:30";"28.0";"748.1";"749.1";"";"85";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.2";"";"";"";"";"";"";
"29.05.2017 17:30";"34.0";"745.8";"746.8";"";"67";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"27.1";"";"";"";"";"";"";
"28.05.2017 17:30";"35.5";"747.7";"748.7";"";"55";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"27.05.2017 17:30";"35.0";"749.4";"750.4";"";"57";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"27.05.2017 08:30";"27.2";"751.9";"752.9";"";"90";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"25.5";"";"";"";"";"";"";
"26.05.2017 17:30";"35.5";"748.9";"749.9";"";"55";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"37.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"26.05.2017 08:30";"30.0";"753.0";"754.0";"";"85";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"28.0";"";"";"";"";"";"";"";"27.2";"";"";"";"";"";"";
"25.05.2017 17:30";"35.5";"749.7";"750.7";"";"57";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"25.05.2017 08:30";"30.5";"751.4";"752.4";"";"82";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"10.0";"27.1";"";"";"";"";"";"";
"24.05.2017 17:30";"35.5";"748.5";"749.5";"";"55";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"37.2";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"24.05.2017 08:30";"31.0";"752.9";"753.9";"";"78";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"28.5";"";"";"";"";"";"";"10.0";"26.8";"";"";"";"";"";"";
"23.05.2017 17:30";"36.0";"749.9";"750.9";"";"57";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"10.0";"26.3";"";"";"";"";"";"";
"23.05.2017 08:30";"31.0";"753.9";"754.9";"";"75";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"22.05.2017 17:30";"36.5";"749.5";"750.5";"";"55";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"22.05.2017 08:30";"31.5";"751.5";"752.5";"";"82";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"29.2";"";"";"";"";"";"";"10.0";"28.1";"";"";"";"";"";"";
"21.05.2017 17:30";"36.0";"748.1";"749.1";"";"54";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"21.05.2017 08:30";"31.5";"751.5";"752.5";"";"69";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"20.05.2017 17:30";"37.0";"748.3";"749.3";"";"58";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"10.0";"27.5";"";"";"";"";"";"";
"20.05.2017 08:30";"29.0";"751.9";"752.9";"";"78";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.5";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"19.05.2017 17:30";"35.0";"750.1";"751.1";"";"57";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"19.05.2017 08:30";"29.5";"752.8";"753.8";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"23.6";"";"";"";"";"";"";
"17.05.2017 17:30";"34.5";"747.3";"748.3";"";"71";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"35.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.4";"";"";"";"";"";"";
"17.05.2017 08:30";"29.5";"750.8";"751.8";"";"92";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"28.5";"";"";"";"";"";"";"10.0";"28.0";"";"";"";"";"";"";
"16.05.2017 17:30";"31.5";"748.2";"749.2";"";"72";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"10.0";"25.8";"";"";"";"";"";"";
"16.05.2017 08:30";"28.0";"751.8";"752.8";"";"70";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"10.0";"22.0";"";"";"";"";"";"";
"15.05.2017 17:30";"34.0";"748.2";"749.2";"";"73";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"37.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.6";"";"";"";"";"";"";
"15.05.2017 08:30";"27.5";"751.7";"752.7";"";"92";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"26.6";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"14.05.2017 17:30";"";"";"749.7";"";"";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"28.4";"";"";"";"";"";"";
"13.05.2017 08:30";"29.5";"753.8";"754.8";"";"83";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"26.3";"";"";"";"";"";"";
"12.05.2017 17:30";"35.0";"752.1";"753.1";"";"53";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"35.5";"";"";"";"";"";"10.0";"24.2";"";"";"";"";"";"";
"12.05.2017 08:30";"29.5";"757.0";"758.0";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"22.0";"";"";"";"";"";"";
"11.05.2017 17:30";"35.5";"752.4";"753.4";"";"50";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"36.5";"";"";"";"";"";"10.0";"23.4";"";"";"";"";"";"";
"11.05.2017 08:30";"29.5";"755.4";"756.4";"";"89";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"27.5";"";"";"";"";"";"";
"10.05.2017 17:30";"33.2";"753.4";"754.4";"";"66";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"10.05.2017 08:30";"26.5";"755.0";"756.0";"";"84";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"09.05.2017 17:30";"22.8";"753.6";"754.6";"";"96";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"37.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.2";"";"";"";"";"";"";
"09.05.2017 08:30";"29.5";"755.4";"756.4";"";"77";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"27.5";"";"";"";"";"";"";"10.0";"25.1";"";"";"";"";"";"";
"08.05.2017 17:30";"34.5";"751.8";"752.8";"";"59";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"08.05.2017 08:30";"30.0";"756.0";"757.0";"";"74";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"10.0";"24.9";"";"";"";"";"";"";
"07.05.2017 17:30";"34.5";"753.6";"754.6";"";"52";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"10.0";"23.2";"";"";"";"";"";"";
"07.05.2017 08:30";"29.5";"755.8";"756.8";"";"81";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"06.05.2017 17:30";"34.0";"753.2";"754.2";"";"58";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"36.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"06.05.2017 08:30";"29.5";"756.3";"757.3";"";"89";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"10.0";"27.5";"";"";"";"";"";"";
"05.05.2017 17:30";"";"";"753.4";"";"";"Wind blowing from the north-northeast";"23";"";"";"10%  or less, but not 0";" ";"";"";"";"37.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.1";"";"";"";"";"";"";
"05.05.2017 14:30";"30.0";"757.2";"758.2";"";"85";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.2";"";"";"";"";"";"";"10.0";"27.2";"";"";"";"";"";"";
"05.05.2017 08:30";"30.0";"757.2";"758.2";"";"85";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.2";"";"";"";"";"";"";"10.0";"27.2";"";"";"";"";"";"";
"04.05.2017 17:30";"36.5";"753.6";"754.6";"";"55";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"36.5";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"04.05.2017 08:30";"29.0";"757.1";"758.1";"";"92";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"27.6";"";"";"";"";"";"";
"02.05.2017 08:30";"26.0";"758.2";"759.2";"";"76";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"21.5";"";"";"";"";"";"";
"01.05.2017 17:30";"34.0";"752.5";"753.5";"";"62";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"01.05.2017 08:30";"32.5";"754.5";"755.5";"";"66";"Wind blowing from the south";"1";"";"";"40%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"30.04.2017 17:30";"34.5";"752.1";"753.1";"";"59";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"30.04.2017 08:30";"30.0";"754.5";"755.5";"";"78";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"10.0";"25.8";"";"";"";"";"";"";
"29.04.2017 17:30";"34.5";"752.4";"753.4";"";"59";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"29.04.2017 08:30";"29.5";"755.7";"756.7";"";"81";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"28.04.2017 08:30";"29.5";"747.3";"748.3";"";"81";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"27.04.2017 17:30";"34.5";"752.4";"753.4";"";"62";"Wind blowing from the south";"1";"";"";"40%.";" ";"";"";"";"38.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.2";"";"";"";"";"";"";
"27.04.2017 08:30";"31.0";"753.0";"754.0";"";"75";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.5";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"26.04.2017 17:30";"36.0";"751.5";"752.5";"";"47";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"10.0";"23.1";"";"";"";"";"";"";
"26.04.2017 08:30";"30.5";"753.5";"754.5";"";"82";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.5";"";"";"";"";"";"";"10.0";"27.1";"";"";"";"";"";"";
"25.04.2017 17:30";"35.0";"749.3";"750.3";"";"53";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"24.2";"";"";"";"";"";"";
"25.04.2017 08:30";"28.0";"752.2";"753.2";"";"92";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"24.04.2017 17:30";"33.0";"750.1";"751.1";"";"57";"Wind blowing from the south";"1";"";"";"40%.";" ";"";"";"";"34.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.3";"";"";"";"";"";"";
"24.04.2017 08:30";"27.5";"753.0";"754.0";"";"92";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"21.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"23.04.2017 17:30";"32.0";"749.8";"750.8";"";"72";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"23.04.2017 08:30";"26.0";"755.3";"756.3";"";"84";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"24.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.1";"";"";"";"";"";"";
"22.04.2017 08:30";"28.0";"753.5";"754.5";"";"85";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"21.04.2017 17:30";"35.0";"749.7";"750.7";"";"68";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"35.5";"";"";"";"";"";"10.0";"28.2";"";"";"";"";"";"";
"21.04.2017 08:30";"28.5";"754.8";"755.8";"";"89";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"26.5";"";"";"";"";"";"";
"20.04.2017 17:30";"32.0";"751.2";"752.2";"";"69";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"10.0";"25.5";"";"";"";"";"";"";
"20.04.2017 08:30";"26.5";"753.9";"754.9";"";"69";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"20.3";"";"";"";"";"";"";
"19.04.2017 17:30";"33.0";"749.6";"750.6";"";"67";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"35.5";"";"";"2000-2500";"";"";"4.0";"26.0";"";"";"";"";"";"";
"19.04.2017 08:30";"28.5";"754.5";"755.5";"";"85";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"18.04.2017 17:30";"33.0";"751.3";"752.3";"";"55";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"18.04.2017 08:30";"28.0";"754.8";"755.8";"";"78";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"10.0";"23.7";"";"";"";"";"";"";
"17.04.2017 17:30";"33.5";"751.5";"752.5";"";"53";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"22.7";"";"";"";"";"";"";
"17.04.2017 08:30";"28.5";"754.8";"755.8";"";"70";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"22.5";"";"";"";"";"";"";
"16.04.2017 17:30";"31.0";"751.5";"752.5";"";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"22.2";"";"";"";"";"";"";
"16.04.2017 08:30";"28.0";"756.3";"757.3";"";"80";"Wind blowing from the south";"1";"";"";"70 – 80%.";" ";"";"";"26.5";"";"";"";"2000-2500";"";"";"2.0";"24.3";"";"";"";"";"";"";
"15.04.2017 08:30";"29.5";"754.1";"755.1";"";"71";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"10.0";"23.6";"";"";"";"";"";"";
"14.04.2017 17:30";"35.0";"754.6";"755.6";"";"56";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"10.0";"24.9";"";"";"";"";"";"";
"14.04.2017 08:30";"28.0";"755.6";"756.6";"";"82";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"13.04.2017 17:30";"37.0";"752.9";"753.9";"";"34";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"13.04.2017 08:30";"29.0";"755.6";"756.6";"";"78";"Wind blowing from the south";"5";"";"";"40%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.7";"";"";"";"";"";"";
"12.04.2017 17:30";"29.0";"752.8";"753.8";"";"64";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"12.04.2017 08:30";"30.0";"755.1";"756.1";"";"72";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"11.04.2017 17:30";"37.0";"751.3";"752.3";"";"39";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"38.6";"";"";"";"";"";"10.0";"20.8";"";"";"";"";"";"";
"10.04.2017 17:30";"37.0";"751.7";"752.7";"";"55";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"26.5";"";"";"";"";"";"";
"10.04.2017 08:30";"29.5";"754.7";"755.7";"";"81";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.5";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"09.04.2017 17:30";"34.5";"752.3";"753.3";"";"51";"Wind blowing from the south";"1";"";"";"40%.";" ";"";"";"";"35.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.8";"";"";"";"";"";"";
"09.04.2017 08:30";"29.5";"756.0";"757.0";"";"84";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"08.04.2017 17:30";"33.0";"753.0";"754.0";"";"67";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"07.04.2017 17:30";"33.0";"752.1";"753.1";"";"63";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"25.1";"";"";"";"";"";"";
"07.04.2017 08:30";"28.5";"755.1";"756.1";"";"84";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
