# Weather station Bagati, India, WMO_ID=42714,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42714&lang=en
#
"Local time in Bagati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.12.2017 17:30";"23.0";"761.1";"762.2";"";"55";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"17.12.2017 08:30";"17.5";"763.8";"764.9";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"16.12.2017 08:30";"20.5";"763.2";"764.3";"";"73";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"15.12.2017 17:30";"26.2";"759.8";"760.8";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"20.4";"";"";"";"";"";"";
"15.12.2017 08:30";"23.5";"758.7";"759.7";"";"71";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"18.0";"";"";"";"";"";"";
"14.12.2017 17:30";"28.0";"759.9";"760.9";"";"57";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"14.12.2017 08:30";"22.5";"758.3";"759.4";"";"63";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"13.12.2017 17:30";"24.5";"758.7";"759.7";"";"88";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"22.3";"";"";"";"";"";"";
"13.12.2017 08:30";"20.0";"758.0";"759.1";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"3.7";"14.9";"";"";"";"";"";"";
"12.12.2017 17:30";"27.0";"758.2";"759.2";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"12.12.2017 08:30";"23.0";"758.1";"759.2";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"11.12.2017 17:30";"25.5";"757.2";"758.2";"";"88";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"10.0";"23.3";"";"";"";"";"";"";
"11.12.2017 08:30";"23.0";"759.5";"760.6";"";"95";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"21.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.1";"";"";"";"";"";"";
"10.12.2017 17:30";"23.0";"756.3";"757.3";"";"91";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"";"23.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.5";"";"";"";"";"";"";
