# Weather station Paro (airport), Bhutan, METAR=VQPR,selection from 26.09.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=VQPR&lang=en
#
"Local time in Paro (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"29.12.2017 11:30";"13.0";"589.2";"768.9";"24";"Wind blowing from the south-east";"2";"";"";"";"No clouds";"10.0 and more";"-7.0";
"29.12.2017 09:30";"4.0";"585.8";"771.1";"48";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-6.0";
"29.12.2017 09:00";"1.0";"584.6";"771.9";"65";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-5.0";
"29.12.2017 08:30";"-1.0";"582.8";"771.1";"75";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-5.0";
"29.12.2017 08:00";"-4.0";"581.0";"771.1";"86";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-6.0";
"29.12.2017 07:30";"-5.0";"580.4";"771.1";"86";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-7.0";
"29.12.2017 07:00";"-5.0";"580.4";"771.1";"86";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-7.0";
"29.12.2017 06:30";"-4.0";"580.5";"770.4";"80";"Wind blowing from the north";"1";"";"";"";"No clouds";"10.0 and more";"-7.0";
"28.12.2017 15:25";"19.0";"588.9";"764.3";"13";"Wind blowing from the south-southeast";"7";"";"";"";"No clouds";"10.0 and more";"-10.0";
"28.12.2017 15:00";"20.0";"589.4";"764.3";"12";"Wind blowing from the south";"4";"";"";"";"No clouds";"10.0 and more";"-10.0";
"28.12.2017 14:30";"21.0";"589.9";"764.3";"11";"Wind blowing from the south";"4";"";"";"";"No clouds";"10.0 and more";"-11.0";
"28.12.2017 14:00";"20.0";"589.4";"764.3";"10";"Wind blowing from the south";"3";"";"";"";"No clouds";"10.0 and more";"-12.0";
"28.12.2017 13:30";"19.0";"589.4";"765.0";"12";"Wind blowing from the south-southeast";"2";"";"";"";"No clouds";"10.0 and more";"-11.0";
"28.12.2017 13:00";"18.0";"589.5";"765.8";"13";"Wind blowing from the south-southwest";"2";"";"";"";"No clouds";"10.0 and more";"-11.0";
"28.12.2017 12:00";"15.0";"589.7";"768.1";"14";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-12.0";
"28.12.2017 11:30";"13.0";"589.2";"768.9";"19";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-10.0";
"28.12.2017 11:00";"11.0";"588.6";"769.6";"24";"Wind blowing from the south";"2";"";"";"";"No clouds";"10.0 and more";"-9.0";
"28.12.2017 10:00";"7.0";"588.1";"771.9";"34";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-8.0";
"28.12.2017 09:00";"1.0";"584.6";"771.9";"60";"variable wind direction";"1";"";"";"";"No clouds";"10.0 and more";"-6.0";
"28.12.2017 08:30";"-2.0";"582.8";"771.9";"74";"Wind blowing from the north-northeast";"3";"";"";"";"No clouds";"10.0 and more";"-6.0";
"28.12.2017 07:00";"-5.0";"580.4";"771.1";"80";"variable wind direction";"1";"";"";"";"No clouds";"10.0 and more";"-8.0";
"27.12.2017 15:30";"19.0";"588.9";"764.3";"12";"Wind blowing from the south-southeast";"5";"";"";"";"No clouds";"10.0 and more";"-11.0";
"27.12.2017 14:30";"20.0";"589.4";"764.3";"12";"Wind blowing from the south-southwest";"3";"";"";"";"No clouds";"10.0 and more";"-10.0";
"27.12.2017 14:00";"19.0";"589.4";"765.0";"14";"Wind blowing from the south";"3";"";"";"";"No clouds";"10.0 and more";"-9.0";
"27.12.2017 13:00";"17.0";"589.6";"766.6";"14";"Wind blowing from the south";"2";"";"";"";"No clouds";"10.0 and more";"-11.0";
"27.12.2017 12:30";"16.0";"589.6";"767.3";"15";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-11.0";
"27.12.2017 12:00";"14.0";"589.1";"768.1";"21";"Wind blowing from the east-southeast";"3";"";"";"";"No clouds";"10.0 and more";"-8.0";
"27.12.2017 11:30";"12.0";"588.6";"768.9";"24";"Wind blowing from the north-northwest";"1";"";"";"";"No clouds";"10.0 and more";"-8.0";
"27.12.2017 11:00";"10.0";"588.7";"770.4";"30";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-7.0";
"27.12.2017 10:30";"8.0";"588.1";"771.1";"34";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-7.0";
"27.12.2017 10:00";"6.0";"586.9";"771.1";"39";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-7.0";
"27.12.2017 09:30";"3.0";"585.8";"771.9";"52";"Wind blowing from the east-northeast";"2";"";"";"";"No clouds";"10.0 and more";"-6.0";
"27.12.2017 08:30";"-2.0";"582.8";"771.9";"80";"Wind blowing from the north-east";"2";"";"";"";"No clouds";"10.0 and more";"-5.0";
"27.12.2017 08:00";"-4.0";"581.6";"771.9";"86";"Wind blowing from the east-northeast";"2";"";"";"";"No clouds";"10.0 and more";"-6.0";
"27.12.2017 07:30";"-5.0";"581.0";"771.9";"86";"Wind blowing from the west-northwest";"2";"";"";"";"No clouds";"10.0 and more";"-7.0";
"26.12.2017 17:00";"12.0";"585.7";"765.0";"28";"Wind blowing from the south";"5";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-6.0";
"26.12.2017 16:00";"14.0";"586.2";"764.3";"25";"Wind blowing from the south-east";"9";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-6.0";
"26.12.2017 15:30";"16.0";"587.3";"764.3";"20";"Wind blowing from the south-southeast";"10";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-7.0";
"26.12.2017 15:00";"17.0";"587.2";"763.5";"15";"Wind blowing from the south-east";"9";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-10.0";
"26.12.2017 14:00";"18.0";"587.7";"763.5";"9";"Wind blowing from the south-east";"4";"";"";"";"Few clouds (10-30%) 2700 m";"10.0 and more";"-15.0";
"26.12.2017 13:00";"17.0";"588.4";"765.0";"10";"Wind blowing from the east-southeast";"2";"";"";"";"Few clouds (10-30%) 2700 m";"10.0 and more";"-15.0";
"26.12.2017 12:00";"14.0";"588.0";"766.6";"17";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 2700 m";"10.0 and more";"-11.0";
"26.12.2017 11:30";"13.0";"588.0";"767.3";"16";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 2700 m";"10.0 and more";"-12.0";
"26.12.2017 10:30";"8.0";"586.4";"768.9";"32";"variable wind direction";"1";"";"";"";"Few clouds (10-30%) 2700 m";"10.0 and more";"-8.0";
"26.12.2017 10:00";"6.0";"585.8";"769.6";"36";"Wind blowing from the north";"2";"";"";"";"Few clouds (10-30%) 2700 m";"10.0 and more";"-8.0";
"26.12.2017 09:30";"3.0";"584.7";"770.4";"48";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 2700 m";"10.0 and more";"-7.0";
"26.12.2017 09:00";"0.0";"583.4";"771.1";"60";"Wind blowing from the east";"2";"";"";"";"Few clouds (10-30%) 2700 m";"10.0 and more";"-7.0";
"26.12.2017 08:00";"-4.0";"580.5";"770.4";"80";"Wind blowing from the west-northwest";"2";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-7.0";
"26.12.2017 07:30";"-4.0";"580.5";"770.4";"74";"Wind blowing from the north-northeast";"2";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-8.0";
"26.12.2017 07:00";"-4.0";"580.5";"770.4";"80";"Wind blowing from the west-northwest";"2";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-7.0";
"25.12.2017 16:00";"16.0";"586.1";"762.8";"13";"Wind blowing from the south-southeast";"6";"";"";"";"No clouds";"10.0 and more";"-12.0";
"25.12.2017 15:30";"18.0";"587.2";"762.8";"12";"Wind blowing from the south-east";"8";"";"";"";"No clouds";"10.0 and more";"-12.0";
"25.12.2017 14:30";"20.0";"588.2";"762.8";"7";"Wind blowing from the south";"9";"";"";"";"No clouds";"10.0 and more";"-16.0";
"25.12.2017 12:00";"14.0";"587.4";"765.8";"21";"Wind blowing from the south";"2";"";"";"";"No clouds";"10.0 and more";"-8.0";
"25.12.2017 11:00";"11.0";"587.5";"768.1";"28";"Wind blowing from the south-east";"2";"";"";"";"No clouds";"10.0 and more";"-7.0";
"25.12.2017 10:30";"9.0";"587.0";"768.9";"34";"Wind blowing from the south";"2";"";"";"";"No clouds";"10.0 and more";"-6.0";
"25.12.2017 10:00";"6.0";"585.3";"768.9";"46";"Wind blowing from the south-southeast";"2";"";"";"";"No clouds";"10.0 and more";"-5.0";
"25.12.2017 09:00";"1.0";"582.9";"769.6";"65";"Wind blowing from the north-northeast";"2";"";"";"";"No clouds";"10.0 and more";"-5.0";
"25.12.2017 08:30";"-1.0";"581.7";"769.6";"75";"Wind blowing from the north";"1";"";"";"";"No clouds";"10.0 and more";"-5.0";
"25.12.2017 08:00";"-3.0";"580.5";"769.6";"86";"Wind blowing from the north-northwest";"2";"";"";"";"No clouds";"10.0 and more";"-5.0";
"25.12.2017 07:30";"-3.0";"580.0";"768.9";"80";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 4500 m";"10.0 and more";"-6.0";
"25.12.2017 07:00";"-4.0";"579.4";"768.9";"86";"Wind blowing from the north-west";"2";"";"";"";"Scattered clouds (40-50%) 4500 m";"10.0 and more";"-6.0";
"24.12.2017 15:00";"23.0";"588.0";"760.5";"9";"Wind blowing from the south-east";"9";"";"";"";"Scattered clouds (40-50%) 2100 m";"10.0 and more";"-11.0";
"24.12.2017 14:30";"22.0";"588.0";"761.2";"15";"Wind blowing from the north-east";"2";"";"";"";"No clouds";"10.0 and more";"-6.0";
"24.12.2017 14:00";"19.0";"586.5";"761.2";"21";"Wind blowing from the south-west";"2";"";"";"";"No clouds";"10.0 and more";"-4.0";
"24.12.2017 13:00";"18.0";"587.2";"762.8";"24";"Wind blowing from the south-east";"2";"";"";"";"No clouds";"10.0 and more";"-3.0";
"24.12.2017 12:30";"15.0";"586.7";"764.3";"29";"Wind blowing from the south-east";"4";"";"";"";"No clouds";"10.0 and more";"-3.0";
"24.12.2017 12:00";"15.0";"587.3";"765.0";"29";"Wind blowing from the south";"3";"";"";"";"No clouds";"10.0 and more";"-3.0";
"24.12.2017 11:00";"11.0";"586.3";"766.6";"41";"Wind blowing from the south-east";"3";"";"";"";"No clouds";"10.0 and more";"-2.0";
"24.12.2017 10:30";"10.0";"586.3";"767.3";"47";"Wind blowing from the south-east";"2";"";"";"";"No clouds";"10.0 and more";"-1.0";
"24.12.2017 10:00";"8.0";"585.8";"768.1";"53";"variable wind direction";"1";"";"";"";"No clouds";"10.0 and more";"-1.0";
"24.12.2017 09:30";"5.0";"584.7";"768.9";"66";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"-1.0";
"24.12.2017 08:30";"0.0";"581.8";"768.9";"80";"Wind blowing from the north-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"-3.0";
"24.12.2017 08:00";"-1.0";"581.2";"768.9";"86";"Wind blowing from the south-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"-3.0";
"24.12.2017 07:30";"-2.0";"580.6";"768.9";"86";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"-4.0";
"23.12.2017 15:30";"19.0";"585.9";"760.5";"21";"Wind blowing from the south";"4";"";"";"";"No Significant Clouds";"10.0 and more";"-4.0";
"23.12.2017 15:00";"19.0";"585.9";"760.5";"21";"Wind blowing from the west-southwest";"3";"";"";"";"No Significant Clouds";"10.0 and more";"-4.0";
"23.12.2017 14:00";"19.0";"586.5";"761.2";"21";"Wind blowing from the south-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"-4.0";
"23.12.2017 12:00";"15.0";"586.1";"763.5";"31";"Wind blowing from the south";"4";"";"";"";"No clouds";"10.0 and more";"-2.0";
"23.12.2017 11:30";"13.0";"585.7";"764.3";"36";"Wind blowing from the south-southeast";"3";"";"";"";"No clouds";"10.0 and more";"-2.0";
"23.12.2017 11:00";"12.0";"585.7";"765.0";"38";"Wind blowing from the south-southeast";"3";"";"";"";"No clouds";"10.0 and more";"-2.0";
"23.12.2017 10:30";"10.0";"585.2";"765.8";"47";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-1.0";
"23.12.2017 09:00";"4.0";"582.4";"766.6";"70";"Wind blowing from the north-east";"2";"";"";"";"No clouds";"10.0 and more";"-1.0";
"23.12.2017 08:30";"2.0";"581.7";"767.3";"81";"Wind blowing from the north-northwest";"2";"";"";"";"No clouds";"10.0 and more";"-1.0";
"23.12.2017 08:00";"1.0";"580.6";"766.6";"81";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-2.0";
"23.12.2017 07:30";"0.0";"580.0";"766.6";"87";"Wind blowing from the north-west";"2";"";"";"";"No clouds";"10.0 and more";"-2.0";
"23.12.2017 07:00";"-1.0";"579.4";"766.6";"86";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 3000 m";"10.0 and more";"-3.0";
"22.12.2017 14:30";"20.0";"587.6";"762.0";"20";"Wind blowing from the west-southwest";"4";"";"";"";"No clouds";"10.0 and more";"-4.0";
"22.12.2017 14:00";"20.0";"587.6";"762.0";"21";"variable wind direction";"1";"";"";"";"No clouds";"10.0 and more";"-3.0";
"22.12.2017 13:30";"18.0";"587.2";"762.8";"26";"Wind blowing from the south";"2";"";"";"";"No clouds";"10.0 and more";"-2.0";
"22.12.2017 12:30";"17.0";"587.8";"764.3";"30";"Wind blowing from the south-southeast";"3";"";"";"";"No clouds";"10.0 and more";"-1.0";
"22.12.2017 12:00";"16.0";"588.4";"765.8";"31";"Wind blowing from the south-southwest";"3";"";"";"";"No clouds";"10.0 and more";"-1.0";
"22.12.2017 11:30";"15.0";"588.5";"766.6";"39";"Wind blowing from the south";"3";"";"";"";"Few clouds (10-30%) 2100 m";"10.0 and more";"1.0";
"22.12.2017 10:30";"13.0";"588.6";"768.1";"44";"Calm, no wind";"0";"";"";"";"Few clouds (10-30%) 2100 m";"10.0 and more";"1.0";
"22.12.2017 10:00";"12.0";"588.6";"768.9";"47";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 2100 m";"10.0 and more";"1.0";
"22.12.2017 09:30";"10.0";"587.5";"768.9";"54";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 2100 m";"10.0 and more";"1.0";
"22.12.2017 09:00";"8.0";"586.4";"768.9";"62";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 2100 m";"10.0 and more";"1.0";
"22.12.2017 08:30";"8.0";"586.4";"768.9";"62";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1500 m";"10.0 and more";"1.0";
"22.12.2017 08:00";"5.0";"584.7";"768.9";"76";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1350 m, scattered clouds (40-50%) 2700 m";"10.0 and more";"1.0";
"22.12.2017 07:30";"5.0";"584.7";"768.9";"76";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 2700 m";"10.0 and more";"1.0";
"22.12.2017 07:00";"5.0";"584.7";"768.9";"76";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1350 m, broken clouds (60-90%) 2700 m";"10.0 and more";"1.0";
"21.12.2017 16:00";"17.0";"587.8";"764.3";"25";"Wind blowing from the south-southeast";"7";"";"";"";"No clouds";"10.0 and more";"-3.0";
"21.12.2017 15:30";"19.0";"588.9";"764.3";"24";"Wind blowing from the south";"4";"";"";"";"No clouds";"10.0 and more";"-2.0";
"21.12.2017 15:00";"20.0";"589.4";"764.3";"21";"Wind blowing from the south";"4";"";"";"";"No clouds";"10.0 and more";"-3.0";
"21.12.2017 14:30";"20.0";"589.9";"765.0";"21";"Wind blowing from the south";"3";"";"";"";"No clouds";"10.0 and more";"-3.0";
"21.12.2017 13:30";"19.0";"590.0";"765.8";"22";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-3.0";
"21.12.2017 13:00";"18.0";"590.7";"767.3";"26";"Calm, no wind";"0";"";"";"";"No clouds";"10.0 and more";"-2.0";
"21.12.2017 11:30";"14.0";"590.3";"769.6";"39";"Wind blowing from the south";"2";"";"";"";"No Significant Clouds";"10.0 and more";"0.0";
"21.12.2017 10:30";"11.0";"589.8";"771.1";"50";"Wind blowing from the east-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"21.12.2017 10:00";"8.0";"588.7";"771.9";"57";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"0.0";
"21.12.2017 09:30";"7.0";"588.7";"772.7";"61";"Wind blowing from the west";"1";"";"";"";"No Significant Clouds";"10.0 and more";"0.0";
"21.12.2017 09:00";"4.0";"587.0";"772.7";"70";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"-1.0";
"21.12.2017 08:30";"1.0";"585.2";"772.7";"81";"Wind blowing from the north";"1";"";"";"";"No clouds";"10.0 and more";"-2.0";
"21.12.2017 08:00";"-1.0";"584.0";"772.7";"86";"Wind blowing from the north-northwest";"2";"";"";"";"No clouds";"10.0 and more";"-3.0";
"21.12.2017 07:30";"-1.0";"584.0";"772.7";"86";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"-3.0";
"21.12.2017 07:00";"-2.0";"582.8";"771.9";"93";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"-3.0";
"21.12.2017 06:30";"-1.0";"583.4";"771.9";"86";"Wind blowing from the north-northwest";"1";"";"";"";"No Significant Clouds";"10.0 and more";"-3.0";
"20.12.2017 15:30";"18.0";"590.1";"766.6";"26";"Wind blowing from the south-southeast";"6";"";"";"";"Few clouds (10-30%) 5400 m";"10.0 and more";"-2.0";
"20.12.2017 12:30";"16.0";"591.4";"769.6";"31";"Wind blowing from the south-southwest";"4";"";"";"";"Scattered clouds (40-50%) 5400 m";"10.0 and more";"-1.0";
"20.12.2017 11:30";"14.0";"591.4";"771.1";"36";"Wind blowing from the south";"1";"";"";"";"Scattered clouds (40-50%) 5400 m";"10.0 and more";"-1.0";
"20.12.2017 10:30";"10.0";"590.4";"772.7";"50";"Wind blowing from the south";"2";"";"";"";"Few clouds (10-30%) 5400 m";"10.0 and more";"0.0";
"20.12.2017 10:00";"7.0";"588.7";"772.7";"61";"Wind blowing from the south";"3";"";"";"";"Few clouds (10-30%) 4500 m";"10.0 and more";"0.0";
"20.12.2017 09:00";"3.0";"587.0";"773.4";"70";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"-2.0";
"20.12.2017 08:30";"1.0";"585.8";"773.4";"81";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"-2.0";
"20.12.2017 07:30";"-2.0";"583.4";"772.7";"86";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"-4.0";
"20.12.2017 07:00";"-2.0";"583.4";"772.7";"86";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"-4.0";
"19.12.2017 16:00";"17.0";"589.0";"765.8";"27";"Wind blowing from the south-southeast";"7";"";"";"";"No Significant Clouds";"10.0 and more";"-2.0";
"19.12.2017 15:30";"18.0";"589.5";"765.8";"28";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"-1.0";
"19.12.2017 15:00";"19.0";"590.0";"765.8";"24";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"-2.0";
"19.12.2017 14:30";"19.0";"590.0";"765.8";"22";"Wind blowing from the south-east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"-3.0";
"19.12.2017 13:30";"17.0";"590.1";"767.3";"27";"Wind blowing from the south-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"-2.0";
"19.12.2017 13:00";"17.0";"590.1";"767.3";"27";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"-2.0";
"19.12.2017 12:30";"15.0";"589.7";"768.1";"31";"Wind blowing from the south-southwest";"3";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-2.0";
"19.12.2017 12:00";"14.0";"590.3";"769.6";"31";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"-3.0";
"19.12.2017 11:30";"13.0";"589.7";"769.6";"33";"Wind blowing from the south";"2";"";"";"";"No Significant Clouds";"10.0 and more";"-3.0";
"19.12.2017 11:00";"11.0";"589.2";"770.4";"41";"Wind blowing from the south-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"-2.0";
"19.12.2017 10:30";"10.0";"589.2";"771.1";"47";"Wind blowing from the south-east";"2";"";"";"";"No clouds";"10.0 and more";"-1.0";
"19.12.2017 10:00";"7.0";"588.1";"771.9";"49";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"-3.0";
"19.12.2017 09:30";"4.0";"587.0";"772.7";"65";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"-2.0";
"19.12.2017 09:00";"2.0";"585.8";"772.7";"75";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"-2.0";
"19.12.2017 08:30";"0.0";"584.0";"771.9";"80";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"-3.0";
