# Weather station Paro (airport), Bhutan, METAR=VQPR,selection from 26.09.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=VQPR&lang=en
#
"Local time in Paro (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.12.2017 16:00";"16.0";"585.5";"762.0";"11";"Wind blowing from the south-east";"6";"";"";"";"No clouds";"10.0 and more";"-15.0";
"31.12.2017 15:30";"17.0";"586.7";"762.8";"10";"Wind blowing from the south-southeast";"9";"";"";"";"No clouds";"10.0 and more";"-15.0";
"31.12.2017 14:30";"19.0";"587.7";"762.8";"8";"Wind blowing from the south-southeast";"7";"";"";"";"No clouds";"10.0 and more";"-16.0";
"31.12.2017 13:00";"20.0";"588.8";"763.5";"8";"Wind blowing from the south-east";"6";"";"";"";"No clouds";"10.0 and more";"-15.0";
"31.12.2017 12:30";"16.0";"587.8";"765.0";"11";"Wind blowing from the east-southeast";"1";"";"";"";"No clouds";"10.0 and more";"-14.0";
"31.12.2017 11:30";"12.0";"587.4";"767.3";"15";"Wind blowing from the east-southeast";"2";"";"";"";"No clouds";"10.0 and more";"-14.0";
"31.12.2017 10:30";"8.0";"586.4";"768.9";"23";"Wind blowing from the north-northeast";"1";"";"";"";"No clouds";"10.0 and more";"-12.0";
"31.12.2017 10:00";"6.0";"585.8";"769.6";"29";"Wind blowing from the west-southwest";"1";"";"";"";"No clouds";"10.0 and more";"-11.0";
"31.12.2017 09:30";"3.0";"584.7";"770.4";"35";"Wind blowing from the east";"2";"";"";"";"No clouds";"10.0 and more";"-11.0";
"31.12.2017 08:00";"-6.0";"579.3";"770.4";"74";"Wind blowing from the north-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"-10.0";
"31.12.2017 07:30";"-6.0";"579.3";"770.4";"74";"Calm, no wind";"0";"";"";"";"No Significant Clouds";"10.0 and more";"-10.0";
"30.12.2017 17:00";"16.0";"586.7";"763.5";"10";"Wind blowing from the south-east";"6";"";"";"";"Scattered clouds (40-50%) 2700 m";"10.0 and more";"-16.0";
"30.12.2017 16:30";"17.0";"587.2";"763.5";"9";"Wind blowing from the south-southeast";"5";"";"";"";"Scattered clouds (40-50%) 2700 m";"10.0 and more";"-16.0";
"30.12.2017 16:00";"18.0";"587.7";"763.5";"8";"Wind blowing from the south-east";"4";"";"";"";"Scattered clouds (40-50%) 2700 m";"10.0 and more";"-16.0";
"30.12.2017 15:00";"20.0";"588.8";"763.5";"8";"Wind blowing from the south";"6";"";"";"";"Scattered clouds (40-50%) 2700 m";"10.0 and more";"-15.0";
"30.12.2017 14:30";"21.0";"589.3";"763.5";"7";"Wind blowing from the south";"6";"";"";"";"Scattered clouds (40-50%) 2700 m";"10.0 and more";"-16.0";
"30.12.2017 14:00";"21.0";"589.3";"763.5";"7";"Wind blowing from the south";"9";"";"";"";"Scattered clouds (40-50%) 2700 m";"10.0 and more";"-16.0";
"30.12.2017 13:30";"20.0";"589.4";"764.3";"10";"Wind blowing from the south-west";"2";"";"";"";"Scattered clouds (40-50%) 2700 m";"10.0 and more";"-13.0";
"30.12.2017 12:30";"16.0";"588.4";"765.8";"12";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 2700 m";"10.0 and more";"-13.0";
"30.12.2017 12:00";"15.0";"589.1";"767.3";"13";"Wind blowing from the south";"2";"";"";"";"Scattered clouds (40-50%) 2700 m";"10.0 and more";"-13.0";
"30.12.2017 11:30";"13.0";"588.6";"768.1";"18";"Wind blowing from the south";"2";"";"";"";"Scattered clouds (40-50%) 2700 m";"10.0 and more";"-11.0";
"30.12.2017 11:00";"11.0";"588.1";"768.9";"22";"Wind blowing from the east-southeast";"2";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-10.0";
"30.12.2017 10:30";"9.0";"588.1";"770.4";"25";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-10.0";
"30.12.2017 09:30";"4.0";"585.8";"771.1";"42";"Calm, no wind";"0";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-8.0";
"30.12.2017 09:00";"1.0";"584.0";"771.1";"51";"variable wind direction";"1";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-8.0";
"30.12.2017 08:30";"-2.0";"582.2";"771.1";"64";"variable wind direction";"1";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-8.0";
"30.12.2017 08:00";"-4.0";"581.0";"771.1";"80";"Wind blowing from the north-northwest";"2";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"-7.0";
"30.12.2017 07:30";"-5.0";"580.4";"771.1";"74";"Wind blowing from the north-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"-9.0";
"30.12.2017 07:00";"-5.0";"580.4";"771.1";"80";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"-8.0";
"29.12.2017 16:30";"17.0";"587.8";"764.3";"10";"Wind blowing from the south-southwest";"3";"";"";"";"No clouds";"10.0 and more";"-15.0";
"29.12.2017 15:30";"21.0";"589.3";"763.5";"8";"Wind blowing from the south";"5";"";"";"";"No clouds";"10.0 and more";"-15.0";
"29.12.2017 14:30";"21.0";"589.3";"763.5";"11";"Wind blowing from the south-southwest";"3";"";"";"";"No clouds";"10.0 and more";"-11.0";
"29.12.2017 14:00";"20.0";"589.4";"764.3";"12";"Wind blowing from the west-northwest";"3";"";"";"";"No clouds";"10.0 and more";"-10.0";
"29.12.2017 13:00";"18.0";"589.5";"765.8";"15";"Wind blowing from the south";"2";"";"";"";"No clouds";"10.0 and more";"-9.0";
"29.12.2017 12:00";"15.0";"589.1";"767.3";"18";"Wind blowing from the south-southeast";"3";"";"";"";"No clouds";"10.0 and more";"-9.0";
