# Weather station Balurghat, India, WMO_ID=42506,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42506&lang=en
#
"Local time in Balurghat";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.11.2017 08:30";"25.0";"753.3";"755.5";"";"93";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"22.4";"";"";"";"600-1000";"";"";"2.0";"23.7";"";"";"";"";"";"";
"17.11.2017 17:30";"26.8";"754.4";"756.6";"";"87";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"24.5";"";"";"";"";"";"";
"17.11.2017 08:30";"25.2";"754.0";"756.2";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"22.2";"";"";"";"600-1000";"";"";"2.0";"23.7";"";"";"";"";"";"";
"16.11.2017 17:30";"26.8";"754.2";"756.4";"";"94";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"16.11.2017 08:30";"25.0";"753.6";"755.8";"";"93";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"22.4";"";"";"";"300-600";"";"";"1.0";"23.8";"";"";"";"";"";"";
"15.11.2017 17:30";"26.2";"753.8";"756.0";"";"98";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"25.8";"";"";"";"";"";"";
"15.11.2017 08:30";"25.4";"753.4";"755.6";"";"91";"Wind blowing from the south-east";"0";"";"";"50%.";" ";"";"";"22.5";"";"";"";"300-600";"";"";"2.0";"23.9";"";"";"";"";"";"";
"14.11.2017 17:30";"27.2";"754.3";"756.5";"";"93";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"25.9";"";"";"";"";"";"";
"14.11.2017 08:30";"25.6";"753.8";"756.0";"";"90";"Wind blowing from the south-east";"0";"";"";"60%.";" ";"";"";"22.9";"";"";"";"600-1000";"";"";"2.0";"23.8";"";"";"";"";"";"";
"13.11.2017 17:30";"27.0";"754.3";"756.5";"";"94";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"25.9";"";"";"";"";"";"";
"13.11.2017 08:30";"25.4";"753.9";"756.1";"";"91";"Wind blowing from the west";"0";"";"";"60%.";" ";"";"";"22.8";"";"";"";"600-1000";"";"";"2.0";"23.9";"";"";"";"";"";"";
"11.11.2017 17:30";"27.8";"753.8";"756.0";"";"94";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"32.0";"";"";"300-600";"";"";"1.0";"26.7";"";"";"";"";"";"";
"11.11.2017 08:30";"25.8";"753.6";"755.8";"";"93";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"23.5";"";"";"";"300-600";"";"";"1.0";"24.6";"";"";"";"";"";"";
"10.11.2017 08:30";"25.6";"753.6";"755.8";"";"94";"Wind blowing from the south-east";"0";"";"";"50%.";" ";"";"";"23.6";"";"";"";"600-1000";"";"";"1.0";"24.6";"";"";"";"";"";"";
"09.11.2017 17:30";"28.2";"754.0";"756.2";"";"91";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"32.0";"";"";"300-600";"";"";"2.0";"26.5";"";"";"";"";"";"";
"09.11.2017 08:30";"25.8";"753.7";"755.9";"";"93";"Wind blowing from the south-west";"0";"";"";"60%.";" ";"";"";"23.8";"";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"08.11.2017 17:30";"28.8";"753.6";"755.8";"";"86";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.4";"";"";"600-1000";"";"";"2.0";"26.3";"";"";"";"";"";"";
"08.11.2017 08:30";"26.0";"753.3";"755.5";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.0";"";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"07.11.2017 17:30";"28.6";"753.8";"756.0";"";"89";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.2";"";"";"600-1000";"";"";"10.0";"26.6";"";"";"";"";"";"";
"07.11.2017 08:30";"25.8";"753.3";"755.5";"";"89";"Wind blowing from the south-east";"0";"";"";"50%.";" ";"";"";"23.9";"";"";"";"300-600";"";"";"1.0";"23.8";"";"";"";"";"";"";
"06.11.2017 17:30";"28.4";"753.6";"755.8";"";"89";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"32.0";"";"";"600-1000";"";"";"4.0";"26.4";"";"";"";"";"";"";
"06.11.2017 08:30";"25.6";"753.6";"755.8";"";"89";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"23.8";"";"";"";"600-1000";"";"";"2.0";"23.7";"";"";"";"";"";"";
"04.11.2017 17:30";"27.6";"751.5";"753.7";"";"89";"Wind blowing from the south";"0";"";"";"60%.";" ";"";"";"";"31.8";"";"";"600-1000";"";"";"1.0";"25.6";"";"";"";"";"";"";
"04.11.2017 08:30";"25.0";"753.6";"755.8";"";"93";"Wind blowing from the south-east";"0";"";"";"60%.";" ";"";"";"23.0";"";"";"";"600-1000";"";"";"2.0";"23.8";"";"";"";"";"";"";
"03.11.2017 17:30";"27.2";"753.1";"755.3";"";"92";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"31.2";"";"";"600-1000";"";"";"2.0";"25.8";"";"";"";"";"";"";
"03.11.2017 08:30";"24.8";"753.0";"755.2";"";"95";"Wind blowing from the south-west";"0";"";"";"60%.";" ";"";"";"22.5";"";"";"";"600-1000";"";"";"2.0";"23.9";"";"";"";"";"";"";
"02.11.2017 17:30";"27.0";"753.0";"755.2";"";"92";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"31.0";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"02.11.2017 08:30";"24.8";"752.9";"755.1";"";"93";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"22.8";"";"";"";"600-1000";"";"";"2.0";"23.6";"";"";"";"";"";"";
"01.11.2017 17:30";"27.2";"753.1";"755.3";"";"90";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"30.2";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"01.11.2017 08:30";"24.6";"752.8";"755.0";"";"95";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"22.5";"";"";"";"600-1000";"";"";"4.0";"23.7";"";"";"";"";"";"";
"31.10.2017 17:30";"27.8";"752.9";"755.1";"";"94";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"31.0";"";"";"300-600";"";"";"1.0";"26.7";"";"";"";"";"";"";
"31.10.2017 08:30";"24.8";"";"755.0";"";"93";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"22.8";"";"";"";"300-600";"";"";"1.0";"23.6";"";"";"";"";"";"";
"30.10.2017 17:30";"28.0";"";"752.8";"";"92";"";"";"";"";"60%.";" ";"";"";"";"31.7";"";"";"600-1000";"";"";"2.0";"26.6";"";"";"";"";"";"";
"30.10.2017 08:30";"25.0";"";"754.6";"";"95";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"23.4";"";"";"";"600-1000";"";"";"2.0";"24.1";"";"";"";"";"";"";
"29.10.2017 08:30";"25.4";"";"754.3";"";"93";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"23.5";"";"";"";"300-600";"";"";"2.0";"24.2";"";"";"";"";"";"";
"28.10.2017 17:30";"28.2";"";"754.6";"";"91";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"31.5";"";"";"600-1000";"";"";"4.0";"26.5";"";"";"";"";"";"";
"28.10.2017 08:30";"25.2";"";"754.4";"";"93";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"23.6";"";"";"";"300-600";"";"";"2.0";"24.0";"";"";"";"";"";"";
"27.10.2017 17:30";"28.4";"";"754.4";"";"89";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"31.8";"";"";"1000-1500";"";"";"4.0";"26.4";"";"";"";"";"";"";
"27.10.2017 08:30";"25.6";"";"753.9";"";"95";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"23.8";"";"";"";"600-1000";"";"";"2.0";"24.7";"";"";"";"";"";"";
"26.10.2017 17:30";"28.2";"";"753.7";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"31.5";"";"";"600-1000";"";"";"2.0";"26.5";"";"";"";"";"";"";
"26.10.2017 08:30";"25.4";"";"753.4";"";"91";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"23.6";"";"";"";"600-1000";"";"";"2.0";"23.9";"";"";"";"";"";"";
"25.10.2017 17:30";"28.6";"";"754.2";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"31.8";"";"";"600-1000";"";"";"4.0";"26.6";"";"";"";"";"";"";
"25.10.2017 08:30";"25.8";"";"753.8";"";"95";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.0";"";"";"";"600-1000";"";"";"2.0";"24.9";"";"";"";"";"";"";
"24.10.2017 17:30";"28.4";"";"753.7";"";"89";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"32.0";"";"";"600-1000";"";"";"2.0";"26.4";"";"";"";"";"";"";
"24.10.2017 08:30";"25.6";"751.5";"753.7";"";"95";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"2.0";"24.7";"";"";"";"";"";"";
"23.10.2017 17:30";"27.4";"751.8";"754.0";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"25.4";"";"";"";"";"";"";
"23.10.2017 08:30";"25.8";"751.7";"753.9";"";"95";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"24.0";"";"";"";"600-1000";"";"";"2.0";"24.9";"";"";"";"";"";"";
"21.10.2017 17:30";"28.2";"751.1";"753.3";"";"91";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.0";"";"";"600-1000";"";"";"2.0";"26.5";"";"";"";"";"";"";
"21.10.2017 08:30";"26.0";"750.9";"753.1";"";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.0";"";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"19.10.2017 08:30";"27.8";"750.4";"752.6";"";"84";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"2.0";"24.8";"";"";"";"";"";"";
"18.10.2017 17:30";"29.4";"750.3";"752.5";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"32.8";"";"";"600-1000";"";"";"2.0";"27.5";"";"";"";"";"";"";
"18.10.2017 08:30";"26.2";"750.3";"752.5";"";"90";"Wind blowing from the south-east";"0";"";"";"50%.";" ";"";"";"24.4";"";"";"";"300-600";"";"";"1.0";"24.5";"";"";"";"";"";"";
"17.10.2017 17:30";"29.2";"750.4";"752.6";"";"91";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"32.7";"";"";"600-1000";"";"";"2.0";"27.5";"";"";"";"";"";"";
"17.10.2017 08:30";"26.4";"750.2";"752.4";"";"89";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.3";"";"";"";"600-1000";"";"";"2.0";"24.4";"";"";"";"";"";"";
"16.10.2017 17:30";"29.8";"750.9";"753.1";"";"86";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"32.8";"";"";"300-600";"";"";"1.0";"27.3";"";"";"";"";"";"";
"16.10.2017 08:30";"26.6";"750.4";"752.6";"";"87";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"2.0";"24.3";"";"";"";"";"";"";
"15.10.2017 08:30";"26.8";"750.1";"752.3";"";"94";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"24.5";"";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"14.10.2017 17:30";"30.4";"750.5";"752.7";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"32.9";"";"";"600-1000";"";"";"2.0";"28.5";"";"";"";"";"";"";
"14.10.2017 08:30";"27.0";"750.3";"752.5";"";"92";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"24.8";"";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"13.10.2017 17:30";"30.6";"750.9";"753.1";"";"88";"Wind blowing from the south-southeast";"1";"";"";"60%.";" ";"";"";"";"32.9";"";"";"600-1000";"";"";"2.0";"28.4";"";"";"";"";"";"";
"13.10.2017 08:30";"27.4";"750.6";"752.8";"";"90";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"25.6";"";"";"";"600-1000";"";"";"4.0";"25.7";"";"";"";"";"";"";
"12.10.2017 17:30";"30.8";"750.9";"753.1";"";"87";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"33.0";"";"";"600-1000";"";"";"2.0";"28.3";"";"";"";"";"";"";
"12.10.2017 08:30";"27.2";"750.3";"752.5";"";"90";"Wind blowing from the south";"0";"";"";"60%.";" ";"";"";"25.1";"";"";"";"600-1000";"";"";"2.0";"25.5";"";"";"";"";"";"";
"11.10.2017 17:30";"29.8";"751.2";"753.4";"";"86";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.2";"";"";"600-1000";"";"";"2.0";"27.3";"";"";"";"";"";"";
"11.10.2017 08:30";"25.8";"750.9";"753.1";"";"93";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"10.10.2017 17:30";"30.0";"750.8";"753.0";"";"94";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"32.6";"";"";"600-1000";"";"";"2.0";"28.9";"";"";"";"";"";"";
"10.10.2017 08:30";"26.3";"";"752.3";"";"90";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"24.8";"";"";"";"600-1000";"";"";"2.0";"24.5";"";"";"";"";"";"";
"09.10.2017 17:30";"30.2";"";"753.1";"";"91";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"32.8";"";"";"300-600";"";"";"2.0";"28.6";"";"";"";"";"";"";
"09.10.2017 08:30";"26.8";"";"753.0";"";"89";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"2.0";"24.8";"";"";"";"";"";"";
"07.10.2017 17:30";"30.2";"";"752.5";"";"82";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"33.2";"";"";"600-1000";"";"";"4.0";"26.8";"";"";"";"";"";"";
"07.10.2017 08:30";"26.8";"";"752.2";"";"87";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"2.0";"24.5";"";"";"";"";"";"";
"06.10.2017 17:30";"29.6";"";"752.8";"";"90";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"32.3";"";"";"600-1000";"";"";"2.0";"27.7";"";"";"";"";"";"";
"06.10.2017 08:30";"26.4";"";"752.5";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.8";"";"";"";"600-1000";"";"";"4.0";"24.6";"";"";"";"";"";"";
"05.10.2017 08:30";"26.2";"";"752.8";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"24.9";"";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"04.10.2017 17:30";"29.4";"";"752.9";"";"90";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"32.2";"";"";"300-600";"";"";"1.0";"27.5";"";"";"";"";"";"";
"04.10.2017 08:30";"26.0";"";"752.5";"";"94";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"24.2";"";"";"";"300-600";"";"";"1.0";"24.9";"";"";"";"";"";"";
