# Weather station Balurghat, India, WMO_ID=42506,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42506&lang=en
#
"Local time in Balurghat";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.8";"756.3";"758.5";"";"93";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"28.3";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"30.12.2017 17:30";"27.2";"756.3";"758.5";"";"93";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"28.2";"";"";"600-1000";"";"";"2.0";"26.0";"";"";"";"";"";"";
"29.12.2017 08:30";"23.6";"756.4";"758.7";"";"93";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"13.2";"";"";"";"600-1000";"";"";"2.0";"22.4";"";"";"";"";"";"";
"28.12.2017 17:30";"25.2";"756.3";"758.6";"";"94";"Wind blowing from the south-east";"0";"";"";"50%.";" ";"";"";"";"26.3";"";"";"300-600";"";"";"2.0";"24.2";"";"";"";"";"";"";
"28.12.2017 08:30";"23.6";"756.5";"758.8";"";"93";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"13.2";"";"";"";"300-600";"";"";"1.0";"22.4";"";"";"";"";"";"";
"27.12.2017 17:30";"26.4";"756.3";"758.5";"";"88";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"26.8";"";"";"600-1000";"";"";"2.0";"24.2";"";"";"";"";"";"";
"27.12.2017 08:30";"24.0";"756.2";"758.5";"";"94";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"16.0";"";"";"";"600-1000";"";"";"2.0";"23.0";"";"";"";"";"";"";
"26.12.2017 17:30";"26.2";"756.4";"758.6";"";"89";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"27.0";"";"";"300-600";"";"";"2.0";"24.3";"";"";"";"";"";"";
"26.12.2017 08:30";"24.2";"756.2";"758.5";"";"93";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"17.2";"";"";"";"600-1000";"";"";"2.0";"23.0";"";"";"";"";"";"";
"25.12.2017 17:30";"25.4";"756.2";"758.5";"";"93";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"27.2";"";"";"300-600";"";"";"1.0";"24.2";"";"";"";"";"";"";
"25.12.2017 08:30";"24.0";"756.3";"758.6";"";"94";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"16.2";"";"";"";"600-1000";"";"";"2.0";"23.0";"";"";"";"";"";"";
"24.12.2017 08:30";"24.6";"756.1";"758.4";"";"94";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"17.2";"";"";"";"600-1000";"";"";"2.0";"23.6";"";"";"";"";"";"";
"23.12.2017 17:30";"25.6";"756.2";"758.5";"";"93";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"28.2";"";"";"600-1000";"";"";"2.0";"24.3";"";"";"";"";"";"";
"22.12.2017 17:30";"26.6";"756.4";"758.6";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"28.0";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"22.12.2017 08:30";"23.0";"756.2";"758.5";"";"95";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"16.0";"";"";"";"600-1000";"";"";"2.0";"22.2";"";"";"";"";"";"";
"21.12.2017 08:30";"22.0";"756.2";"758.5";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"14.2";"";"";"";"600-1000";"";"";"2.0";"20.4";"";"";"";"";"";"";
"20.12.2017 17:30";"25.6";"758.5";"760.8";"";"91";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"27.2";"";"";"600-1000";"";"";"2.0";"24.0";"";"";"";"";"";"";
"20.12.2017 08:30";"22.0";"755.9";"758.2";"";"92";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"14.0";"";"";"";"600-1000";"";"";"2.0";"20.6";"";"";"";"";"";"";
"19.12.2017 08:30";"22.0";"756.4";"758.7";"";"95";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"14.2";"";"";"";"600-1000";"";"";"2.0";"21.2";"";"";"";"";"";"";
"18.12.2017 17:30";"24.6";"756.3";"758.6";"";"92";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"26.2";"";"";"600-1000";"";"";"2.0";"23.2";"";"";"";"";"";"";
"18.12.2017 08:30";"23.0";"755.9";"758.2";"";"95";"Wind blowing from the south";"0";"";"";"60%.";" ";"";"";"14.2";"";"";"";"600-1000";"";"";"2.0";"22.2";"";"";"";"";"";"";
"17.12.2017 08:30";"24.0";"755.9";"758.2";"";"94";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"16.2";"";"";"";"600-1000";"";"";"2.0";"23.0";"";"";"";"";"";"";
"16.12.2017 17:30";"25.6";"755.9";"758.2";"";"91";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"27.0";"";"";"600-1000";"";"";"2.0";"24.0";"";"";"";"";"";"";
"16.12.2017 08:30";"23.6";"755.8";"758.1";"";"91";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"16.2";"";"";"";"300-600";"";"";"4.0";"22.0";"";"";"";"";"";"";
"15.12.2017 17:30";"25.8";"756.0";"758.2";"";"90";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"27.2";"";"";"600-1000";"";"";"2.0";"24.0";"";"";"";"";"";"";
"15.12.2017 08:30";"24.0";"755.5";"757.8";"";"94";"Wind blowing from the south";"0";"";"";"60%.";" ";"";"";"16.8";"";"";"";"600-1000";"";"";"2.0";"23.0";"";"";"";"";"";"";
"14.12.2017 17:30";"25.8";"755.6";"757.8";"";"90";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"27.2";"";"";"600-1000";"";"";"2.0";"24.0";"";"";"";"";"";"";
"14.12.2017 08:30";"24.0";"755.2";"757.5";"";"89";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"17.0";"";"";"";"300-600";"";"";"1.0";"22.0";"";"";"";"";"";"";
"13.12.2017 17:30";"26.0";"";"";"";"91";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"28.7";"";"";"600-1000";"";"";"2.0";"24.4";"";"";"";"";"";"";
"12.12.2017 17:30";"26.2";"755.5";"757.7";"";"90";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"27.8";"";"";"600-1000";"";"";"2.0";"24.4";"";"";"";"";"";"";
"12.12.2017 08:30";"24.0";"";"757.7";"";"89";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"17.6";"";"";"";"300-600";"";"";"2.0";"22.1";"";"";"";"";"";"";
"11.12.2017 08:30";"24.0";"";"757.3";"";"90";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.0";"";"";"";"300-600";"";"";"1.0";"22.3";"";"";"";"";"";"";
"10.12.2017 17:30";"26.0";"";"757.2";"";"89";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"28.9";"";"";"600-1000";"";"";"2.0";"24.0";"";"";"";"";"";"";
"09.12.2017 08:30";"24.2";"";"757.2";"";"89";"Wind blowing from the south";"0";"";"";"50%.";" ";"";"";"17.6";"";"";"";"300-600";"";"";"1.0";"22.3";"";"";"";"";"";"";
"08.12.2017 17:30";"26.2";"";"757.9";"";"91";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"28.6";"";"";"600-1000";"";"";"2.0";"24.6";"";"";"";"";"";"";
"07.12.2017 08:30";"24.6";"";"757.2";"";"88";"Wind blowing from the south-east";"0";"";"";"50%.";" ";"";"";"18.6";"";"";"";"300-600";"";"";"2.0";"22.5";"";"";"";"";"";"";
"06.12.2017 20:30";"16.0";"";"757.3";"";"88";"";"";"";"";"";" ";"";"";"";"30.3";"";"";"300-600";"";"";"1.0";"14.0";"";"";"";"";"";"";
"06.12.2017 17:30";"16.0";"";"757.3";"";"88";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"30.3";"";"";"300-600";"";"";"1.0";"14.0";"";"";"";"";"";"";
"06.12.2017 08:30";"24.2";"";"757.0";"";"95";"Wind blowing from the south-east";"0";"";"";"60%.";" ";"";"";"19.8";"";"";"";"600-1000";"";"";"2.0";"23.4";"";"";"";"";"";"";
"05.12.2017 17:30";"26.7";"";"757.0";"";"88";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"30.2";"";"";"300-600";"";"";"2.0";"24.5";"";"";"";"";"";"";
"05.12.2017 08:30";"25.0";"";"756.8";"";"91";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"20.9";"";"";"";"600-1000";"";"";"2.0";"23.5";"";"";"";"";"";"";
"04.12.2017 17:30";"26.8";"";"757.2";"";"86";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"30.6";"";"";"600-1000";"";"";"4.0";"24.3";"";"";"";"";"";"";
"30.11.2017 08:30";"24.8";"";"756.6";"";"93";"Wind blowing from the south";"0";"";"";"60%.";" ";"";"";"22.2";"";"";"";"600-1000";"";"";"2.0";"23.6";"";"";"";"";"";"";
"22.11.2017 17:30";"26.8";"754.8";"757.0";"";"94";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"30.8";"";"";"600-1000";"";"";"2.0";"25.7";"";"";"";"";"";"";
"22.11.2017 08:30";"25.0";"754.4";"756.7";"";"91";"";"";"";"";"60%.";" ";"";"";"21.9";"";"";"";"600-1000";"";"";"4.0";"23.5";"";"";"";"";"";"";
"21.11.2017 17:30";"27.0";"755.1";"757.3";"";"92";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"31.2";"";"";"600-1000";"";"";"2.0";"25.6";"";"";"";"";"";"";
"21.11.2017 08:30";"25.2";"754.7";"757.0";"";"91";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"22.4";"";"";"";"600-1000";"";"";"2.0";"23.7";"";"";"";"";"";"";
"20.11.2017 17:30";"27.4";"754.5";"756.7";"";"96";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"31.4";"";"";"300-600";"";"";"1.0";"26.7";"";"";"";"";"";"";
"20.11.2017 08:30";"25.4";"754.4";"756.6";"";"90";"Wind blowing from the east";"0";"";"";"50%.";" ";"";"";"22.5";"";"";"";"300-600";"";"";"1.0";"23.7";"";"";"";"";"";"";
"19.11.2017 08:30";"25.0";"753.9";"756.1";"";"92";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"22.0";"";"";"";"300-600";"";"";"1.0";"23.6";"";"";"";"";"";"";
"18.11.2017 17:30";"26.7";"754.1";"756.3";"";"88";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"";"";"";"600-1000";"";"";"1.0";"24.5";"";"";"";"";"";"";
