# Weather station Uluberia, India, WMO_ID=42805,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42805&lang=en
#
"Local time in Uluberia";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 08:30";"16.8";"";"763.5";"";"82";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"13.8";"";"";"";"300-600";"";"";"4.0";"13.6";"";"";"";"";"";"";
"30.12.2017 08:30";"17.0";"";"764.2";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"14.0";"";"";"";"300-600";"";"";"1.0";"13.8";"";"";"";"";"";"";
"29.12.2017 17:30";"21.4";"";"761.8";"";"81";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"24.8";"";"";"300-600";"";"";"4.0";"18.0";"";"";"";"";"";"";
"29.12.2017 08:30";"15.8";"";"765.0";"";"87";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.6";"";"";"";"300-600";"";"";"4.0";"13.6";"";"";"";"";"";"";
"28.12.2017 17:30";"21.0";"";"761.0";"";"86";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"23.0";"";"";"300-600";"";"";"4.0";"18.5";"";"";"";"";"";"";
"28.12.2017 08:30";"16.0";"";"765.1";"";"81";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.0";"";"";"";"300-600";"";"";"4.0";"12.8";"";"";"";"";"";"";
"27.12.2017 17:30";"23.8";"";"759.5";"";"62";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"23.8";"";"";"300-600";"";"";"4.0";"16.0";"";"";"";"";"";"";
"27.12.2017 08:30";"17.0";"";"761.5";"";"88";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"11.4";"";"";"";"300-600";"";"";"4.0";"15.0";"";"";"";"";"";"";
"26.12.2017 17:30";"21.0";"";"760.3";"";"75";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"22.4";"";"";"300-600";"";"";"4.0";"16.4";"";"";"";"";"";"";
"26.12.2017 08:30";"18.0";"761.1";"761.5";"";"88";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"11.8";"";"";"";"300-600";"";"";"4.0";"16.0";"";"";"";"";"";"";
