# Weather station Burdwan, India, WMO_ID=42709,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42709&lang=en
#
"Local time in Burdwan";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"23.2";"757.0";"759.1";"";"72";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"31.12.2017 08:30";"16.8";"759.1";"761.2";"";"73";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"30.12.2017 17:30";"22.8";"757.6";"759.7";"";"76";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"30.12.2017 08:30";"17.2";"759.8";"761.9";"";"69";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"29.12.2017 17:30";"22.8";"758.3";"760.4";"";"76";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"26.4";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"29.12.2017 08:30";"15.8";"759.0";"761.2";"";"68";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"28.12.2017 17:30";"21.0";"759.1";"761.2";"";"77";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"28.12.2017 08:30";"16.2";"759.3";"761.5";"";"71";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"27.12.2017 17:30";"22.8";"759.1";"761.2";"";"71";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"26.4";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"27.12.2017 08:30";"17.0";"759.4";"761.5";"";"63";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
