# Weather station Burdwan, India, WMO_ID=42709,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42709&lang=en
#
"Local time in Burdwan";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 17:30";"22.8";"757.6";"759.7";"";"72";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"26.12.2017 08:30";"17.6";"759.1";"761.2";"";"76";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"25.12.2017 17:30";"23.2";"757.6";"759.7";"";"67";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"25.12.2017 08:30";"17.8";"758.6";"760.7";"";"79";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"24.12.2017 08:30";"16.2";"758.5";"760.7";"";"80";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"23.12.2017 17:30";"22.8";"758.3";"760.4";"";"60";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"23.12.2017 08:30";"20.2";"759.1";"761.2";"";"69";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"15.3";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"22.12.2017 17:30";"21.0";"758.6";"760.7";"";"77";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"26.4";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"22.12.2017 08:30";"18.8";"759.1";"761.2";"";"68";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"21.12.2017 17:30";"21.8";"757.6";"759.7";"";"66";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"21.12.2017 08:30";"15.0";"757.8";"760.0";"";"79";"Wind blowing from the south";"";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.4";"";"";"";"";"";"";"2.0";"11.4";"";"";"";"";"";"";
"20.12.2017 17:30";"17.8";"757.6";"759.7";"";"73";"Wind blowing from the east";"";"";"";"no clouds";" ";"";"";"";"21.0";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"20.12.2017 08:30";"15.2";"758.2";"760.4";"";"71";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"19.12.2017 17:30";"18.8";"758.3";"760.4";"";"70";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"21.5";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"19.12.2017 08:30";"13.8";"758.5";"760.7";"";"78";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"18.12.2017 17:30";"21.6";"757.9";"760.0";"";"59";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"18.12.2017 08:30";"14.4";"759.0";"761.2";"";"76";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"17.12.2017 17:30";"20.8";"756.4";"758.5";"";"60";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"24.8";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"17.12.2017 08:30";"16.8";"758.6";"760.7";"";"65";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"13.3";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"16.12.2017 17:30";"24.8";"756.1";"758.2";"";"71";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"16.12.2017 08:30";"21.8";"757.1";"759.2";"";"69";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"15.12.2017 17:30";"25.0";"755.6";"757.7";"";"68";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"15.12.2017 08:30";"21.4";"757.6";"759.7";"";"71";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"18.8";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"14.12.2017 17:30";"24.8";"755.5";"757.6";"";"69";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"14.12.2017 08:30";"21.0";"757.1";"759.2";"";"73";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"13.12.2017 17:30";"25.4";"755.6";"757.7";"";"64";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"13.12.2017 08:30";"24.6";"757.6";"759.7";"";"69";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"12.12.2017 17:30";"25.8";"755.5";"757.6";"";"67";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"12.12.2017 08:30";"21.8";"757.6";"759.7";"";"71";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"11.12.2017 17:30";"25.8";"755.6";"757.7";"";"64";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"11.12.2017 08:30";"23.2";"757.7";"759.8";"";"78";"Wind blowing from the north";"";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"20.0";"";"";"";"";"";"";"2.0";"19.1";"";"";"";"";"";"";
"10.12.2017 17:30";"21.0";"758.6";"760.7";"";"64";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.8";"";"";"";"";"";"";
"10.12.2017 08:30";"21.2";"755.8";"757.9";"";"72";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"17.8";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"15.9";"";"";"";"";"";"";
"09.12.2017 08:30";"18.2";"758.5";"760.6";"";"63";"Wind blowing from the north";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"13.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.1";"";"";"";"";"";"";
"08.12.2017 17:30";"24.0";"756.1";"758.2";"";"58";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"27.4";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"08.12.2017 08:30";"21.0";"756.1";"758.2";"";"65";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"18.8";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.2";"";"";"";"";"";"";
"07.12.2017 17:30";"22.0";"756.1";"758.2";"";"64";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"07.12.2017 08:30";"20.2";"757.6";"759.7";"";"64";"Wind blowing from the east";"";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"06.12.2017 20:30";"22.8";"755.6";"757.7";"";"70";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"06.12.2017 17:30";"22.8";"755.6";"757.7";"";"70";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"06.12.2017 08:30";"18.0";"757.6";"759.7";"";"72";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"14.3";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"05.12.2017 17:30";"25.8";"755.5";"757.6";"";"49";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"05.12.2017 08:30";"18.8";"756.8";"758.9";"";"73";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"04.12.2017 17:30";"24.8";"755.6";"757.7";"";"52";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"0.5";"14.2";"";"";"";"";"";"";
"04.12.2017 08:30";"18.8";"758.6";"760.7";"";"73";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"14.3";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"03.12.2017 17:30";"26.2";"756.1";"758.2";"";"62";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"03.12.2017 08:30";"19.2";"756.0";"758.1";"";"70";"Wind blowing from the north-west";"";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"02.12.2017 17:30";"26.0";"756.4";"758.5";"";"63";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"02.12.2017 08:30";"18.8";"757.4";"759.5";"";"70";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"01.12.2017 17:30";"26.0";"756.1";"758.2";"";"66";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"01.12.2017 08:30";"18.7";"757.4";"759.5";"";"69";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"30.11.2017 17:30";"25.0";"756.1";"758.2";"";"68";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"30.11.2017 08:30";"19.0";"757.1";"759.2";"";"71";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"29.11.2017 17:30";"26.8";"756.2";"758.3";"";"60";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"29.11.2017 08:30";"19.8";"757.9";"760.0";"";"56";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"28.11.2017 17:30";"25.2";"756.4";"758.5";"";"65";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"28.11.2017 08:30";"19.2";"757.9";"760.0";"";"67";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"27.11.2017 17:30";"26.0";"756.8";"758.9";"";"61";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"27.11.2017 08:30";"19.2";"758.5";"760.6";"";"68";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"26.11.2017 17:30";"23.8";"757.2";"759.3";"";"62";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"26.11.2017 08:30";"19.0";"757.5";"759.6";"";"72";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"13.3";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"25.11.2017 17:30";"21.8";"757.5";"759.6";"";"73";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"25.11.2017 08:30";"18.8";"759.7";"761.8";"";"61";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"24.11.2017 17:30";"21.4";"757.6";"759.7";"";"64";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"24.11.2017 08:30";"18.2";"757.9";"760.0";"";"71";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"23.11.2017 17:30";"18.0";"757.6";"759.7";"";"70";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"23.11.2017 08:30";"18.0";"757.9";"760.0";"";"70";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"13.3";"";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"22.11.2017 17:30";"25.8";"756.4";"758.5";"";"59";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"22.11.2017 08:30";"20.4";"757.6";"759.7";"";"64";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"21.11.2017 17:30";"27.0";"757.9";"760.0";"";"67";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"21.11.2017 08:30";"23.4";"757.6";"759.7";"";"70";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"20.11.2017 17:30";"28.4";"755.6";"757.7";"";"65";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"20.11.2017 08:30";"24.2";"758.2";"760.3";"";"68";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"18.6";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"19.11.2017 17:30";"27.8";"756.1";"758.2";"";"60";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"19.11.2017 08:30";"25.2";"757.6";"759.7";"";"68";"Wind blowing from the west";"";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"19.0";"";"";"";"";"";"";"2.0";"18.8";"";"";"";"";"";"";
"18.11.2017 17:30";"27.0";"755.6";"757.7";"";"62";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"28.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"19.0";"";"";"";"";"";"";
"18.11.2017 08:30";"24.2";"759.9";"762.0";"";"66";"Wind blowing from the south";"";"";"";"100%.";"Haze. ";"Rain.";"Rain.";"18.8";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.5";"";"";"";"";"";"";
"17.11.2017 17:30";"26.0";"757.6";"759.7";"";"64";"Wind blowing from the south";"";"";"";"100%.";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"29.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.6";"";"";"";"";"";"";
"17.11.2017 08:30";"24.0";"757.6";"759.7";"";"68";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"18.5";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.6";"";"";"";"";"";"";
"16.11.2017 17:30";"26.8";"756.1";"758.2";"";"62";"Wind blowing from the west";"";"";"";"no clouds";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"28.4";"";"";"";"";"";"2.0";"19.0";"";"";"";"";"";"";
"16.11.2017 08:30";"25.0";"758.3";"760.4";"";"75";"Wind blowing from the west";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"18.8";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.3";"";"";"";"";"";"";
"15.11.2017 17:30";"26.0";"756.4";"758.5";"";"64";"Wind blowing from the south";"";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"28.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.6";"";"";"";"";"";"";
"15.11.2017 08:30";"24.8";"758.3";"760.4";"";"64";"Wind blowing from the south";"";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"18.0";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.6";"";"";"";"";"";"";
"14.11.2017 17:30";"27.0";"755.6";"757.7";"";"60";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"14.11.2017 08:30";"25.0";"757.6";"759.7";"";"68";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"18.8";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"13.11.2017 17:30";"27.8";"756.1";"758.2";"";"61";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"13.11.2017 08:30";"25.2";"757.4";"759.5";"";"66";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"12.11.2017 17:30";"27.6";"756.1";"758.2";"";"60";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"12.11.2017 08:30";"24.8";"758.3";"760.4";"";"69";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"11.11.2017 17:30";"28.0";"756.1";"758.2";"";"63";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"11.11.2017 08:30";"25.0";"756.4";"758.5";"";"73";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"19.6";"";"";"";"";"";"";"4.0";"19.8";"";"";"";"";"";"";
"10.11.2017 17:30";"28.0";"756.1";"758.2";"";"66";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"10.11.2017 11:30";"25.2";"757.9";"760.0";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"";"20.0";"";"";"";"";"";"";
"10.11.2017 08:30";"25.2";"757.9";"760.0";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"09.11.2017 17:30";"27.8";"756.4";"758.5";"";"67";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"09.11.2017 08:30";"25.2";"758.4";"760.5";"";"74";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"08.11.2017 17:30";"28.0";"756.4";"758.5";"";"76";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"08.11.2017 08:30";"25.6";"754.3";"756.4";"";"65";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"07.11.2017 17:30";"27.8";"756.1";"758.2";"";"72";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"07.11.2017 08:30";"25.6";"754.3";"756.4";"";"65";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"06.11.2017 17:30";"29.0";"756.1";"758.2";"";"70";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"06.11.2017 08:30";"26.0";"757.2";"759.3";"";"70";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"05.11.2017 17:30";"27.8";"756.4";"758.5";"";"69";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"05.11.2017 08:30";"24.8";"758.0";"760.1";"";"67";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"04.11.2017 17:30";"28.8";"755.6";"757.7";"";"76";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"24.2";"";"";"";"";"";"";
"04.11.2017 08:30";"25.2";"759.1";"761.2";"";"74";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"03.11.2017 17:30";"27.8";"756.4";"758.5";"";"63";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"03.11.2017 08:30";"25.8";"757.7";"759.8";"";"67";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"02.11.2017 17:30";"26.0";"756.5";"758.6";"";"70";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
