# Weather station Keongjhargarh, India, WMO_ID=42891,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42891&lang=en
#
"Local time in Keongjhargarh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.12.2017 14:30";"26.6";"718.5";"759.4";"-1.5";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"25.12.2017 11:30";"24.2";"720.0";"761.3";"-0.7";"40";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"25.12.2017 08:30";"15.8";"720.7";"763.3";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"24.12.2017 17:30";"20.6";"718.7";"760.5";"0.1";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"2.0";"12.9";"";"";"";"";"";"";
"24.12.2017 14:30";"25.6";"718.6";"759.7";"-2.1";"35";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"24.12.2017 11:30";"23.8";"720.7";"762.1";"-0.2";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"24.12.2017 08:30";"15.6";"720.9";"763.6";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.9";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"23.12.2017 17:30";"22.0";"718.9";"760.5";"0.4";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"2.0";"15.2";"";"";"";"";"";"";
"23.12.2017 14:30";"25.8";"718.5";"759.5";"-1.7";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"23.12.2017 11:30";"23.2";"720.2";"761.7";"-0.6";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"23.12.2017 08:30";"16.4";"720.8";"763.3";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"22.12.2017 17:30";"22.0";"720.0";"761.7";"-0.1";"68";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"15.9";"";"";"";"";"";"";
"22.12.2017 14:30";"25.6";"720.1";"761.2";"-1.8";"47";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"22.12.2017 11:30";"23.2";"721.9";"763.5";"-1.0";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"22.12.2017 08:30";"16.6";"722.9";"765.5";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"21.12.2017 17:30";"20.6";"721.2";"763.1";"0.1";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.9";"";"";"";"";"";"2.0";"16.5";"";"";"";"";"";"";
"21.12.2017 14:30";"23.6";"721.1";"762.6";"-2.0";"57";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.5";"";"";"";"";"";"";
"21.12.2017 11:30";"22.2";"723.1";"764.9";"-0.2";"61";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.4";"";"";"";"";"";"";
"21.12.2017 08:30";"16.6";"723.3";"766.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"20.12.2017 17:30";"19.6";"721.3";"763.4";"0.2";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"2.0";"14.3";"";"";"";"";"";"";
"20.12.2017 14:30";"24.6";"721.1";"762.5";"-2.1";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"20.12.2017 11:30";"22.6";"723.2";"765.0";"-0.7";"47";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"20.12.2017 08:30";"15.6";"723.9";"766.7";"";"65";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"8.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"8.9";"";"";"";"";"";"";
"19.12.2017 17:30";"19.4";"720.9";"763.0";"0.2";"58";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"24.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"11.0";"";"";"";"";"";"";
"19.12.2017 14:30";"24.0";"720.7";"762.1";"-2.1";"33";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"6.7";"";"";"";"";"";"";
"19.12.2017 11:30";"22.6";"722.8";"764.5";"-0.3";"33";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"5.5";"";"";"";"";"";"";
"19.12.2017 08:30";"17.6";"723.1";"765.6";"";"51";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"8.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"7.4";"";"";"";"";"";"";
"18.12.2017 17:30";"19.8";"721.2";"763.3";"0.1";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.7";"";"";"";"";"";"2.0";"10.2";"";"";"";"";"";"";
"18.12.2017 14:30";"25.0";"721.1";"762.4";"-2.0";"20";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"0.4";"";"";"";"";"";"";
"18.12.2017 11:30";"22.6";"723.1";"764.9";"-0.6";"27";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.6";"";"";"";"";"";"";
"18.12.2017 08:30";"16.6";"723.7";"766.4";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.9";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
