# Weather station Cuttack, India, WMO_ID=42970,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42970&lang=en
#
"Local time in Cuttack";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.12.2017 17:30";"23.2";"757.5";"759.9";"";"78";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"23.12.2017 08:30";"20.0";"760.7";"763.1";"";"91";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"22.12.2017 17:30";"24.4";"758.2";"760.6";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"22.12.2017 08:30";"19.6";"762.4";"764.8";"";"88";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"21.12.2017 17:30";"23.0";"759.9";"762.3";"";"78";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"21.12.2017 08:30";"18.4";"763.2";"765.6";"";"90";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"20.12.2017 17:30";"21.6";"760.7";"763.1";"";"72";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"20.12.2017 08:30";"13.4";"763.0";"765.5";"";"";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"19.12.2017 17:30";"23.4";"759.8";"762.2";"";"62";"Wind blowing from the north-northeast";"1";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"26.5";"";"";"600-1000";"";"";"4.0";"15.8";"";"";"";"";"";"";
"19.12.2017 08:30";"18.0";"763.1";"765.5";"";"69";"Wind blowing from the east-northeast";"1";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"11.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.3";"";"";"";"";"";"";
"18.12.2017 17:30";"22.0";"759.8";"762.2";"";"66";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"18.12.2017 08:30";"19.6";"763.0";"765.4";"";"";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"17.12.2017 17:30";"25.0";"759.6";"762.0";"";"68";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"17.12.2017 08:30";"21.0";"762.9";"765.3";"";"82";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"16.12.2017 17:30";"25.4";"758.9";"761.2";"";"69";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"16.12.2017 08:30";"21.4";"762.1";"764.5";"";"87";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"15.12.2017 17:30";"25.4";"758.9";"761.2";"";"73";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"15.12.2017 08:30";"21.6";"761.2";"763.6";"";"89";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"14.12.2017 17:30";"25.0";"758.2";"760.5";"";"77";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"14.12.2017 08:30";"22.0";"760.5";"762.9";"";"91";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"13.12.2017 17:30";"25.0";"757.4";"759.7";"";"79";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"13.12.2017 08:30";"22.0";"760.5";"762.9";"";"96";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"19.4";"";"";"";"";"";"";"0.5";"21.4";"";"";"";"";"";"";
"12.12.2017 17:30";"25.0";"757.4";"759.7";"";"83";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"12.12.2017 08:30";"27.2";"759.9";"762.2";"";"69";"Wind blowing from the north";"1";"";"";"no clouds";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"18.2";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"11.12.2017 17:30";"25.4";"756.8";"759.1";"";"84";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"11.12.2017 08:30";"22.0";"759.9";"762.3";"";"95";"Wind blowing from the north-northeast";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"18.5";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"10.12.2017 17:30";"27.0";"755.3";"757.6";"";"78";"Wind blowing from the west-northwest";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"29.2";"";"";"600-1000";"";"";"4.0";"22.9";"";"";"";"";"";"";
"10.12.2017 08:30";"23.0";"757.6";"760.0";"";"78";"Wind blowing from the west-northwest";"1";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"19.0";"";"";"";"300-600";"";"";"4.0";"18.9";"";"";"";"";"";"";
"09.12.2017 17:30";"22.6";"754.1";"756.5";"";"83";"Wind blowing from the north";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"23.0";"";"";"600-1000";"";"";"4.0";"19.5";"";"";"";"";"";"";
"09.12.2017 08:30";"20.4";"757.0";"759.4";"";"84";"Wind blowing from the north-northwest";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"16.0";"";"";"";"600-1000";"";"";"4.0";"17.5";"";"";"";"";"";"";
"08.12.2017 17:30";"19.0";"754.8";"757.2";"";"91";"Wind blowing from the north-northeast";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"20.5";"";"";"600-1000";"";"";"4.0";"17.4";"";"";"";"";"";"";
"08.12.2017 08:30";"20.4";"758.3";"760.7";"";"81";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"17.5";"";"";"";"600-1000";"";"";"4.0";"17.1";"";"";"";"";"";"";
"07.12.2017 17:30";"22.8";"755.4";"757.8";"";"73";"Wind blowing from the north-northeast";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"24.5";"";"";"600-1000";"";"";"4.0";"17.7";"";"";"";"";"";"";
"07.12.2017 08:30";"18.0";"757.9";"760.3";"";"84";"Wind blowing from the north-northwest";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"13.0";"";"";"";"600-1000";"";"";"4.0";"15.3";"";"";"";"";"";"";
"06.12.2017 17:30";"22.2";"756.2";"758.6";"";"66";"Wind blowing from the east-northeast";"1";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"26.6";"";"";"600-1000";"";"";"4.0";"15.5";"";"";"";"";"";"";
"06.12.2017 08:30";"17.6";"758.5";"760.9";"";"78";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"05.12.2017 17:30";"22.8";"756.1";"758.5";"";"65";"Wind blowing from the north-northeast";"1";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"26.5";"";"";"600-1000";"";"";"4.0";"15.9";"";"";"";"";"";"";
"05.12.2017 08:30";"18.2";"759.3";"761.7";"";"82";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"04.12.2017 17:30";"22.0";"756.1";"758.5";"";"74";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"04.12.2017 08:30";"18.0";"759.4";"761.8";"";"84";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"03.12.2017 17:30";"22.4";"757.8";"760.2";"";"74";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"03.12.2017 08:30";"19.0";"760.9";"763.3";"";"77";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"02.12.2017 17:30";"22.4";"757.6";"760.0";"";"73";"Wind blowing from the north";"1";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"27.0";"";"";"600-1000";"";"";"4.0";"17.2";"";"";"";"";"";"";
"02.12.2017 08:30";"19.4";"760.9";"763.3";"";"77";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"01.12.2017 08:30";"20.0";"759.7";"762.1";"";"76";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"30.11.2017 17:30";"24.0";"757.5";"759.9";"";"72";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"30.11.2017 08:30";"20.0";"760.6";"763.0";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"29.11.2017 17:30";"23.2";"758.2";"760.6";"";"67";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"29.11.2017 08:30";"20.6";"760.6";"763.0";"";"76";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"28.11.2017 08:30";"19.0";"759.1";"761.5";"";"84";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"27.11.2017 17:30";"23.4";"756.7";"759.1";"";"75";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"27.11.2017 08:30";"20.4";"759.9";"762.3";"";"87";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"26.11.2017 17:30";"23.6";"757.5";"759.9";"";"50";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"26.11.2017 08:30";"19.6";"760.6";"763.0";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"25.11.2017 17:30";"24.0";"757.5";"759.9";"";"71";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"25.11.2017 08:30";"20.4";"760.6";"763.0";"";"78";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"24.11.2017 17:30";"23.4";"756.6";"759.0";"";"69";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"24.11.2017 08:30";"20.4";"759.1";"761.5";"";"69";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"23.11.2017 17:30";"23.6";"755.0";"757.4";"";"67";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"23.11.2017 08:30";"22.0";"757.4";"759.8";"";"71";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"22.11.2017 17:30";"25.0";"755.8";"758.1";"";"70";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"22.11.2017 08:30";"23.0";"758.1";"760.5";"";"74";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"18.4";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"21.11.2017 17:30";"25.8";"756.5";"758.8";"";"73";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"21.11.2017 08:30";"25.6";"758.8";"761.1";"";"87";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"4.0";"23.3";"";"";"";"";"";"";
"20.11.2017 17:30";"28.0";"755.6";"757.9";"";"80";"Wind blowing from the north-northwest";"1";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"30.4";"";"";"600-1000";"";"";"4.0";"24.2";"";"";"";"";"";"";
"20.11.2017 08:30";"26.2";"758.8";"761.1";"";"94";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"25.1";"";"";"";"";"";"";
"19.11.2017 17:30";"27.0";"755.8";"758.1";"";"90";"Wind blowing from the west-northwest";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"30.5";"";"";"600-1000";"";"";"4.0";"25.3";"";"";"";"";"";"";
"18.11.2017 17:30";"26.4";"755.1";"757.4";"";"94";"Wind blowing from the north-northwest";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"26.6";"";"";"600-1000";"";"";"4.0";"25.3";"";"";"";"";"";"";
"18.11.2017 08:30";"24.4";"757.0";"759.3";"";"96";"Wind blowing from the north-northeast";"1";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"20.8";"";"";"";"600-1000";"";"";"4.0";"23.8";"";"";"";"";"";"";
"17.11.2017 17:30";"23.2";"754.3";"756.7";"";"100";"Wind blowing from the north-northeast";"1";"";"";"90  or more, but not 100%";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"23.6";"";"";"600-1000";"";"";"4.0";"23.2";"";"";"";"";"";"";
"17.11.2017 08:30";"23.0";"756.7";"759.1";"";"95";"Wind blowing from the north-northeast";"1";"";"";"90  or more, but not 100%";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"19.8";"";"";"";"600-1000";"";"";"4.0";"22.1";"";"";"";"";"";"";
"16.11.2017 17:30";"23.0";"754.3";"756.7";"";"100";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"";"";"600-1000";"";"";"4.0";"23.0";"";"";"";"";"";"";
"16.11.2017 08:30";"22.8";"756.6";"759.0";"";"96";"Wind blowing from the north-northeast";"1";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"20.0";"";"";"";"600-1000";"";"";"4.0";"22.2";"";"";"";"";"";"";
"15.11.2017 17:30";"22.0";"754.3";"756.7";"";"100";"Wind blowing from the north-northwest";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"22.4";"";"";"600-1000";"";"";"4.0";"22.0";"";"";"";"";"";"";
"15.11.2017 08:30";"21.0";"756.5";"758.9";"";"96";"Wind blowing from the north-northeast";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.0";"";"";"";"600-1000";"";"";"4.0";"20.4";"";"";"";"";"";"";
"14.11.2017 17:30";"25.0";"754.2";"756.5";"";"71";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"";"";"600-1000";"";"";"4.0";"19.4";"";"";"";"";"";"";
"14.11.2017 08:30";"24.6";"756.4";"758.7";"";"66";"Wind blowing from the east-northeast";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"20.5";"";"";"";"600-1000";"";"";"4.0";"17.9";"";"";"";"";"";"";
"13.11.2017 17:30";"26.6";"754.1";"756.4";"";"67";"Wind blowing from the east-northeast";"1";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"";"";"600-1000";"";"";"4.0";"19.9";"";"";"";"";"";"";
"13.11.2017 08:30";"25.6";"757.2";"759.5";"";"63";"Wind blowing from the north-east";"1";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"19.4";"";"";"";"600-1000";"";"";"4.0";"17.9";"";"";"";"";"";"";
"12.11.2017 17:30";"26.2";"754.8";"757.1";"";"68";"Wind blowing from the east-northeast";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.2";"";"";"600-1000";"";"";"4.0";"19.7";"";"";"";"";"";"";
"12.11.2017 08:30";"23.2";"757.3";"759.7";"";"78";"Wind blowing from the south-west";"1";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"18.0";"";"";"";"600-1000";"";"";"4.0";"19.1";"";"";"";"";"";"";
"11.11.2017 17:30";"26.2";"755.6";"757.9";"";"69";"Wind blowing from the north-northeast";"1";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"29.5";"";"";"600-1000";"";"";"4.0";"20.1";"";"";"";"";"";"";
"11.11.2017 08:30";"23.6";"758.8";"761.2";"";"75";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"10.11.2017 17:30";"26.0";"755.6";"757.9";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"10.11.2017 08:30";"23.6";"756.9";"759.3";"";"78";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"09.11.2017 17:30";"28.0";"755.5";"757.8";"";"63";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"09.11.2017 08:30";"25.0";"758.6";"761.0";"";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"19.5";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
