# Weather station Cuttack, India, WMO_ID=42970,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42970&lang=en
#
"Local time in Cuttack";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"24.0";"756.2";"758.6";"";"60";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"27.0";"";"";"600-1000";"";"";"4.0";"15.8";"";"";"";"";"";"";
"31.12.2017 08:30";"19.4";"760.0";"762.4";"";"81";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"30.12.2017 17:30";"23.0";"757.6";"760.0";"";"67";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"30.12.2017 08:30";"17.4";"760.6";"763.0";"";"82";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"29.12.2017 17:30";"23.4";"758.4";"760.8";"";"67";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"29.12.2017 08:30";"17.8";"761.7";"764.1";"";"77";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"28.12.2017 17:30";"23.0";"757.6";"760.0";"";"67";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"28.12.2017 08:30";"17.6";"760.9";"763.3";"";"75";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"27.12.2017 17:30";"22.0";"757.7";"760.1";"";"66";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"27.12.2017 08:30";"18.0";"761.8";"764.2";"";"66";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"26.12.2017 17:30";"22.6";"757.6";"760.0";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"26.12.2017 08:30";"19.0";"760.8";"763.2";"";"83";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"25.12.2017 17:30";"24.0";"756.7";"759.1";"";"71";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"25.12.2017 08:30";"19.4";"760.8";"763.2";"";"87";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"24.12.2017 17:30";"23.2";"756.7";"759.1";"";"73";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"24.12.2017 08:30";"19.4";"760.8";"763.2";"";"87";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
