# Weather station Angul, India, WMO_ID=42969,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42969&lang=en
#
"Local time in Angul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"24.0";"746.4";"758.4";"";"60";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"28.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.8";"";"";"";"";"";"";
"31.12.2017 08:30";"16.0";"749.8";"762.2";"";"85";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"20.0";"13.5";"";"";"";"";"";"";
"30.12.2017 17:30";"24.6";"747.4";"759.4";"";"61";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.1";"";"";"";"";"";"20.0";"16.5";"";"";"";"";"";"";
"30.12.2017 08:30";"15.6";"748.7";"761.1";"";"89";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"20.0";"13.8";"";"";"";"";"";"";
"29.12.2017 17:30";"24.0";"748.1";"760.1";"";"53";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.7";"";"";"";"";"";"20.0";"13.8";"";"";"";"";"";"";
"29.12.2017 08:30";"14.6";"752.6";"765.1";"";"89";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"20.0";"12.8";"";"";"";"";"";"";
"28.12.2017 17:30";"23.0";"747.3";"759.4";"";"64";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"28.7";"";"";"";"";"";"20.0";"15.7";"";"";"";"";"";"";
"28.12.2017 08:30";"15.0";"750.5";"763.0";"";"85";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"20.0";"12.5";"";"";"";"";"";"";
"27.12.2017 17:30";"24.0";"747.4";"759.4";"";"50";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.7";"";"";"";"";"";"20.0";"13.0";"";"";"";"";"";"";
"27.12.2017 08:30";"14.0";"750.7";"763.2";"";"78";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"20.0";"10.2";"";"";"";"";"";"";
"26.12.2017 17:30";"23.0";"748.1";"760.2";"";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"20.0";"11.7";"";"";"";"";"";"";
"26.12.2017 08:30";"16.8";"750.4";"762.8";"";"92";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"20.0";"15.4";"";"";"";"";"";"";
"25.12.2017 17:30";"24.0";"748.0";"760.0";"";"68";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"20.0";"17.6";"";"";"";"";"";"";
"25.12.2017 08:30";"16.6";"750.5";"762.9";"";"90";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"24.12.2017 17:30";"24.6";"747.3";"759.3";"";"68";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.1";"";"";"";"";"";"20.0";"18.3";"";"";"";"";"";"";
"24.12.2017 08:30";"16.6";"750.4";"762.8";"";"98";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.6";"";"";"";"";"";"";"0.2";"16.3";"";"";"";"";"";"";
"23.12.2017 17:30";"25.0";"747.2";"759.2";"";"80";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"20.0";"21.4";"";"";"";"";"";"";
"23.12.2017 08:30";"17.0";"750.3";"762.7";"";"86";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"20.0";"14.6";"";"";"";"";"";"";
"22.12.2017 17:30";"23.6";"749.7";"761.8";"";"73";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"20.0";"18.4";"";"";"";"";"";"";
"22.12.2017 08:30";"17.0";"747.5";"759.8";"";"86";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"20.0";"14.6";"";"";"";"";"";"";
"21.12.2017 17:30";"24.0";"749.5";"761.6";"";"68";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.1";"";"";"";"";"";"20.0";"17.6";"";"";"";"";"";"";
"21.12.2017 08:30";"15.6";"752.8";"765.3";"";"79";"Wind blowing from the south-east";"1";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.6";"";"";"";"";"";"";"0.5";"11.9";"";"";"";"";"";"";
"20.12.2017 17:30";"22.0";"750.8";"763.0";"";"71";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"20.0";"16.4";"";"";"";"";"";"";
"20.12.2017 08:30";"15.0";"752.9";"765.4";"";"85";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"20.0";"12.5";"";"";"";"";"";"";
"19.12.2017 17:30";"22.6";"750.3";"762.4";"";"83";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"26.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.5";"";"";"";"";"";"";
"19.12.2017 08:30";"14.6";"752.8";"765.3";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"20.0";"10.8";"";"";"";"";"";"";
"18.12.2017 17:30";"23.6";"749.4";"761.5";"";"75";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"20.0";"18.9";"";"";"";"";"";"";
"18.12.2017 08:30";"17.0";"752.5";"764.9";"";"86";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"20.0";"14.6";"";"";"";"";"";"";
"17.12.2017 17:30";"25.0";"749.4";"761.4";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"20.0";"17.0";"";"";"";"";"";"";
"17.12.2017 08:30";"18.0";"753.2";"765.6";"";"86";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"20.0";"15.6";"";"";"";"";"";"";
"16.12.2017 17:30";"26.0";"749.3";"761.3";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"20.0";"17.4";"";"";"";"";"";"";
"16.12.2017 08:30";"19.0";"752.3";"764.6";"";"87";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"20.0";"16.7";"";"";"";"";"";"";
"15.12.2017 17:30";"25.0";"748.6";"760.6";"";"63";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"20.0";"17.5";"";"";"";"";"";"";
"15.12.2017 08:30";"20.6";"750.9";"763.1";"";"91";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"20.0";"19.1";"";"";"";"";"";"";
"14.12.2017 17:30";"26.6";"746.3";"758.2";"";"62";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"31.1";"";"";"";"";"";"20.0";"18.8";"";"";"";"";"";"";
"14.12.2017 08:30";"20.0";"750.8";"763.1";"";"91";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"20.0";"18.4";"";"";"";"";"";"";
"13.12.2017 17:30";"26.6";"747.1";"759.0";"";"69";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.1";"";"";"";"";"";"20.0";"20.5";"";"";"";"";"";"";
"13.12.2017 08:30";"20.6";"750.2";"762.4";"";"91";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"15.0";"";"";"";"";"";"";"0.5";"19.1";"";"";"";"";"";"";
"12.12.2017 17:30";"26.0";"746.3";"758.2";"";"69";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.1";"";"";"";"";"";"20.0";"19.9";"";"";"";"";"";"";
"12.12.2017 08:30";"19.6";"750.1";"762.4";"";"85";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"20.0";"17.0";"";"";"";"";"";"";
"11.12.2017 17:30";"26.6";"747.2";"759.1";"";"62";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.7";"";"";"";"";"";"20.0";"18.8";"";"";"";"";"";"";
"11.12.2017 08:30";"20.0";"749.3";"761.5";"";"87";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"20.0";"17.7";"";"";"";"";"";"";
"10.12.2017 17:30";"27.0";"746.3";"758.2";"";"74";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"30.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"10.12.2017 08:30";"23.6";"747.2";"759.3";"";"70";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"19.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.9";"";"";"";"";"";"";
