# Weather station Koraput, India, WMO_ID=43097,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43097&lang=en
#
"Local time in Koraput";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.10.2017 17:30";"24.0";"679.3";"";"";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"17.10.2017 08:30";"18.0";"680.2";"";"";"85";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"16.10.2017 17:30";"26.2";"679.6";"";"";"71";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"16.10.2017 08:30";"20.2";"680.6";"";"";"87";"Wind blowing from the south";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"19.0";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"15.10.2017 17:30";"24.0";"679.2";"";"";"73";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"28.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.9";"";"";"";"";"";"";
"15.10.2017 08:30";"21.6";"";"";"";"86";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"20.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.2";"";"";"";"";"";"";
"14.10.2017 17:30";"26.0";"679.6";"";"";"79";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"28.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.0";"";"";"";"";"";"";
"14.10.2017 08:30";"22.2";"680.1";"";"";"93";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"19.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.0";"";"";"";"";"";"";
"13.10.2017 17:30";"23.6";"680.0";"";"";"82";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"27.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.3";"";"";"";"";"";"";
"13.10.2017 08:30";"21.4";"680.8";"";"";"88";"";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"12.10.2017 17:30";"23.6";"680.0";"";"";"82";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"26.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.3";"";"";"";"";"";"";
"12.10.2017 08:30";"21.2";"680.8";"";"";"93";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"11.10.2017 08:30";"22.2";"680.5";"";"";"85";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"10.10.2017 17:30";"25.2";"679.3";"";"";"86";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"28.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.6";"";"";"";"";"";"";
"10.10.2017 08:30";"22.2";"680.1";"";"";"86";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.8";"";"";"";"";"";"";
"09.10.2017 17:30";"23.4";"678.8";"";"";"88";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.3";"";"";"";"";"";"";
"09.10.2017 08:30";"22.4";"679.7";"";"";"88";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"21.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.3";"";"";"";"";"";"";
"08.10.2017 17:30";"27.0";"679.0";"";"";"77";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.7";"";"";"";"";"";"";
"08.10.2017 08:30";"21.2";"680.5";"";"";"90";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"19.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.4";"";"";"";"";"";"";
"07.10.2017 17:30";"26.2";"679.9";"";"";"76";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"07.10.2017 08:30";"22.2";"680.6";"";"";"93";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"19.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.0";"";"";"";"";"";"";
"06.10.2017 17:30";"23.8";"676.7";"";"";"77";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.6";"";"";"";"";"";"";
"06.10.2017 08:30";"21.4";"680.1";"";"";"88";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.3";"";"";"";"";"";"";
"05.10.2017 17:30";"25.2";"679.3";"";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"05.10.2017 08:30";"22.0";"680.1";"";"";"86";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"21.2";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"04.10.2017 08:30";"22.0";"679.6";"";"";"90";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.2";"";"";"";"";"";"";
"03.10.2017 17:30";"24.4";"678.5";"";"";"81";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"28.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.9";"";"";"";"";"";"";
"03.10.2017 08:30";"22.4";"679.1";"";"";"88";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"21.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.3";"";"";"";"";"";"";
"02.10.2017 17:30";"29.0";"678.5";"";"";"71";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"29.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.3";"";"";"";"";"";"";
"02.10.2017 08:30";"23.2";"677.9";"";"";"86";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"21.8";"";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"01.10.2017 17:30";"25.8";"678.6";"";"";"79";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"28.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.8";"";"";"";"";"";"";
"01.10.2017 08:30";"22.0";"678.4";"";"";"88";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.9";"";"";"";"";"";"";
"30.09.2017 17:30";"26.0";"679.0";"";"";"79";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.0";"";"";"";"";"";"";
"30.09.2017 08:30";"21.4";"678.4";"";"";"88";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"29.09.2017 17:30";"26.4";"679.5";"";"";"77";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"29.09.2017 08:30";"21.6";"678.7";"";"";"86";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"28.09.2017 17:30";"26.4";"679.3";"";"";"76";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"28.09.2017 08:30";"22.4";"678.6";"";"";"85";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"20.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.7";"";"";"";"";"";"";
"27.09.2017 17:30";"26.4";"679.5";"";"";"77";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.1";"";"";"";"";"";"";
"27.09.2017 08:30";"22.4";"679.0";"";"";"82";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"21.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.1";"";"";"";"";"";"";
"26.09.2017 17:30";"25.2";"680.0";"";"";"77";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"27.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.8";"";"";"";"";"";"";
"26.09.2017 08:30";"21.4";"679.3";"";"";"88";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"20.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.3";"";"";"";"";"";"";
"25.09.2017 08:30";"22.4";"680.4";"785.5";"";"82";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.1";"";"";"";"";"";"";
"24.09.2017 17:30";"25.2";"680.4";"785.8";"";"82";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"30.0";"";"";"300-600";"";"";"4.0";"22.0";"";"";"";"";"";"";
"24.09.2017 08:30";"22.0";"680.0";"";"";"86";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.6";"";"";"";"";"";"";
"23.09.2017 17:30";"26.2";"679.9";"";"";"83";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"29.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.1";"";"";"";"";"";"";
"23.09.2017 08:30";"23.2";"678.6";"";"";"82";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"22.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.9";"";"";"";"";"";"";
"22.09.2017 17:30";"27.6";"679.2";"";"";"74";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"22.09.2017 08:30";"25.4";"679.1";"";"";"74";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"21.09.2017 17:30";"25.2";"680.4";"";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"21.09.2017 08:30";"23.8";"680.2";"";"";"84";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"22.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.9";"";"";"";"";"";"";
"20.09.2017 17:30";"24.2";"681.4";"";"";"75";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.4";"";"";"";"";"";"";
"20.09.2017 08:30";"22.6";"680.0";"";"";"86";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"21.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.2";"";"";"";"";"";"";
"19.09.2017 17:30";"26.4";"681.1";"";"";"73";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.2";"";"";"";"";"";"";
"19.09.2017 08:30";"23.2";"680.0";"";"";"86";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"22.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.8";"";"";"";"";"";"";
"18.09.2017 17:30";"26.2";"676.8";"";"";"76";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.6";"";"";"";"";"";"";
"18.09.2017 08:30";"25.2";"681.4";"";"";"82";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"22.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.0";"";"";"";"";"";"";
"17.09.2017 17:30";"26.2";"680.4";"";"";"83";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"29.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.1";"";"";"";"";"";"";
"17.09.2017 08:30";"24.8";"681.1";"";"";"86";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"22.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.2";"";"";"";"";"";"";
"16.09.2017 17:30";"26.2";"680.5";"";"";"85";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.4";"";"";"";"";"";"";
"16.09.2017 08:30";"24.0";"681.4";"";"";"87";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"23.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.7";"";"";"";"";"";"";
"15.09.2017 17:30";"25.6";"680.5";"";"";"87";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.3";"";"";"";"";"";"";
"15.09.2017 08:30";"23.4";"681.1";"";"";"85";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"22.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.7";"";"";"";"";"";"";
"14.09.2017 17:30";"24.6";"680.4";"";"";"84";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"27.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.7";"";"";"";"";"";"";
"14.09.2017 08:30";"23.2";"680.8";"";"";"91";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.7";"";"";"";"";"";"";
"13.09.2017 08:30";"23.8";"681.4";"";"";"85";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"22.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.2";"";"";"";"";"";"";
"12.09.2017 17:30";"26.2";"680.5";"";"";"83";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.1";"";"";"";"";"";"";
"12.09.2017 08:30";"23.2";"681.7";"";"";"93";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"20.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.0";"";"";"";"";"";"";
"11.09.2017 08:30";"25.0";"680.4";"";"";"87";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"10.09.2017 17:30";"26.6";"679.4";"";"";"80";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"30.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.9";"";"";"";"";"";"";
"10.09.2017 08:30";"24.8";"680.7";"";"";"86";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"23.4";"";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"09.09.2017 17:30";"26.6";"678.5";"";"";"80";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.9";"";"";"";"";"";"";
"09.09.2017 08:30";"23.2";"680.7";"";"";"93";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"20.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.0";"";"";"";"";"";"";
"08.09.2017 17:30";"28.0";"678.1";"";"";"74";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.9";"";"";"";"";"";"";
"08.09.2017 08:30";"22.0";"679.4";"";"";"88";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
