# Weather station Koraput, India, WMO_ID=43097,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43097&lang=en
#
"Local time in Koraput";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.11.2017 17:30";"22.4";"681.6";"";"";"61";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"11.11.2017 08:30";"15.6";"680.3";"";"";"81";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"10.11.2017 17:30";"23.6";"683.0";"";"";"68";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"10.11.2017 08:30";"17.4";"680.3";"";"";"85";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"09.11.2017 17:30";"23.4";"680.5";"";"";"62";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"09.11.2017 08:30";"15.6";"680.8";"";"";"84";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"08.11.2017 17:30";"22.8";"680.9";"";"";"66";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"08.11.2017 08:30";"18.0";"681.6";"";"";"81";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"07.11.2017 17:30";"24.2";"681.4";"";"";"70";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"07.11.2017 08:30";"18.0";"682.9";"";"";"79";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"06.11.2017 17:30";"24.0";"681.4";"";"";"66";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"06.11.2017 08:30";"17.4";"684.2";"";"";"79";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"05.11.2017 17:30";"24.2";"683.0";"";"";"70";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"05.11.2017 08:30";"15.2";"684.6";"";"";"86";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"04.11.2017 17:30";"25.8";"683.2";"";"";"64";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.5";"";"";"";"";"";"";
"04.11.2017 08:30";"15.6";"684.6";"";"";"84";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"03.11.2017 17:30";"23.4";"683.0";"";"";"69";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"03.11.2017 08:30";"16.0";"684.1";"";"";"84";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"02.11.2017 17:30";"23.4";"683.0";"";"";"73";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"02.11.2017 08:30";"18.4";"";"";"";"90";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"13.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.8";"";"";"";"";"";"";
"01.11.2017 17:30";"23.4";"682.9";"";"";"62";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"01.11.2017 08:30";"15.6";"684.2";"";"";"84";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"31.10.2017 17:30";"23.6";"682.6";"";"";"64";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"31.10.2017 08:30";"15.6";"683.8";"";"";"84";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"30.10.2017 17:30";"23.0";"682.2";"";"";"78";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"30.10.2017 08:30";"16.4";"683.6";"";"";"86";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"29.10.2017 17:30";"23.4";"681.4";"";"";"71";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"29.10.2017 08:30";"18.2";"683.0";"";"";"80";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"28.10.2017 17:30";"23.4";"681.4";"";"";"70";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"28.10.2017 08:30";"28.2";"683.0";"";"";"43";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"27.10.2017 17:30";"25.0";"681.8";"";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"27.10.2017 08:30";"18.0";"683.2";"";"";"78";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"26.10.2017 17:30";"25.6";"681.4";"";"";"71";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"26.10.2017 08:30";"18.2";"682.8";"";"";"80";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"25.10.2017 17:30";"24.2";"681.4";"";"";"70";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"25.10.2017 08:30";"18.2";"682.3";"";"";"83";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"24.10.2017 17:30";"25.0";"680.0";"";"";"78";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"24.10.2017 08:30";"21.2";"680.8";"";"";"90";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"23.10.2017 17:30";"26.0";"680.2";"";"";"71";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"23.10.2017 08:30";"22.0";"680.8";"";"";"86";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"21.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.6";"";"";"";"";"";"";
"22.10.2017 17:30";"24.0";"679.3";"";"";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"22.10.2017 08:30";"22.2";"680.7";"785.5";"";"82";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"21.10.2017 17:30";"24.8";"679.3";"";"";"82";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"21.10.2017 08:30";"22.4";"680.1";"";"";"85";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"21.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.7";"";"";"";"";"";"";
"20.10.2017 17:30";"24.0";"679.3";"";"";"85";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"26.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.4";"";"";"";"";"";"";
"20.10.2017 08:30";"22.4";"680.1";"";"";"85";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.7";"";"";"";"";"";"";
"19.10.2017 17:30";"26.0";"679.0";"";"";"71";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"26.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.4";"";"";"";"";"";"";
"19.10.2017 08:30";"20.2";"680.6";"";"";"87";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"19.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.0";"";"";"";"";"";"";
"18.10.2017 17:30";"24.8";"678.8";"";"";"71";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"19.1";"";"";"";"";"";"";
"18.10.2017 08:30";"16.4";"679.5";"";"";"88";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
