# Weather station Bhawanipatna, India, WMO_ID=43042,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43042&lang=en
#
"Local time in Bhawanipatna";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.0";"735.8";"758.1";"";"44";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"27.7";"";"";"1000-1500";"";"";"2.0";"12.8";"";"";"";"";"";"";
"31.12.2017 08:30";"16.0";"739.9";"763.1";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"30.12.2017 17:30";"24.0";"737.2";"759.7";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"2.0";"12.3";"";"";"";"";"";"";
"30.12.2017 08:30";"16.0";"740.4";"763.6";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"10.0";"11.0";"";"";"";"";"";"";
"29.12.2017 17:30";"25.6";"737.4";"759.7";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"2.0";"9.6";"";"";"";"";"";"";
"29.12.2017 08:30";"15.0";"739.8";"763.0";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"10.0";"10.3";"";"";"";"";"";"";
"28.12.2017 17:30";"23.6";"737.7";"760.2";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"2.0";"10.1";"";"";"";"";"";"";
"28.12.2017 08:30";"12.0";"736.6";"760.0";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"10.0";"7.7";"";"";"";"";"";"";
"27.12.2017 17:30";"23.0";"738.3";"760.9";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"2.0";"10.9";"";"";"";"";"";"";
"27.12.2017 08:30";"14.0";"739.7";"763.0";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
